P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
14.46,7.14,20.26,10.01,5.62
9.71,7.07,17.68,11.33,5.73
13.27,5.54,18.2,7.11,5.28
9.5,7.79,17.7,9.95,5.35
9.38,5.95,23.94,7.12,5.3
10.01,7.53,20.24,11.12,5.25
13.16,6.07,20.52,6.87,5.22
9.76,7.84,17.57,7.01,5.35
12.35,7.26,17.29,7.04,5.14
9.62,6.04,17.46,7.68,6.36
8.82,6.04,17.0,7.28,6.54
11.59,5.57,20.83,11.45,6.42
10.08,6.34,18.72,8.22,5.24
10.16,6.56,17.34,7.37,5.07
11.84,5.74,21.34,9.57,5.87
11.61,8.01,20.91,9.57,7.04
11.24,6.86,21.81,12.65,5.77
12.03,7.55,21.14,8.97,7.2
10.35,6.48,22.99,8.72,6.1
10.31,7.7,18.29,7.49,7.29
12.41,7.91,16.29,9.67,5.85
10.62,7.62,21.51,7.99,5.35
9.51,5.87,18.14,11.11,7.17
10.46,7.71,21.06,7.19,7.81
11.52,7.31,17.46,9.96,5.29
12.23,5.84,21.66,8.5,5.05
11.13,6.13,23.08,8.45,4.79
12.72,8.86,17.56,8.33,7.43
12.07,7.38,19.96,8.87,5.63
14.11,5.84,17.43,8.06,4.96
13.34,7.24,17.12,7.54,5.43
9.2,7.38,16.5,9.31,5.34
9.16,7.62,15.52,9.0,6.55
8.91,7.52,15.64,9.16,8.14
9.87,6.44,16.72,9.7,5.93
13.22,6.63,18.56,9.76,6.45
13.12,6.35,16.01,8.27,7.39
12.0,5.91,16.46,10.45,5.41
9.68,5.97,16.51,10.0,5.13
16.02,6.18,17.7,6.91,6.04
13.62,6.09,16.52,7.46,6.5
12.08,6.81,22.99,8.85,6.9
9.65,6.32,17.52,8.58,6.58
11.08,6.15,17.62,9.42,8.03
9.69,6.93,20.33,11.19,8.24
9.96,7.59,20.06,8.5,7.36
15.06,5.9,16.91,6.97,5.54
10.28,7.25,23.74,9.94,8.4
12.4,6.39,18.93,9.3,5.08
9.32,6.47,17.2,7.64,5.76
9.12,6.47,17.79,7.01,7.41
10.18,7.78,16.64,10.55,5.35
9.55,8.36,17.67,6.93,5.99
13.65,7.5,17.12,9.35,5.89
10.34,6.76,22.29,7.13,7.54
12.09,6.5,21.51,7.25,5.37
9.63,6.66,20.72,7.57,5.19
13.0,6.03,17.1,7.2,5.72
10.55,9.37,19.93,7.38,5.72
14.28,6.84,17.28,9.09,6.65
10.04,6.64,18.02,7.49,5.52
9.94,6.88,17.59,8.02,5.18
12.19,7.27,17.09,7.76,5.39
11.95,6.18,17.01,9.07,5.19
12.55,7.65,16.9,9.27,5.1
10.05,7.51,16.64,7.48,5.22
9.31,6.69,17.26,7.9,5.36
9.15,7.97,18.26,9.32,4.99
12.5,9.35,21.83,7.55,5.78
10.66,6.19,17.96,9.7,5.38
9.08,6.51,21.71,8.98,5.13
