frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","fe:38:a6:56:69:83","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.072112964","42","fe:38:a6:56:69:83","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.072139596","42","de:60:6a:56:14:50","fe:38:a6:56:69:83",,,"ARP","172.20.0.2 is at de:60:6a:56:14:50"
"4","0.072147408","2482","fe:38:a6:56:69:83","de:60:6a:56:14:50","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=8025f17947333805, PKN: 1, CRYPTO, PADDING"
"5","0.081270588","2482","de:60:6a:56:14:50","fe:38:a6:56:69:83","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c8c5851c4f18cf4501"
"6","0.086632481","177","fe:38:a6:56:69:83","de:60:6a:56:14:50","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c8c5851c4f18cf4501"
"7","0.086883948","1262","de:60:6a:56:14:50","fe:38:a6:56:69:83","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.140342677","2482","fe:38:a6:56:69:83","de:60:6a:56:14:50","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f1519c037d761729, PKN: 1, CRYPTO, PADDING"
"9","0.144701766","2482","de:60:6a:56:14:50","fe:38:a6:56:69:83","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=49c26db3ee9f4a0bb5"
"10","0.149617557","177","fe:38:a6:56:69:83","de:60:6a:56:14:50","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=49c26db3ee9f4a0bb5"
"11","0.149780897","1262","de:60:6a:56:14:50","fe:38:a6:56:69:83","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.199361658","2482","fe:38:a6:56:69:83","de:60:6a:56:14:50","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=22a511f13d81073e, PKN: 1, CRYPTO, PADDING"
"13","0.203657860","2482","de:60:6a:56:14:50","fe:38:a6:56:69:83","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=93fb8807369850c3b1"
