Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
1,7.26,3963.0,,27.81,6735.0,,5.67,6601.0
2,6.16,3963.0,,17.08,6734.0,,4.22,6602.0
3,6.44,3963.0,,15.84,6734.0,,4.37,6602.0
4,8.41,3963.0,,15.84,6734.0,,4.32,6602.0
5,6.22,3963.0,,16.5,6735.0,,4.67,6602.0
6,6.33,3963.0,,16.36,6734.0,,5.24,6601.0
7,7.34,3963.0,,16.91,6735.0,,5.79,6601.0
8,6.63,3963.0,,16.4,6733.0,,4.3,6602.0
9,6.25,3963.0,,18.52,6735.0,,4.45,6602.0
10,9.18,3963.0,,15.22,6735.0,,4.23,6601.0
11,6.39,3963.0,,15.92,6734.0,,4.31,6602.0
12,8.55,3963.0,,17.74,6735.0,,4.06,6602.0
13,6.67,3963.0,,20.37,6735.0,,4.82,6602.0
14,8.43,3963.0,,20.75,6733.0,,4.4,6601.0
15,8.59,3963.0,,17.09,6735.0,,4.22,6600.0
16,6.55,3963.0,,17.31,12206.0,,5.43,6602.0
17,6.02,3963.0,,14.83,12207.0,,5.04,6602.0
18,6.51,6664.0,,16.42,22938.0,,1029.26,25207.0
19,6.42,3963.0,,16.5,6734.0,,4.44,6602.0
20,6.44,3963.0,,16.34,6735.0,,4.37,6602.0
21,6.59,3963.0,,1016.97,6735.0,,4.34,6602.0
22,6.07,3963.0,,14.98,6735.0,,4.58,6601.0
23,6.26,3963.0,,15.9,6735.0,,4.51,6602.0
24,6.88,3963.0,,16.76,6733.0,,4.42,6600.0
25,6.66,3963.0,,16.05,6735.0,,5.9,6602.0
26,6.48,3963.0,,15.21,6735.0,,4.34,6601.0
27,10.29,5225.0,,16.73,17466.0,,1010.2,16203.0
28,1006.22,3963.0,,19.89,12205.0,,4.48,6602.0
29,6.75,5225.0,,16.45,6734.0,,4.27,6601.0
30,1006.53,6664.0,,1016.79,28410.0,,4.93,6601.0
31,6.88,3963.0,,15.03,6734.0,,4.41,6601.0
32,6.68,3963.0,,20.05,6735.0,,4.36,6601.0
33,6.24,3963.0,,21.67,23861.0,,5.19,6602.0
34,6.24,7926.0,,16.0,6735.0,,4.01,6602.0
35,6.5,3963.0,,1019.78,6735.0,,1011.05,16202.0
36,8.09,3963.0,,20.92,6735.0,,4.04,6602.0
37,1006.43,3963.0,,14.71,6735.0,,4.44,6601.0
38,8.09,3963.0,,17.57,6735.0,,4.94,6602.0
39,6.29,3963.0,,1041.81,6735.0,,4.35,11942.0
40,5.97,3963.0,,20.72,6733.0,,4.74,17466.0
41,6.19,5225.0,,15.47,17679.0,,1009.06,6602.0
42,6.78,3963.0,,18.38,6735.0,,4.59,6601.0
43,6.54,3963.0,,16.84,6734.0,,5.05,6602.0
44,1005.92,3963.0,,15.54,17464.0,,4.18,6602.0
45,8.09,3963.0,,17.6,6734.0,,5.06,11941.0
46,7.17,3963.0,,19.43,6734.0,,4.43,6601.0
47,8.83,3963.0,,14.65,17465.0,,4.5,6602.0
48,6.14,6664.0,,16.46,6734.0,,4.1,6600.0
49,6.66,3963.0,,15.88,6735.0,,4.26,6601.0
50,8.88,3963.0,,15.71,6735.0,,4.02,6602.0
51,7.75,3963.0,,16.32,26726.0,,4.27,6602.0
52,7.77,3963.0,,1017.55,6733.0,,4.1,6601.0
53,6.7,3963.0,,17.64,6735.0,,4.08,6600.0
54,8.63,3963.0,,15.06,6735.0,,5.07,6601.0
55,6.48,3963.0,,1018.03,6734.0,,4.55,6602.0
56,6.15,5225.0,,19.85,6734.0,,5.92,6600.0
57,7.1,5225.0,,18.6,17466.0,,5.43,6601.0
58,7.41,6664.0,,14.92,6735.0,,4.39,6602.0
59,7.74,3963.0,,14.96,6735.0,,4.28,16204.0
60,1007.92,3963.0,,1072.86,6735.0,,5.1,6602.0
61,1006.82,3963.0,,18.8,6735.0,,1013.7,6602.0
62,6.9,5225.0,,15.94,25462.0,,4.8,11939.0
63,6.73,3963.0,,17.45,6734.0,,4.25,6602.0
64,6.72,3963.0,,17.77,6735.0,,4.16,6602.0
65,8.3,3963.0,,14.68,6734.0,,4.83,6602.0
66,9.18,3963.0,,1020.84,6734.0,,6.14,6602.0
67,1009.76,3963.0,,15.84,6735.0,,5.44,6601.0
68,8.32,3963.0,,16.7,6734.0,,4.2,11940.0
69,9.87,3963.0,,15.42,6734.0,,4.2,6601.0
70,6.97,6664.0,,18.26,6734.0,,4.36,6601.0
71,6.72,3963.0,,1029.15,6734.0,,4.17,6602.0
72,6.43,3963.0,,15.59,6734.0,,4.38,11941.0
73,6.62,3963.0,,18.11,29334.0,,4.33,6602.0
74,6.15,5225.0,,23.23,6734.0,,4.19,6602.0
75,6.4,3963.0,,15.62,17465.0,,4.07,6602.0
76,6.17,5225.0,,16.08,6734.0,,4.37,6602.0
77,7.73,3963.0,,15.45,6735.0,,4.31,6602.0
78,6.7,3963.0,,16.87,6735.0,,4.24,6602.0
79,9.18,3963.0,,14.82,22938.0,,4.28,6602.0
80,1006.73,3963.0,,15.29,6735.0,,5.53,6601.0
81,6.49,6664.0,,17.21,6735.0,,5.71,6601.0
82,1006.4,3963.0,,14.65,6734.0,,4.2,6602.0
83,6.1,3963.0,,17.74,6734.0,,4.33,6600.0
84,9.77,3963.0,,1035.95,6734.0,,4.73,6601.0
85,6.44,3963.0,,15.36,6735.0,,4.13,6602.0
86,7.12,3963.0,,1018.0,27477.0,,4.69,6602.0
87,6.34,3963.0,,18.25,6735.0,,4.24,6602.0
88,6.25,3963.0,,14.72,6734.0,,4.46,6602.0
89,7.76,3963.0,,14.82,6734.0,,4.23,6601.0
