"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","42:5e:d0:29:01:66","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:21:46,487502342","0.000000000"
"2","1.004122334","42:5e:d0:29:01:66","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:21:47,491624676","1.004122334"
"3","2.006418834","42:5e:d0:29:01:66","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:21:48,493921176","1.002296500"
"4","5.129665003","42:5e:d0:29:01:66","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","06:21:51,617167345","3.123246169"
"5","5.129681461","ea:8d:f0:58:75:0a","42:5e:d0:29:01:66","ARP","42","172.19.0.2 is at ea:8d:f0:58:75:0a","06:21:51,617183803","0.000016458"
"6","5.129706503","172.19.0.3","172.19.0.2","TCP","74","47734  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2377074065 TSecr=0 WS=128","06:21:51,617208845","0.000025042"
"7","5.129722753","172.19.0.2","172.19.0.3","TCP","74","4433  >  47734 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3227805409 TSecr=2377074065 WS=128","06:21:51,617225095","0.000016250"
"8","5.129737169","172.19.0.3","172.19.0.2","TCP","66","47734  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2377074065 TSecr=3227805409","06:21:51,617239511","0.000014416"
"9","5.129785044","172.19.0.3","172.19.0.2","TLSv1.3","1353","Client Hello","06:21:51,617287386","0.000047875"
"10","5.129789336","172.19.0.2","172.19.0.3","TCP","66","4433  >  47734 [ACK] Seq=1 Ack=1288 Win=67072 Len=0 TSval=3227805409 TSecr=2377074065","06:21:51,617291678","0.000004292"
"11","5.133080419","172.19.0.2","172.19.0.3","TLSv1.3","1537","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","06:21:51,620582761","0.003291083"
"12","5.133100711","172.19.0.3","172.19.0.2","TCP","66","47734  >  4433 [ACK] Seq=1288 Ack=1472 Win=67072 Len=0 TSval=2377074069 TSecr=3227805413","06:21:51,620603053","0.000020292"
"13","5.134901294","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","06:21:51,622403636","0.001800583"
"14","5.134934503","172.19.0.3","172.19.0.2","TCP","66","47734  >  4433 [RST, ACK] Seq=1368 Ack=1472 Win=67072 Len=0 TSval=2377074071 TSecr=3227805413","06:21:51,622436845","0.000033209"
"15","10.524219574","ea:8d:f0:58:75:0a","42:5e:d0:29:01:66","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","06:21:57,011721916","5.389285071"
"16","10.524387824","42:5e:d0:29:01:66","ea:8d:f0:58:75:0a","ARP","42","172.19.0.3 is at 42:5e:d0:29:01:66","06:21:57,011890166","0.000168250"
