"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","92:1a:e9:8b:cc:f3","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:20:27,667583417","0.000000000"
"2","1.005519458","92:1a:e9:8b:cc:f3","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:20:28,673102875","1.005519458"
"3","2.004704042","92:1a:e9:8b:cc:f3","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:20:29,672287459","0.999184584"
"4","5.130052710","92:1a:e9:8b:cc:f3","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","06:20:32,797636127","3.125348668"
"5","5.130069335","b6:4c:3a:ba:83:24","92:1a:e9:8b:cc:f3","ARP","42","172.19.0.2 is at b6:4c:3a:ba:83:24","06:20:32,797652752","0.000016625"
"6","5.130086877","172.19.0.3","172.19.0.2","TCP","74","51522  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2376995246 TSecr=0 WS=128","06:20:32,797670294","0.000017542"
"7","5.130102419","172.19.0.2","172.19.0.3","TCP","74","4433  >  51522 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3227726590 TSecr=2376995246 WS=128","06:20:32,797685836","0.000015542"
"8","5.130115085","172.19.0.3","172.19.0.2","TCP","66","51522  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2376995246 TSecr=3227726590","06:20:32,797698502","0.000012666"
"9","5.130139877","172.19.0.3","172.19.0.2","TLSv1.3","528","Client Hello","06:20:32,797723294","0.000024792"
"10","5.130143252","172.19.0.2","172.19.0.3","TCP","66","4433  >  51522 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=3227726590 TSecr=2376995246","06:20:32,797726669","0.000003375"
"11","5.130720835","172.19.0.2","172.19.0.3","TLSv1.3","736","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","06:20:32,798304252","0.000577583"
"12","5.130739919","172.19.0.3","172.19.0.2","TCP","66","51522  >  4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=2376995246 TSecr=3227726590","06:20:32,798323336","0.000019084"
"13","5.131393419","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","06:20:32,798976836","0.000653500"
"14","5.131433419","172.19.0.3","172.19.0.2","TCP","66","51522  >  4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=2376995247 TSecr=3227726590","06:20:32,799016836","0.000040000"
"15","10.495015713","b6:4c:3a:ba:83:24","92:1a:e9:8b:cc:f3","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","06:20:38,162599130","5.363582294"
"16","10.495115171","92:1a:e9:8b:cc:f3","b6:4c:3a:ba:83:24","ARP","42","172.19.0.3 is at 92:1a:e9:8b:cc:f3","06:20:38,162698588","0.000099458"
