"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","86:da:09:b7:63:db","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:22:46,549888050","0.000000000"
"2","1.001696793","86:da:09:b7:63:db","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:22:47,551584843","1.001696793"
"3","2.003372043","86:da:09:b7:63:db","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:22:48,553260093","1.001675250"
"4","5.127548295","86:da:09:b7:63:db","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","06:22:51,677436345","3.124176252"
"5","5.127560961","ae:77:3e:66:49:1a","86:da:09:b7:63:db","ARP","42","172.19.0.2 is at ae:77:3e:66:49:1a","06:22:51,677449011","0.000012666"
"6","5.127572295","172.19.0.3","172.19.0.2","TCP","74","45722  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2377134126 TSecr=0 WS=128","06:22:51,677460345","0.000011334"
"7","5.127581045","172.19.0.2","172.19.0.3","TCP","74","4433  >  45722 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3227865470 TSecr=2377134126 WS=128","06:22:51,677469095","0.000008750"
"8","5.127590586","172.19.0.3","172.19.0.2","TCP","66","45722  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2377134126 TSecr=3227865470","06:22:51,677478636","0.000009541"
"9","5.127625920","172.19.0.3","172.19.0.2","TLSv1.3","1320","Client Hello","06:22:51,677513970","0.000035334"
"10","5.127628795","172.19.0.2","172.19.0.3","TCP","66","4433  >  45722 [ACK] Seq=1 Ack=1255 Win=67072 Len=0 TSval=3227865470 TSecr=2377134126","06:22:51,677516845","0.000002875"
"11","5.128363461","172.19.0.2","172.19.0.3","TLSv1.3","1504","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","06:22:51,678251511","0.000734666"
"12","5.128381461","172.19.0.3","172.19.0.2","TCP","66","45722  >  4433 [ACK] Seq=1255 Ack=1439 Win=67072 Len=0 TSval=2377134127 TSecr=3227865471","06:22:51,678269511","0.000018000"
"13","5.129219961","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","06:22:51,679108011","0.000838500"
"14","5.129257628","172.19.0.3","172.19.0.2","TCP","66","45722  >  4433 [RST, ACK] Seq=1335 Ack=1439 Win=67072 Len=0 TSval=2377134128 TSecr=3227865471","06:22:51,679145678","0.000037667"
"15","10.364922255","ae:77:3e:66:49:1a","86:da:09:b7:63:db","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","06:22:56,914810305","5.235664627"
"16","10.365037672","86:da:09:b7:63:db","ae:77:3e:66:49:1a","ARP","42","172.19.0.3 is at 86:da:09:b7:63:db","06:22:56,914925722","0.000115417"
