"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","6a:86:fa:73:1f:4e","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:41:26,457139000","0.000000000"
"2","1.004859167","6a:86:fa:73:1f:4e","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:41:27,461998167","1.004859167"
"3","2.004383084","6a:86:fa:73:1f:4e","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:41:28,461522084","0.999523917"
"4","5.120258169","6a:86:fa:73:1f:4e","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","08:41:31,577397169","3.115875085"
"5","5.120269085","d6:e6:7b:8e:3d:2e","6a:86:fa:73:1f:4e","ARP","42","172.19.0.2 is at d6:e6:7b:8e:3d:2e","08:41:31,577408085","0.000010916"
"6","5.120279877","172.19.0.3","172.19.0.2","TCP","74","57290  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2383476366 TSecr=0 WS=128","08:41:31,577418877","0.000010792"
"7","5.120296544","172.19.0.2","172.19.0.3","TCP","74","4433  >  57290 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3234207711 TSecr=2383476366 WS=128","08:41:31,577435544","0.000016667"
"8","5.120308585","172.19.0.3","172.19.0.2","TCP","66","57290  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2383476367 TSecr=3234207711","08:41:31,577447585","0.000012041"
"9","5.120327710","172.19.0.3","172.19.0.2","TLSv1.3","1769","Client Hello","08:41:31,577466710","0.000019125"
"10","5.120330044","172.19.0.2","172.19.0.3","TCP","66","4433  >  57290 [ACK] Seq=1 Ack=1704 Win=67584 Len=0 TSval=3234207711 TSecr=2383476367","08:41:31,577469044","0.000002334"
"11","5.126327335","172.19.0.2","172.19.0.3","TLSv1.3","2053","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","08:41:31,583466335","0.005997291"
"12","5.126344085","172.19.0.3","172.19.0.2","TCP","66","57290  >  4433 [ACK] Seq=1704 Ack=1988 Win=68096 Len=0 TSval=2383476373 TSecr=3234207717","08:41:31,583483085","0.000016750"
"13","5.129909335","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","08:41:31,587048335","0.003565250"
"14","5.129941044","172.19.0.3","172.19.0.2","TCP","66","57290  >  4433 [RST, ACK] Seq=1784 Ack=1988 Win=68096 Len=0 TSval=2383476376 TSecr=3234207717","08:41:31,587080044","0.000031709"
"15","10.263492421","d6:e6:7b:8e:3d:2e","6a:86:fa:73:1f:4e","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","08:41:36,720631421","5.133551377"
"16","10.263662796","6a:86:fa:73:1f:4e","d6:e6:7b:8e:3d:2e","ARP","42","172.19.0.3 is at 6a:86:fa:73:1f:4e","08:41:36,720801796","0.000170375"
