"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","2e:52:7f:21:bb:76","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:40:36,502031463","0.000000000"
"2","1.006515792","2e:52:7f:21:bb:76","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:40:37,508547255","1.006515792"
"3","2.004886584","2e:52:7f:21:bb:76","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:40:38,506918047","0.998370792"
"4","5.125572502","2e:52:7f:21:bb:76","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","08:40:41,627603965","3.120685918"
"5","5.125586252","8a:67:07:cd:45:f6","2e:52:7f:21:bb:76","ARP","42","172.19.0.2 is at 8a:67:07:cd:45:f6","08:40:41,627617715","0.000013750"
"6","5.125602335","172.19.0.3","172.19.0.2","TCP","74","35352  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2383426417 TSecr=0 WS=128","08:40:41,627633798","0.000016083"
"7","5.125615919","172.19.0.2","172.19.0.3","TCP","74","4433  >  35352 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3234157761 TSecr=2383426417 WS=128","08:40:41,627647382","0.000013584"
"8","5.125630544","172.19.0.3","172.19.0.2","TCP","66","35352  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2383426417 TSecr=3234157761","08:40:41,627662007","0.000014625"
"9","5.125664794","172.19.0.3","172.19.0.2","TLSv1.3","552","Client Hello","08:40:41,627696257","0.000034250"
"10","5.125667877","172.19.0.2","172.19.0.3","TCP","66","4433  >  35352 [ACK] Seq=1 Ack=487 Win=64768 Len=0 TSval=3234157761 TSecr=2383426417","08:40:41,627699340","0.000003083"
"11","5.127556877","172.19.0.2","172.19.0.3","TLSv1.3","922","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","08:40:41,629588340","0.001889000"
"12","5.127581544","172.19.0.3","172.19.0.2","TCP","66","35352  >  4433 [ACK] Seq=487 Ack=857 Win=65280 Len=0 TSval=2383426419 TSecr=3234157763","08:40:41,629613007","0.000024667"
"13","5.129768960","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","08:40:41,631800423","0.002187416"
"14","5.129807002","172.19.0.3","172.19.0.2","TCP","66","35352  >  4433 [RST, ACK] Seq=567 Ack=857 Win=65280 Len=0 TSval=2383426421 TSecr=3234157763","08:40:41,631838465","0.000038042"
"15","10.556256838","8a:67:07:cd:45:f6","2e:52:7f:21:bb:76","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","08:40:47,058288301","5.426449836"
"16","10.556401296","2e:52:7f:21:bb:76","8a:67:07:cd:45:f6","ARP","42","172.19.0.3 is at 2e:52:7f:21:bb:76","08:40:47,058432759","0.000144458"
