"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","ee:1b:56:ce:09:43","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:42:09,953401381","0.000000000"
"2","1.003612459","ee:1b:56:ce:09:43","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:42:10,957013840","1.003612459"
"3","2.006506793","ee:1b:56:ce:09:43","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","08:42:11,959908174","1.002894334"
"4","5.120678752","ee:1b:56:ce:09:43","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","08:42:15,074080133","3.114171959"
"5","5.120689836","1a:15:a0:fa:d4:aa","ee:1b:56:ce:09:43","ARP","42","172.19.0.2 is at 1a:15:a0:fa:d4:aa","08:42:15,074091217","0.000011084"
"6","5.120703794","172.19.0.3","172.19.0.2","TCP","74","38402  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2383519854 TSecr=0 WS=128","08:42:15,074105175","0.000013958"
"7","5.120714836","172.19.0.2","172.19.0.3","TCP","74","4433  >  38402 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3234251198 TSecr=2383519854 WS=128","08:42:15,074116217","0.000011042"
"8","5.120724627","172.19.0.3","172.19.0.2","TCP","66","38402  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2383519854 TSecr=3234251198","08:42:15,074126008","0.000009791"
"9","5.120747127","172.19.0.3","172.19.0.2","TLSv1.3","1728","Client Hello","08:42:15,074148508","0.000022500"
"10","5.120759752","172.19.0.2","172.19.0.3","TCP","66","4433  >  38402 [ACK] Seq=1 Ack=1663 Win=67456 Len=0 TSval=3234251198 TSecr=2383519854","08:42:15,074161133","0.000012625"
"11","5.123145127","172.19.0.2","172.19.0.3","TLSv1.3","2011","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","08:42:15,076546508","0.002385375"
"12","5.123164377","172.19.0.3","172.19.0.2","TCP","66","38402  >  4433 [ACK] Seq=1663 Ack=1946 Win=68096 Len=0 TSval=2383519857 TSecr=3234251201","08:42:15,076565758","0.000019250"
"13","5.125675211","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","08:42:15,079076592","0.002510834"
"14","5.125708377","172.19.0.3","172.19.0.2","TCP","66","38402  >  4433 [RST, ACK] Seq=1743 Ack=1946 Win=68096 Len=0 TSval=2383519859 TSecr=3234251201","08:42:15,079109758","0.000033166"
"15","10.296054963","1a:15:a0:fa:d4:aa","ee:1b:56:ce:09:43","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","08:42:20,249456344","5.170346586"
"16","10.296215672","ee:1b:56:ce:09:43","1a:15:a0:fa:d4:aa","ARP","42","172.19.0.3 is at ee:1b:56:ce:09:43","08:42:20,249617053","0.000160709"
