"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","26:a5:c1:a6:38:50","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:34:36,746627546","0.000000000"
"2","1.000991917","26:a5:c1:a6:38:50","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:34:37,747619463","1.000991917"
"3","2.002839667","26:a5:c1:a6:38:50","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:34:38,749467213","1.001847750"
"4","5.119834669","26:a5:c1:a6:38:50","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","06:34:41,866462215","3.116995002"
"5","5.119849752","52:43:7d:34:f3:a7","26:a5:c1:a6:38:50","ARP","42","172.19.0.2 is at 52:43:7d:34:f3:a7","06:34:41,866477298","0.000015083"
"6","5.119865586","172.19.0.3","172.19.0.2","TCP","74","48204  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2377844321 TSecr=0 WS=128","06:34:41,866493132","0.000015834"
"7","5.119880252","172.19.0.2","172.19.0.3","TCP","74","4433  >  48204 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3228575665 TSecr=2377844321 WS=128","06:34:41,866507798","0.000014666"
"8","5.119892044","172.19.0.3","172.19.0.2","TCP","66","48204  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2377844321 TSecr=3228575665","06:34:41,866519590","0.000011792"
"9","5.119920211","172.19.0.3","172.19.0.2","TLSv1.3","629","Client Hello","06:34:41,866547757","0.000028167"
"10","5.119923377","172.19.0.2","172.19.0.3","TCP","66","4433  >  48204 [ACK] Seq=1 Ack=564 Win=64640 Len=0 TSval=3228575665 TSecr=2377844321","06:34:41,866550923","0.000003166"
"11","5.126961211","172.19.0.2","172.19.0.3","TLSv1.3","1111","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","06:34:41,873588757","0.007037834"
"12","5.126977794","172.19.0.3","172.19.0.2","TCP","66","48204  >  4433 [ACK] Seq=564 Ack=1046 Win=67072 Len=0 TSval=2377844328 TSecr=3228575672","06:34:41,873605340","0.000016583"
"13","5.132592461","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","06:34:41,879220007","0.005614667"
"14","5.132623711","172.19.0.3","172.19.0.2","TCP","66","48204  >  4433 [RST, ACK] Seq=644 Ack=1046 Win=67072 Len=0 TSval=2377844333 TSecr=3228575672","06:34:41,879251257","0.000031250"
"15","10.309899713","52:43:7d:34:f3:a7","26:a5:c1:a6:38:50","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","06:34:47,056527259","5.177276002"
"16","10.310073005","26:a5:c1:a6:38:50","52:43:7d:34:f3:a7","ARP","42","172.19.0.3 is at 26:a5:c1:a6:38:50","06:34:47,056700551","0.000173292"
