"No.","Time","Source","Destination","Protocol","Length","Info","UTC Time","Delta"
"1","0.000000000","a2:c6:ff:91:3d:a6","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:36:50.402128469","0.000000000"
"2","1.003132084","a2:c6:ff:91:3d:a6","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:36:51.405260553","1.003132084"
"3","2.003718376","a2:c6:ff:91:3d:a6","Broadcast","ARP","42","ARP Announcement for 172.19.0.3","06:36:52.405846845","1.000586292"
"4","5.115770044","a2:c6:ff:91:3d:a6","Broadcast","ARP","42","Who has 172.19.0.2? Tell 172.19.0.3","06:36:55.517898513","3.112051668"
"5","5.115783627","36:1d:29:52:f3:61","a2:c6:ff:91:3d:a6","ARP","42","172.19.0.2 is at 36:1d:29:52:f3:61","06:36:55.517912096","0.000013583"
"6","5.115801336","172.19.0.3","172.19.0.2","TCP","74","55106  >  4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2377977973 TSecr=0 WS=128","06:36:55.517929805","0.000017709"
"7","5.115813461","172.19.0.2","172.19.0.3","TCP","74","4433  >  55106 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3228709317 TSecr=2377977973 WS=128","06:36:55.517941930","0.000012125"
"8","5.115825794","172.19.0.3","172.19.0.2","TCP","66","55106  >  4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2377977973 TSecr=3228709317","06:36:55.517954263","0.000012333"
"9","5.115849586","172.19.0.3","172.19.0.2","TLSv1.3","2056","Client Hello","06:36:55.517978055","0.000023792"
"10","5.115852836","172.19.0.2","172.19.0.3","TCP","66","4433  >  55106 [ACK] Seq=1 Ack=1991 Win=68096 Len=0 TSval=3228709317 TSecr=2377977973","06:36:55.517981305","0.000003250"
"11","5.119018169","172.19.0.2","172.19.0.3","TLSv1.3","2546","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data","06:36:55.521146638","0.003165333"
"12","5.119038127","172.19.0.3","172.19.0.2","TCP","66","55106  >  4433 [ACK] Seq=1991 Ack=2481 Win=69120 Len=0 TSval=2377977976 TSecr=3228709320","06:36:55.521166596","0.000019958"
"13","5.123149086","172.19.0.3","172.19.0.2","TLSv1.3","146","Change Cipher Spec, Application Data","06:36:55.525277555","0.004110959"
"14","5.123183544","172.19.0.3","172.19.0.2","TCP","66","55106  >  4433 [RST, ACK] Seq=2071 Ack=2481 Win=69120 Len=0 TSval=2377977980 TSecr=3228709320","06:36:55.525312013","0.000034458"
"15","10.286294032","36:1d:29:52:f3:61","a2:c6:ff:91:3d:a6","ARP","42","Who has 172.19.0.3? Tell 172.19.0.2","06:37:00.688422501","5.163110488"
"16","10.286333907","a2:c6:ff:91:3d:a6","36:1d:29:52:f3:61","ARP","42","172.19.0.3 is at a2:c6:ff:91:3d:a6","06:37:00.688462376","0.000039875"
