P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
23.37,24.3,38.39,28.52,25.41
12.92,12.63,21.21,15.7,13.04
13.12,12.49,21.03,15.04,12.52
12.96,12.46,21.55,14.66,12.85
13.18,12.36,20.7,15.32,12.94
13.8,12.38,23.83,15.85,12.37
12.73,12.51,20.94,14.54,12.98
13.83,12.9,20.57,14.51,12.74
12.72,12.21,20.65,15.69,13.28
12.65,12.41,20.7,16.18,13.14
12.72,12.08,21.1,14.36,12.75
13.05,12.4,20.36,14.33,13.09
13.91,12.29,23.32,15.97,13.09
13.42,12.44,20.81,14.73,12.74
13.05,12.47,20.77,14.71,12.9
13.17,12.16,20.63,15.84,12.76
12.87,12.34,20.93,16.03,12.75
12.83,12.37,24.47,14.53,13.27
12.81,12.81,20.77,14.57,12.88
13.07,12.61,20.68,16.5,12.76
12.64,12.34,20.35,14.49,12.82
13.38,12.51,20.86,14.53,13.35
12.74,12.46,20.95,14.82,12.71
14.41,12.24,24.98,14.55,12.99
12.92,12.22,26.32,14.39,12.73
13.19,12.28,26.19,14.44,12.64
12.75,12.29,20.46,14.73,13.74
13.14,12.09,21.0,15.98,13.45
13.88,12.35,26.58,14.58,12.65
12.99,12.51,21.0,14.29,12.73
12.7,12.31,20.89,15.52,12.99
12.71,12.41,19.97,14.52,13.28
12.66,12.51,23.4,15.11,12.85
12.73,13.41,20.66,15.31,12.78
12.73,12.67,21.01,14.71,12.82
13.58,12.59,20.49,14.6,12.97
12.77,12.93,23.72,14.59,12.8
12.81,12.56,20.48,14.6,12.72
12.86,12.41,20.26,15.46,13.16
12.84,12.59,20.86,14.44,13.02
12.61,13.8,20.73,14.45,13.97
13.32,12.78,20.68,14.36,13.23
13.98,13.05,20.46,15.12,12.76
12.79,13.28,21.28,15.84,13.21
13.66,12.65,20.55,14.7,12.56
12.87,12.45,20.23,14.75,12.94
12.93,12.5,19.97,14.86,12.72
13.07,13.2,20.77,14.84,13.11
13.4,12.41,21.2,14.46,12.72
12.74,12.33,20.91,14.79,12.7
12.51,12.17,20.57,14.89,12.88
12.65,12.59,20.48,15.09,13.19
12.81,12.88,20.03,15.3,13.03
12.87,12.48,20.6,14.52,12.75
13.18,12.38,21.12,16.06,13.43
12.93,12.99,21.35,14.56,12.67
13.91,12.73,20.9,14.35,12.72
12.84,12.57,22.09,14.5,12.64
12.68,12.37,20.8,16.24,12.44
12.69,12.53,20.32,15.33,12.2
12.54,12.45,20.73,15.24,13.14
13.57,12.37,21.03,16.25,13.03
12.77,12.25,20.78,14.89,12.64
13.29,12.54,21.05,15.95,12.72
13.07,12.13,20.76,14.62,12.79
12.68,12.45,20.99,14.62,12.78
12.86,13.3,20.84,14.63,12.81
13.54,12.55,20.95,14.48,12.73
12.79,12.24,21.74,14.62,13.66
12.73,12.36,20.7,14.63,13.53
13.45,12.58,20.71,14.78,12.92
12.72,12.16,20.3,16.24,12.72
13.35,12.28,20.74,14.57,12.61
13.35,12.74,20.89,14.51,12.34
12.75,13.0,20.93,15.38,12.68
12.91,12.69,21.05,14.71,13.09
12.81,12.15,20.49,15.81,12.63
13.6,13.02,27.63,14.86,12.65
12.89,12.51,21.18,14.59,12.65
13.1,12.38,23.48,14.82,12.76
13.78,13.4,20.41,16.76,12.78
12.93,12.72,20.93,14.68,12.78
12.91,13.48,20.65,15.38,13.03
12.93,12.67,22.34,15.33,12.64
12.99,12.18,27.55,14.74,12.81
12.85,12.19,21.07,14.47,12.7
12.9,12.56,24.5,14.68,12.57
12.84,12.49,20.43,16.18,12.71
12.7,12.33,20.82,15.18,12.68
12.72,12.27,20.86,15.32,13.11
13.23,12.91,24.15,14.95,12.65
13.53,12.49,20.86,14.6,12.66
12.82,12.73,20.68,15.61,12.84
13.13,12.57,20.65,15.62,13.75
12.88,12.66,20.68,14.57,12.58
12.92,12.34,20.69,14.64,12.67
12.94,12.17,22.46,14.4,12.75
12.73,12.14,20.83,15.38,12.51
12.92,13.15,21.54,14.47,12.61
12.85,12.86,20.97,15.37,12.48
12.65,12.5,21.0,14.64,12.2
12.95,12.23,20.86,14.55,13.19
12.98,12.29,26.17,14.5,12.74
12.83,12.35,24.75,14.49,12.9
12.88,12.25,20.98,14.89,12.87
12.72,12.09,22.61,15.41,12.76
13.37,12.34,20.73,14.44,12.75
12.91,12.01,21.21,14.39,12.68
13.68,12.33,24.92,16.05,12.68
13.52,12.4,20.84,15.53,12.72
13.6,12.49,24.17,14.85,12.78
12.76,12.22,20.89,14.47,12.65
12.81,12.31,20.58,14.82,12.7
12.69,12.59,20.54,14.64,13.0
13.55,12.74,20.91,14.6,12.97
12.73,12.41,26.95,15.4,13.5
12.7,12.73,20.31,14.51,12.42
12.74,12.21,20.59,15.05,12.2
12.71,12.06,25.57,14.57,12.18
13.5,12.32,20.91,14.63,12.25
12.6,12.13,20.74,14.48,12.24
12.7,12.08,20.62,14.48,12.15
12.7,12.24,22.76,15.36,13.22
12.64,12.25,21.41,14.65,12.28
12.65,12.25,21.26,14.61,12.13
12.72,12.24,22.29,14.75,12.18
12.98,12.22,20.86,14.47,12.32
12.8,12.41,20.73,15.07,13.51
12.94,12.31,21.54,14.48,12.72
12.63,12.25,20.77,15.98,12.32
12.73,12.21,25.93,14.67,12.92
12.9,12.72,21.68,15.27,12.64
12.72,12.24,21.71,14.57,12.62
12.91,12.31,24.8,14.43,12.98
12.79,12.24,22.31,14.24,12.81
13.03,12.26,20.81,14.35,12.97
13.0,12.52,20.77,14.59,13.42
13.56,12.19,21.69,14.58,12.78
13.58,12.19,20.8,14.6,12.71
12.86,12.27,20.78,14.44,12.39
13.23,12.39,20.83,14.73,12.65
13.11,12.38,20.86,15.2,12.88
13.26,12.32,26.14,14.7,12.94
13.63,12.31,20.69,15.86,12.77
13.3,12.71,21.03,15.93,12.77
13.71,12.11,20.9,14.49,13.34
12.79,12.39,20.53,14.68,12.47
12.88,12.24,20.49,14.59,12.47
12.94,12.23,20.79,14.47,13.39
13.0,12.26,20.58,14.27,12.8
13.38,12.12,20.81,14.61,12.54
12.93,12.04,20.64,14.4,12.68
13.05,12.36,24.79,15.26,12.9
13.03,12.27,20.93,14.43,12.87
13.05,12.34,20.77,14.69,12.66
12.92,12.25,20.97,14.28,12.78
12.91,12.15,23.93,14.52,12.75
12.89,12.45,21.05,15.18,12.71
12.98,12.22,20.9,14.37,12.67
12.91,12.32,20.73,14.4,12.73
12.78,12.43,20.95,14.79,12.78
13.42,12.15,22.1,14.46,12.71
13.12,12.32,21.46,16.16,12.7
12.96,12.61,21.73,14.65,13.14
13.07,12.54,20.35,14.49,13.31
13.84,12.25,22.26,16.39,13.09
12.87,12.29,21.11,14.44,12.65
12.95,12.29,21.98,16.48,13.93
13.32,12.26,20.84,14.39,12.85
12.87,12.24,20.98,15.53,12.69
12.88,12.27,20.99,14.46,13.01
13.2,12.14,24.36,15.99,12.94
12.92,12.36,21.52,14.4,12.71
14.32,12.49,20.76,15.35,12.91
13.29,12.26,20.75,14.78,13.04
13.99,12.21,21.32,14.4,13.12
13.9,12.37,21.12,15.2,12.92
14.19,12.35,21.05,14.3,12.87
13.05,12.36,24.57,14.49,12.72
13.79,12.29,20.92,14.46,12.6
13.62,12.26,21.15,14.45,12.72
12.99,12.1,21.19,14.58,12.86
13.33,12.26,21.14,15.14,12.78
13.51,12.26,20.77,14.52,12.63
14.05,12.35,20.66,14.46,12.95
13.82,12.3,22.21,14.56,13.24
13.85,12.26,22.8,14.45,12.79
13.18,12.72,20.98,15.55,13.68
13.71,12.19,20.84,14.98,12.72
12.98,12.4,25.6,14.32,12.72
13.02,12.43,24.27,14.49,12.65
12.91,12.44,20.69,14.71,12.95
13.15,12.32,24.86,14.87,12.91
13.67,12.14,20.96,14.45,12.78
13.45,12.3,21.23,14.85,12.88
13.02,13.52,20.74,14.59,12.98
13.48,12.28,21.53,14.98,12.9
14.25,12.16,20.96,14.37,12.89
13.79,12.7,21.04,14.54,12.52
12.94,12.1,22.39,14.54,12.75
12.93,12.28,24.59,14.81,13.23
13.44,12.05,22.92,15.73,13.57
12.83,12.23,21.97,15.79,13.28
13.53,12.35,21.46,14.68,12.95
13.0,12.09,23.66,15.77,13.71
13.6,12.05,21.39,16.18,13.06
13.09,12.28,22.15,14.61,12.56
12.98,12.23,21.18,14.56,13.54
13.06,12.28,21.87,14.62,12.9
12.72,12.15,24.15,15.19,13.05
13.2,12.32,21.76,14.45,12.94
12.88,12.37,20.76,14.46,13.04
12.74,12.09,20.77,14.27,13.3
12.69,12.01,22.66,15.2,13.23
12.76,12.08,26.31,14.66,12.82
12.81,12.26,21.75,15.08,13.78
12.77,12.54,23.56,14.66,13.78
12.85,12.19,20.85,15.19,13.48
13.55,12.28,24.66,15.2,12.96
12.66,12.29,22.95,14.73,12.79
12.72,12.13,21.75,14.99,12.92
12.77,12.3,22.72,14.75,12.92
12.78,12.3,24.98,14.99,12.93
12.8,12.3,22.51,16.18,12.9
12.86,12.01,21.64,16.52,12.88
12.82,11.99,24.72,16.06,12.86
13.4,12.23,22.92,14.58,13.16
13.14,12.3,22.75,14.54,13.16
13.54,12.18,21.45,14.71,12.83
12.75,12.65,22.21,15.1,12.85
12.73,12.28,20.83,15.9,13.08
13.34,12.25,20.99,15.02,12.81
12.65,12.32,22.28,14.65,12.73
13.57,12.14,24.54,15.61,12.96
12.95,12.04,23.85,14.44,12.78
12.88,12.15,21.2,15.22,13.14
13.24,12.76,21.98,14.41,13.77
12.93,12.14,22.86,14.93,13.55
12.84,12.25,21.84,14.66,13.06
12.79,12.23,24.94,14.55,12.75
12.71,12.11,22.67,14.76,12.72
12.93,12.6,22.92,14.66,13.83
13.04,12.41,25.11,15.41,13.13
12.9,12.33,23.02,15.15,13.63
12.91,12.57,25.42,15.55,12.91
12.81,12.28,20.59,14.42,13.05
13.32,12.28,21.15,14.57,12.95
12.99,12.4,24.58,15.01,13.44
12.89,12.63,20.88,14.51,13.03
12.79,12.24,21.38,14.55,12.62
13.01,12.42,22.29,15.98,12.85
12.98,12.37,23.83,15.68,12.3
13.1,12.26,24.01,14.59,13.18
13.72,12.1,20.72,14.56,13.98
13.63,12.06,24.39,14.47,12.8
13.77,12.38,22.09,15.12,13.96
13.13,12.28,20.84,14.48,12.6
13.13,12.22,20.69,14.54,12.77
13.68,12.14,20.76,15.27,12.66
13.6,12.14,20.98,14.64,12.63
12.96,12.35,20.81,15.49,12.96
13.04,12.23,20.65,16.14,12.71
13.13,12.64,20.6,14.63,12.64
13.6,12.29,27.5,16.46,12.96
13.06,12.24,20.77,14.61,12.82
13.47,12.06,24.9,14.46,12.89
13.15,12.36,20.92,14.46,12.73
13.46,12.26,20.75,14.72,12.62
13.75,12.18,20.93,15.82,12.71
13.22,12.36,20.61,15.17,12.89
13.72,12.3,21.95,14.42,12.77
12.93,12.26,26.02,14.41,12.61
12.97,12.29,24.26,14.46,13.0
13.58,12.29,20.93,14.38,12.79
13.59,12.37,20.74,14.39,13.44
13.12,12.21,20.99,14.81,12.76
13.38,12.76,20.92,15.41,12.54
13.24,12.25,24.84,14.35,12.98
13.03,12.13,20.89,14.39,12.64
13.1,12.3,20.47,14.36,13.07
13.69,12.35,20.82,15.12,12.97
13.49,12.24,20.94,14.64,12.81
12.84,12.13,20.97,14.58,13.01
13.23,12.42,21.99,16.1,12.71
13.49,12.36,21.26,14.64,12.8
14.25,12.26,22.3,14.43,12.7
12.99,12.18,21.16,14.7,13.38
13.04,12.08,21.1,14.48,13.2
13.1,12.37,20.78,14.51,12.93
13.06,12.16,21.3,14.41,12.63
12.96,12.23,21.97,14.43,13.85
13.34,12.31,21.01,14.75,12.8
12.79,12.24,21.04,14.55,12.74
13.4,12.24,20.82,14.61,12.71
13.22,12.36,22.42,15.25,13.23
13.55,12.31,22.65,15.19,12.65
12.95,12.23,28.47,14.63,12.71
14.18,12.34,21.35,15.36,12.88
12.71,12.28,25.17,14.84,12.99
13.16,12.39,23.58,14.53,12.88
13.39,12.37,23.64,14.74,13.13
13.01,12.37,21.97,15.3,13.54
14.22,12.47,20.84,16.08,12.79
13.51,12.14,23.05,14.68,13.33
12.89,12.15,21.74,14.52,12.79
13.05,12.68,25.33,15.3,13.0
12.99,12.06,21.81,14.46,13.05
13.18,12.72,24.87,14.46,12.99
13.1,12.63,21.42,14.48,12.82
12.93,13.46,20.95,14.5,13.16
12.97,12.38,21.32,15.4,12.97
13.46,12.51,22.17,14.78,12.79
12.81,12.7,21.34,14.5,12.95
12.68,12.39,22.73,14.4,12.98
12.64,12.24,21.99,14.45,13.27
12.91,12.32,21.81,15.35,13.1
13.08,12.18,25.17,14.47,13.34
12.78,12.24,22.61,15.31,13.46
12.96,12.17,21.32,15.05,12.92
12.95,12.21,20.62,15.18,12.82
12.7,12.08,21.35,14.13,12.8
12.63,12.62,24.64,15.97,13.47
13.32,12.21,22.05,15.57,13.0
13.29,12.34,25.0,14.68,13.23
12.71,12.06,21.63,14.35,12.88
12.92,12.46,20.71,14.51,12.77
13.49,12.13,21.95,14.52,12.88
12.74,12.28,21.48,14.95,13.0
12.71,12.38,20.9,15.13,13.39
12.56,12.22,22.23,15.15,12.96
12.7,12.3,21.34,15.44,13.41
13.69,12.07,21.85,14.49,12.74
12.96,12.28,23.22,14.56,12.86
12.81,12.73,22.02,14.48,13.01
12.67,12.4,21.54,15.12,12.88
12.7,12.15,20.85,14.45,12.91
12.66,12.41,26.31,14.82,12.86
12.74,12.15,21.43,15.35,13.09
12.75,12.22,20.79,14.47,12.85
12.77,12.36,23.07,14.43,12.98
13.02,12.24,21.34,14.43,12.9
12.87,12.27,22.44,14.62,12.74
12.88,12.46,21.11,14.54,12.75
12.92,12.23,21.21,14.69,13.29
14.1,12.54,20.33,15.29,13.13
12.77,12.35,20.56,14.49,13.76
12.68,12.36,24.73,15.6,13.71
13.02,12.77,20.69,14.53,13.05
12.69,12.34,20.78,14.44,12.89
13.03,12.56,21.43,14.41,13.14
12.69,12.24,20.56,14.62,13.5
12.76,12.3,20.68,15.27,12.9
12.76,12.07,21.33,15.31,12.89
13.35,12.62,20.85,14.36,13.86
13.25,12.32,20.78,14.39,13.66
14.14,12.25,20.6,14.55,12.85
12.87,12.18,20.63,14.59,12.99
12.81,12.29,20.78,16.02,12.83
12.73,12.26,20.59,14.75,13.34
13.28,12.27,21.69,14.52,13.06
13.93,12.21,20.68,14.49,12.73
13.34,12.28,20.43,14.23,13.07
12.81,12.2,20.93,15.61,13.0
12.88,12.33,21.2,15.34,12.83
12.97,12.61,25.32,14.37,12.7
12.8,12.61,21.43,14.5,13.65
12.65,13.28,20.58,14.44,12.6
13.51,12.96,25.19,15.6,13.12
12.63,12.24,20.87,16.07,13.0
12.65,12.39,21.03,14.63,12.79
13.03,12.27,20.68,14.54,12.79
12.8,12.26,24.3,14.53,12.8
12.61,12.64,26.66,15.91,12.91
12.79,12.41,22.07,14.36,12.64
12.99,12.51,24.39,15.12,13.03
12.92,12.28,26.28,14.5,12.86
12.41,12.28,20.74,15.4,12.78
12.76,12.29,24.7,14.55,12.67
12.76,12.35,21.85,14.39,12.65
12.97,12.16,20.75,14.39,12.7
12.75,12.06,20.35,14.53,12.89
13.09,12.64,20.79,16.01,12.77
