P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
4.28,3.34,17.92,7.43,4.91
2.87,2.41,11.08,4.88,3.01
2.77,2.49,11.31,4.45,2.58
2.73,3.1,11.01,4.51,3.46
2.8,2.45,17.89,5.86,3.67
2.7,2.46,13.74,4.42,3.53
2.97,2.61,14.61,4.16,2.81
2.79,3.25,11.12,4.27,2.49
3.28,2.48,10.69,5.4,2.87
3.18,2.38,10.87,4.28,2.97
2.98,2.3,12.0,4.23,2.52
3.27,2.65,10.81,4.34,2.52
2.6,2.4,14.44,4.58,2.63
2.84,2.12,15.69,4.49,3.41
2.65,2.51,10.88,4.36,2.72
2.73,2.66,14.86,4.2,2.96
2.92,2.47,11.11,4.28,2.84
2.47,2.33,11.7,4.44,3.57
3.59,3.03,10.51,4.42,2.7
3.5,2.24,10.78,5.38,3.01
2.65,2.12,10.86,4.4,3.0
2.71,2.69,11.17,4.24,2.55
2.73,2.02,10.53,4.68,2.77
3.76,2.37,12.98,4.67,2.62
3.23,2.77,16.34,4.32,2.74
3.52,2.75,10.78,4.31,2.95
3.3,2.19,11.66,4.41,2.71
2.44,2.04,14.33,4.42,2.55
2.71,2.83,16.01,4.38,2.53
2.71,2.27,15.37,5.58,2.94
3.22,2.52,11.14,4.25,3.0
2.92,2.26,10.7,6.09,3.35
2.41,2.12,10.5,4.29,2.85
3.07,2.66,11.68,5.67,2.51
2.75,2.13,10.93,4.38,3.51
2.55,2.63,14.81,4.38,2.9
3.3,2.15,10.53,4.99,3.06
2.63,2.08,10.91,4.9,3.06
2.61,2.06,10.99,4.36,2.85
2.41,2.08,10.74,4.31,2.52
3.1,2.38,10.77,5.02,2.76
2.62,2.15,11.63,4.31,2.81
2.5,2.29,10.68,4.82,3.21
3.19,2.92,10.74,4.15,2.73
2.48,2.12,10.78,4.2,2.64
2.76,2.24,10.51,4.2,3.49
2.48,2.61,14.69,5.37,3.4
2.74,2.03,10.88,4.46,2.65
