P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
63.01,62.56,70.75,63.23,62.96
42.23,42.14,48.0,42.42,42.26
42.16,42.05,47.8,42.3,42.15
42.24,42.53,48.1,42.48,42.09
42.05,42.08,48.04,42.93,42.21
42.12,42.36,48.2,42.83,42.41
42.2,42.3,48.03,42.85,42.38
42.09,42.02,48.2,43.05,42.33
42.9,42.27,48.16,42.72,42.88
42.12,42.06,48.15,42.66,42.47
42.22,42.07,47.88,42.95,42.37
42.18,41.82,48.02,42.71,42.35
42.15,42.17,47.91,42.65,42.28
42.06,42.32,47.88,42.76,42.3
42.43,42.33,48.19,42.74,42.5
42.09,42.14,47.86,43.72,42.45
42.23,42.19,48.18,42.87,42.32
42.34,42.12,48.12,42.74,42.4
42.3,42.16,48.07,42.53,42.45
42.35,41.95,48.08,42.51,42.39
42.27,41.99,48.03,43.01,42.23
42.17,41.98,47.92,42.82,42.39
42.08,41.95,47.77,42.87,42.34
42.02,41.75,48.12,42.48,42.3
42.06,41.84,47.89,42.39,42.42
42.13,41.82,48.03,42.62,42.05
42.03,41.97,48.1,42.27,42.13
41.88,42.05,48.03,42.37,42.31
42.28,41.98,48.02,42.21,42.32
42.06,42.03,47.91,42.52,42.44
41.99,42.06,47.8,42.62,42.16
41.94,41.92,47.84,42.82,42.36
41.88,41.97,48.49,42.34,42.46
41.99,42.08,48.22,42.4,42.31
41.89,41.84,48.02,42.5,42.19
42.09,41.94,48.07,42.43,42.11
41.93,41.83,48.06,42.35,42.29
41.98,41.9,48.13,42.61,42.16
42.0,42.0,47.94,42.62,42.21
42.16,41.82,48.09,42.63,42.3
42.01,42.02,47.75,42.61,42.25
42.18,42.09,47.76,42.62,42.28
42.03,42.02,47.96,42.5,42.38
41.83,41.91,47.97,42.61,43.16
42.04,42.07,48.1,42.35,42.23
42.03,42.01,48.05,42.45,42.15
41.9,42.05,47.98,42.29,42.46
41.77,42.12,48.29,42.5,42.23
42.19,41.93,47.98,42.56,42.44
41.91,41.83,48.43,42.57,42.33
42.08,41.96,48.2,42.51,42.66
42.22,41.99,47.87,42.31,42.84
