P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
49.55,27.2,61.48,50.83,46.93
27.14,15.24,35.06,28.19,24.14
26.32,15.01,34.8,27.94,23.81
26.65,14.97,35.06,28.77,24.32
26.29,15.07,35.06,29.35,23.99
26.52,15.08,34.96,27.61,23.85
26.75,15.52,34.68,29.61,24.42
27.08,15.1,41.73,28.01,24.22
27.35,17.04,34.9,29.23,23.82
27.05,14.77,34.85,29.77,24.45
26.86,14.73,34.69,29.52,25.27
26.9,16.34,35.49,28.86,24.93
26.57,14.87,35.02,27.94,24.05
28.79,15.05,35.03,27.81,24.57
26.69,15.24,35.46,27.9,25.17
26.53,16.14,37.54,30.43,24.47
28.54,15.02,41.79,28.0,24.16
26.14,15.11,37.27,30.44,25.6
27.99,14.84,35.68,27.44,23.87
28.71,14.97,34.8,28.03,25.05
26.64,15.46,41.5,27.66,24.02
26.17,14.75,34.84,27.49,23.84
26.8,14.92,35.61,27.86,24.68
26.46,14.91,35.02,27.75,23.83
27.19,14.89,34.96,30.9,24.11
26.52,15.73,39.59,27.44,24.34
26.93,17.37,34.75,30.91,24.08
26.43,14.96,36.28,29.94,23.98
26.2,17.17,34.39,27.61,24.04
26.45,14.79,35.5,27.58,24.18
26.56,16.46,35.2,27.73,23.79
26.47,16.86,37.78,28.79,24.14
26.84,15.19,34.31,27.42,24.39
26.49,14.7,35.03,31.64,24.42
26.15,17.13,34.75,27.84,24.1
26.6,15.69,34.95,30.71,24.78
26.57,14.97,34.56,27.62,24.33
27.0,14.92,34.69,30.27,24.01
26.27,16.18,34.59,27.74,24.13
26.48,14.97,35.17,28.75,24.02
28.05,15.84,34.95,27.8,23.96
26.91,14.99,34.73,28.0,24.27
26.88,15.67,37.16,27.66,24.07
27.06,15.17,35.08,27.73,23.9
27.32,16.85,34.96,27.74,24.78
27.27,15.34,35.24,27.56,24.06
26.69,16.82,35.34,27.65,23.85
26.86,15.33,34.95,28.69,24.16
27.78,15.16,34.26,27.77,24.04
27.06,15.04,35.52,29.24,24.07
26.41,15.34,34.94,27.76,24.06
27.07,14.92,38.24,27.92,24.29
28.37,28.98,36.16,27.81,24.35
26.41,25.47,35.36,27.67,24.01
29.33,25.32,35.09,27.63,24.11
26.91,24.99,35.07,28.32,23.95
26.64,26.9,35.43,27.75,24.1
28.29,25.63,41.86,28.96,24.1
26.54,25.74,34.66,27.53,23.98
26.49,26.37,34.37,27.78,24.02
26.7,26.31,34.9,27.43,24.67
26.95,25.14,34.72,27.38,24.04
26.8,24.96,35.05,27.58,24.07
26.82,25.41,34.82,27.67,24.14
28.25,26.01,35.42,27.62,24.23
26.3,24.9,34.57,27.69,24.03
26.18,25.92,34.86,28.93,23.81
26.63,25.12,35.13,27.5,24.37
27.73,28.13,34.3,27.43,23.98
27.63,26.18,34.95,27.44,24.13
26.57,25.12,35.83,27.48,24.07
27.9,25.2,34.99,27.65,24.03
26.74,25.77,34.5,27.5,23.77
26.51,24.99,35.9,27.52,23.76
26.4,26.64,35.45,27.53,24.59
26.25,25.29,34.8,27.69,23.88
26.36,25.65,35.03,27.77,24.62
26.28,26.02,35.07,27.63,23.81
26.07,25.23,36.79,31.27,23.99
29.18,25.78,34.53,27.6,23.97
26.41,26.57,35.23,27.77,24.11
26.8,25.12,34.66,27.66,24.39
26.1,25.03,34.96,27.39,24.43
26.62,25.03,35.06,29.41,24.05
26.65,26.03,35.66,27.97,24.08
26.3,25.08,35.02,29.86,24.05
26.58,24.9,34.92,28.34,24.08
26.39,24.91,37.47,27.49,24.62
26.18,24.93,35.16,27.7,23.82
26.24,24.61,34.51,27.73,23.77
26.13,24.68,34.75,27.47,24.02
26.55,26.12,36.17,30.47,24.13
26.19,25.41,37.36,27.57,24.29
26.06,25.24,35.44,27.6,23.78
25.89,24.96,34.67,27.46,23.96
28.1,25.05,34.82,27.61,24.02
26.63,25.43,34.85,27.7,23.98
26.39,28.2,34.81,29.66,24.03
26.01,24.91,34.45,27.56,24.79
26.38,25.31,34.98,27.61,24.79
26.24,25.16,35.22,27.38,23.87
26.31,24.97,38.53,27.88,24.15
26.01,24.96,35.89,28.0,23.98
26.18,26.17,35.36,27.69,24.18
25.95,25.78,36.74,27.5,24.21
25.89,25.3,35.83,27.57,24.01
26.39,24.96,35.18,28.63,23.88
26.09,25.0,36.87,27.63,24.0
26.27,25.24,37.26,27.69,24.02
28.52,25.56,35.33,28.9,24.08
27.61,26.36,39.08,27.66,23.84
26.5,25.85,39.87,27.64,24.07
26.28,25.92,35.98,27.78,24.05
26.79,25.43,34.87,30.95,24.38
26.15,25.67,35.15,28.14,24.06
26.14,25.45,36.15,29.15,24.06
26.07,25.25,38.33,27.52,24.09
26.27,25.16,36.02,27.64,24.04
26.24,27.07,37.87,27.53,23.95
26.35,24.75,34.76,28.48,24.02
26.26,25.69,35.18,27.66,24.0
26.46,26.39,42.01,27.73,24.22
26.27,25.09,40.57,27.53,25.44
26.98,25.15,35.27,28.55,24.26
26.14,26.39,37.19,27.58,24.25
27.43,25.25,40.18,27.72,24.13
27.05,25.61,35.5,27.61,24.79
26.53,25.14,39.56,28.07,24.46
26.04,24.79,39.4,30.18,24.04
26.16,25.14,35.84,27.54,23.82
26.51,25.47,38.34,27.63,24.04
26.94,25.77,36.21,28.59,24.33
26.14,25.22,39.49,28.44,24.28
25.94,25.33,42.37,29.14,24.07
26.4,26.97,35.68,29.3,24.12
26.01,26.25,39.24,28.95,24.19
26.2,25.14,41.55,27.9,24.18
26.08,25.25,38.37,29.76,24.14
25.9,26.29,44.41,29.64,24.32
26.33,26.15,39.42,28.1,24.44
26.32,24.98,36.16,28.46,23.95
26.53,25.04,35.04,29.25,24.12
26.54,25.15,37.87,32.05,23.79
26.44,25.17,34.67,28.07,23.88
26.04,25.22,34.68,27.86,23.81
26.12,25.12,34.54,28.84,24.11
26.38,24.89,34.93,27.67,24.11
26.07,24.74,36.93,27.87,23.8
26.98,25.15,35.55,28.61,24.28
26.25,25.46,35.98,31.77,24.11
26.14,25.99,34.92,28.01,24.18
26.44,25.01,39.77,31.08,24.59
26.39,24.9,38.85,30.04,24.15
26.13,24.99,36.03,27.85,24.36
25.94,24.92,35.37,27.83,25.71
27.77,24.93,34.73,28.56,24.25
26.13,24.97,35.27,28.03,24.11
26.53,24.87,35.61,28.88,23.99
26.23,25.3,35.73,27.92,23.86
26.08,24.85,34.86,29.08,24.11
26.43,25.18,35.42,29.91,24.16
26.07,25.28,34.79,28.05,24.33
26.65,25.03,34.6,28.26,24.46
26.44,25.52,34.51,29.32,24.76
26.74,24.85,35.05,27.75,24.43
26.07,27.2,35.73,27.68,24.32
26.04,25.02,36.13,31.39,24.89
25.93,24.95,35.88,27.97,24.09
28.2,25.16,34.8,28.63,24.09
26.31,24.93,34.79,27.66,24.56
26.36,25.1,37.73,28.02,23.78
26.4,25.6,35.33,28.5,24.28
