P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
7.81,7.32,20.93,10.03,6.46
6.43,5.37,18.57,7.35,4.15
6.29,7.24,15.49,8.9,3.82
6.64,6.53,15.51,8.56,4.18
6.56,4.79,15.4,7.33,4.19
6.54,5.1,15.04,7.3,3.93
6.52,5.9,16.58,7.44,3.98
6.36,5.0,14.94,8.28,4.11
6.77,7.17,14.71,7.96,3.94
6.23,4.83,14.73,7.92,3.91
6.17,6.27,16.45,7.31,3.79
9.03,6.25,17.35,7.62,4.26
6.25,5.83,15.03,7.27,3.95
6.22,5.14,14.39,7.58,4.0
8.03,5.28,14.63,7.5,3.96
6.45,4.54,14.83,7.1,3.86
6.23,5.74,14.42,8.66,3.98
7.88,7.01,16.05,10.91,3.76
9.22,5.7,14.34,7.2,3.83
9.32,5.71,15.29,7.65,3.67
6.24,4.6,16.43,7.47,4.17
6.45,5.47,15.65,7.61,3.73
8.09,4.42,14.68,7.79,3.7
6.08,5.59,14.32,7.37,3.63
7.96,4.6,14.87,7.38,3.71
6.21,4.55,16.22,6.94,3.98
6.23,5.64,15.75,10.29,3.91
7.59,4.7,15.63,7.55,3.58
6.2,6.69,14.35,9.02,4.13
8.45,4.77,15.36,8.08,3.66
6.18,4.79,15.64,7.35,4.25
9.31,6.01,14.25,7.04,3.66
9.9,5.85,15.59,7.4,4.26
6.35,4.64,14.52,7.1,3.78
6.53,5.49,14.46,7.67,3.89
6.21,4.7,14.12,10.82,4.51
6.37,6.5,14.33,7.43,4.15
8.22,6.33,18.63,7.79,3.71
8.38,4.8,15.68,7.05,3.56
7.87,4.78,17.13,8.67,3.58
6.37,4.91,15.5,7.37,3.96
6.13,4.83,16.8,7.07,3.92
6.27,5.44,15.01,8.33,3.97
8.03,4.73,14.0,8.45,4.7
6.25,5.96,14.42,6.95,3.72
6.25,4.53,14.36,7.22,3.8
6.44,4.84,14.29,7.28,3.76
8.28,4.65,14.23,7.5,3.79
6.29,5.68,14.21,7.78,3.83
7.7,5.3,14.1,8.49,3.74
6.31,4.92,17.41,8.66,3.65
7.52,4.82,14.4,7.15,3.57
6.68,5.27,14.22,7.57,3.59
7.62,6.74,14.08,7.53,3.71
6.41,4.58,14.37,8.04,3.69
6.17,4.47,14.33,7.02,4.03
6.11,4.68,14.22,6.84,3.69
6.13,4.63,14.07,6.79,4.28
9.24,4.67,14.01,6.99,3.88
7.59,4.61,19.62,6.95,3.97
6.17,5.83,15.25,6.96,3.71
6.28,4.92,14.23,8.33,3.83
6.2,6.13,14.16,6.9,3.96
9.5,6.81,14.24,8.79,3.97
8.47,4.6,14.1,6.92,3.75
8.67,4.58,14.29,7.1,5.05
6.85,5.51,14.33,7.2,4.65
6.18,4.64,14.35,6.81,4.24
9.11,4.68,14.18,7.0,3.85
6.42,5.76,14.15,6.91,4.09
6.17,6.75,13.98,7.24,3.9
7.53,7.21,13.95,7.17,3.81
6.26,6.32,14.21,7.13,4.21
6.3,5.85,14.02,6.99,4.07
6.25,5.23,14.3,7.07,4.65
7.37,4.64,14.14,7.07,4.3
6.15,5.07,14.02,7.05,3.81
6.16,7.09,14.31,6.75,4.11
6.07,4.7,14.03,8.27,4.33
6.24,4.71,14.12,6.83,3.87
7.12,4.66,13.9,8.25,3.85
8.68,5.98,14.42,7.03,3.94
6.16,7.62,14.22,8.22,3.73
6.23,4.73,15.02,6.96,4.33
6.16,5.79,14.2,7.07,4.06
6.11,4.73,14.28,7.03,4.06
6.11,7.86,14.26,7.55,3.84
8.45,4.74,14.24,7.02,3.81
6.12,4.8,14.36,6.99,3.64
6.21,4.79,14.31,6.96,3.88
6.25,4.61,14.11,6.93,4.07
6.31,4.87,14.28,7.0,3.99
6.18,4.77,14.26,7.0,4.45
8.07,6.91,13.87,6.99,3.78
9.11,4.76,14.64,6.96,3.58
6.34,4.66,14.27,7.16,4.54
6.11,5.49,14.28,7.15,3.78
9.28,4.96,14.25,7.32,3.88
8.27,4.55,14.22,7.14,3.8
6.04,4.62,14.25,6.95,3.77
6.15,4.61,14.33,6.91,3.69
6.3,5.51,14.35,7.07,3.74
9.01,4.85,14.29,6.85,5.46
6.43,5.85,14.17,6.81,3.78
8.48,4.65,14.86,7.02,3.82
7.43,4.66,14.36,7.1,3.91
6.16,4.63,17.45,7.23,3.75
8.01,5.85,14.05,7.06,4.1
8.36,4.65,14.36,7.01,4.08
6.13,4.66,14.27,7.01,4.17
8.0,4.59,14.2,7.03,3.84
6.27,4.6,14.25,6.94,4.12
9.97,4.81,14.71,7.83,4.86
7.77,5.53,14.19,8.41,3.85
6.3,4.61,14.31,7.05,3.97
6.26,4.58,14.34,8.17,5.17
7.82,4.67,14.13,6.89,3.91
7.13,4.65,16.65,6.92,6.14
6.21,6.77,14.71,7.29,3.73
6.29,6.83,14.14,6.92,3.86
6.2,4.58,14.16,6.79,3.65
6.15,4.73,14.13,8.38,3.81
9.21,4.54,14.07,6.93,4.52
6.24,6.93,14.37,7.22,4.22
6.65,4.62,14.75,6.97,3.77
8.18,4.62,16.37,7.11,4.81
7.76,4.72,14.46,7.57,4.07
9.66,4.68,14.15,10.12,4.01
6.58,4.68,14.31,6.87,3.93
7.88,4.54,14.15,8.39,3.72
6.26,4.6,14.15,6.86,3.89
7.72,4.46,14.35,6.96,3.67
6.37,4.67,14.17,6.81,5.07
5.99,4.65,14.47,6.89,5.05
6.17,4.56,14.23,7.29,3.71
7.64,4.53,14.22,8.23,5.11
8.39,4.54,14.64,7.0,4.51
8.06,4.56,14.17,7.08,3.79
6.22,5.11,14.26,6.92,3.67
6.18,4.65,14.12,7.01,4.52
8.23,4.64,14.21,7.11,3.79
6.18,4.87,14.2,7.21,3.74
6.27,4.63,15.38,6.86,4.34
6.22,5.79,14.41,7.12,3.88
6.28,4.73,14.71,6.91,3.63
6.74,4.72,14.44,8.97,4.13
6.72,4.63,14.03,7.03,4.55
6.15,4.58,16.8,8.54,3.87
6.36,4.47,18.71,7.24,3.77
6.17,5.75,16.38,6.82,3.73
7.96,4.82,14.22,7.05,3.66
6.35,5.46,14.82,7.48,4.03
6.12,4.47,14.18,6.94,3.74
6.53,4.57,14.57,7.04,3.66
8.4,4.56,14.36,7.22,6.0
10.21,4.6,14.24,6.94,4.25
6.19,4.66,14.21,9.79,4.01
6.34,4.63,16.8,7.12,4.08
7.96,4.95,14.3,7.98,3.76
6.32,4.77,14.26,6.88,4.15
6.18,4.78,14.45,6.89,4.03
6.24,4.68,14.24,6.88,4.05
6.18,4.66,14.11,7.32,3.84
6.34,5.55,14.28,7.2,5.14
8.23,4.66,14.77,7.16,4.53
6.26,4.51,14.33,6.92,3.85
6.23,4.63,15.01,7.09,3.65
6.11,6.57,14.14,7.11,3.87
6.08,4.45,14.29,7.33,3.72
9.25,5.41,14.39,7.54,3.68
6.36,4.54,14.74,7.26,3.59
6.68,5.01,14.36,7.08,3.65
8.34,5.48,16.81,6.98,4.52
6.2,5.36,14.27,7.56,3.75
7.76,4.68,14.39,8.29,5.5
6.24,4.78,14.16,7.36,3.73
6.41,4.61,14.51,8.67,3.73
9.02,4.71,14.58,6.86,3.75
6.29,5.79,14.36,9.63,3.91
6.26,4.68,14.2,7.09,3.81
6.08,5.07,14.21,7.11,3.74
6.38,4.99,14.28,8.15,3.7
6.29,4.66,14.32,6.88,3.96
6.19,4.79,14.84,6.92,3.85
8.03,4.65,14.25,7.6,3.7
6.3,4.56,14.32,7.23,3.93
6.26,4.86,14.47,8.44,3.67
6.25,6.0,14.09,7.27,3.68
7.15,4.63,15.34,7.3,3.88
6.71,4.81,14.44,7.11,3.85
6.15,4.48,14.51,7.12,3.66
6.1,4.73,14.11,6.95,3.66
6.13,4.48,14.24,6.78,3.97
9.12,5.31,14.91,7.09,3.67
7.87,4.71,14.26,6.92,4.13
7.88,4.84,14.46,6.94,3.77
6.6,4.67,14.38,7.1,3.97
6.93,4.62,14.18,6.92,3.68
8.07,5.58,14.38,7.05,3.64
8.15,6.46,14.75,6.8,3.91
6.35,4.84,14.36,7.21,3.92
6.14,4.65,14.28,8.16,3.67
6.26,4.82,14.46,7.02,3.83
6.26,6.93,14.22,7.64,3.92
6.13,4.67,14.21,8.73,3.9
6.26,4.62,14.52,7.32,3.92
8.08,5.71,14.44,6.77,3.9
6.06,4.46,14.33,6.83,3.66
6.07,4.47,14.35,6.87,3.86
6.2,4.65,14.73,6.92,3.82
8.58,4.83,15.0,7.05,3.79
6.92,4.93,14.67,7.03,3.67
6.24,4.66,14.83,6.8,3.82
7.98,4.71,14.84,6.74,4.5
6.29,4.72,14.28,7.06,3.71
9.05,6.29,14.82,7.04,3.78
9.03,4.54,14.39,7.39,3.89
6.21,4.46,14.23,7.0,3.75
6.21,4.76,14.79,6.99,3.99
6.2,4.64,15.26,7.55,3.8
6.08,4.66,14.42,7.11,4.54
8.36,6.98,14.39,7.53,3.69
8.64,4.57,14.94,7.15,3.87
6.25,6.88,14.26,6.75,4.25
6.22,4.91,14.01,7.13,3.73
