P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
71.83,66.02,78.65,67.39,66.08
49.18,45.63,55.78,46.89,45.07
49.32,47.25,55.85,46.62,45.08
49.97,45.57,55.59,46.8,44.81
49.38,45.62,55.79,46.65,44.86
49.7,45.72,55.99,46.68,44.85
49.49,45.87,56.16,46.64,44.95
49.17,45.69,55.83,46.74,45.05
49.18,46.5,55.98,46.73,45.16
49.01,45.8,55.75,46.56,44.8
49.37,45.57,55.81,46.48,45.02
49.23,45.5,55.79,46.9,45.01
48.72,45.64,55.77,46.72,44.97
48.59,45.87,55.87,46.74,45.06
48.56,45.48,56.27,47.05,45.85
48.98,45.61,55.89,46.84,45.01
49.04,45.49,55.68,46.52,45.02
48.93,45.44,55.75,46.77,45.15
48.91,46.7,56.08,46.54,44.96
49.85,45.71,55.52,46.68,45.02
49.64,45.54,55.75,46.89,45.09
50.13,45.77,55.87,47.4,44.96
49.24,45.83,55.94,46.34,45.17
49.09,45.8,55.74,46.63,45.08
48.82,46.67,56.09,46.46,44.94
48.96,45.8,63.08,47.01,45.03
49.35,45.63,55.96,46.51,45.05
48.85,45.49,58.64,46.92,45.96
48.87,45.66,58.92,46.7,45.2
48.85,45.42,56.21,46.74,45.14
52.6,45.41,60.44,46.98,45.04
49.9,45.77,60.46,46.96,45.18
49.03,45.68,56.18,46.82,45.12
49.19,45.35,55.99,46.73,45.23
49.31,46.03,56.17,46.68,45.05
49.17,45.84,60.67,46.61,45.15
51.29,47.47,60.96,46.5,45.21
49.12,47.04,60.61,46.8,45.38
49.35,46.6,56.43,46.62,45.62
49.17,45.72,56.05,46.45,45.11
49.57,45.69,56.41,46.67,45.12
49.51,45.5,56.09,46.4,45.24
49.18,49.0,55.95,47.17,45.11
49.02,45.62,56.28,46.5,45.1
49.99,45.52,56.4,46.65,45.17
48.99,45.48,56.1,47.24,45.86
49.26,45.62,55.78,46.47,45.14
49.23,45.84,55.92,46.36,45.04
48.87,46.57,55.73,46.3,45.17
49.1,45.63,55.63,46.34,45.23
48.88,45.83,55.76,46.55,45.3
48.61,45.43,55.59,46.29,45.49
49.6,45.82,55.6,46.34,45.16
49.1,45.59,55.91,46.57,45.02
49.27,45.57,55.7,46.28,45.16
49.11,45.47,55.7,46.52,45.2
49.33,45.59,55.66,46.58,45.27
49.22,46.31,56.2,46.55,45.01
49.27,46.08,55.77,46.74,45.08
49.15,45.43,56.52,46.62,45.06
49.02,45.66,56.93,46.9,45.24
50.27,45.63,56.77,46.59,45.26
48.89,45.52,55.81,46.87,45.13
49.04,46.42,55.71,46.83,45.13
48.93,45.88,55.9,46.58,45.16
48.92,45.47,56.44,46.72,45.04
49.09,45.49,56.15,46.81,45.22
51.57,45.66,55.9,47.03,44.92
49.15,45.71,55.89,47.8,45.01
49.38,45.6,55.68,47.14,45.02
49.09,46.57,55.64,47.01,45.12
48.79,45.5,56.27,47.04,45.18
49.01,45.28,55.78,46.83,45.25
49.92,45.48,56.01,47.1,45.16
49.15,45.29,55.61,49.4,45.13
48.9,45.26,56.03,46.9,45.28
49.26,45.67,3639.36,47.47,45.14
48.98,45.2,57.15,46.92,45.11
48.77,45.57,55.72,47.01,45.1
48.9,45.4,55.56,47.4,45.28
48.86,45.33,55.92,46.99,45.28
48.84,45.36,56.06,47.03,45.17
49.06,45.68,58.6,47.1,45.17
51.81,45.68,55.73,47.15,45.06
49.45,45.85,55.67,47.05,45.17
49.11,45.85,55.78,47.19,45.11
49.94,45.87,55.94,46.71,44.98
49.04,45.62,55.83,46.83,44.91
49.16,45.41,55.83,46.67,44.93
49.38,45.9,57.28,46.77,44.98
54.8,45.53,56.34,46.96,45.02
49.1,45.31,56.36,46.78,45.17
49.32,45.36,56.26,47.75,45.23
49.1,45.47,56.22,48.35,45.09
50.75,45.39,55.96,47.44,45.22
49.08,45.59,56.14,46.89,45.17
49.02,45.4,55.91,47.09,45.22
50.77,45.91,58.81,47.57,44.97
49.74,45.5,56.94,47.04,44.95
48.9,45.44,55.55,47.4,44.97
48.86,45.56,55.91,47.08,45.01
48.85,45.29,55.7,47.45,45.25
49.03,45.37,57.89,46.85,45.22
48.87,45.38,55.82,46.68,45.22
49.45,45.53,57.09,46.9,45.11
49.1,45.37,56.08,46.85,45.21
52.24,45.32,56.05,47.04,45.26
50.33,47.34,55.84,47.03,44.98
49.27,45.68,57.98,46.95,45.02
49.37,45.32,56.46,46.64,45.29
49.36,45.64,56.0,46.52,45.03
49.29,46.78,56.11,46.8,45.19
49.0,45.42,56.2,46.67,45.21
49.18,45.48,56.12,46.58,45.16
49.11,45.43,56.56,46.44,45.15
50.23,45.64,56.14,46.94,44.97
49.03,45.81,55.76,46.7,44.89
48.98,45.38,55.83,46.59,45.04
48.91,45.54,55.8,46.72,45.23
48.92,45.59,56.12,46.65,45.12
49.17,45.34,55.55,46.6,45.13
49.24,45.44,55.9,46.71,45.16
49.19,45.34,56.08,46.78,45.43
49.57,45.44,55.66,46.89,44.96
49.35,45.45,55.63,46.59,45.07
49.76,45.43,55.69,46.65,45.17
49.24,45.51,55.72,46.67,44.95
50.71,45.51,55.7,46.71,44.86
49.15,45.36,55.57,46.66,45.05
49.36,45.73,56.2,46.55,45.15
50.11,45.65,56.41,46.73,45.17
49.25,45.37,55.88,46.54,45.12
49.57,45.54,55.68,46.55,45.18
49.01,45.57,55.64,46.67,45.26
49.13,45.48,55.74,46.8,45.24
48.94,45.49,56.58,46.69,45.23
49.38,45.42,56.05,47.41,45.08
49.54,45.49,55.8,46.83,44.99
49.48,45.75,55.66,46.78,45.08
50.19,45.61,55.95,46.85,44.95
48.93,45.72,56.12,46.66,44.97
48.83,45.55,56.03,46.77,45.0
48.83,45.59,56.49,46.88,45.21
49.09,45.52,56.47,46.88,45.08
50.29,45.38,55.9,48.9,45.1
49.78,45.65,56.33,46.77,45.14
51.07,45.38,56.58,47.03,45.09
49.43,45.36,58.34,47.05,45.16
49.41,45.58,55.98,46.97,44.93
49.23,45.85,56.19,47.04,44.94
49.11,45.78,55.9,46.9,45.0
49.05,45.65,56.16,46.77,45.06
49.2,48.63,56.19,46.8,45.25
49.34,45.61,56.02,47.04,45.13
49.06,45.53,56.17,49.28,45.13
49.01,45.81,56.37,46.96,45.2
49.28,45.62,56.21,46.73,45.08
49.86,45.43,56.2,46.8,45.12
49.11,45.44,55.89,46.83,45.33
49.19,45.68,56.08,46.81,44.96
48.98,45.55,56.23,46.72,45.11
48.87,45.46,56.2,46.69,44.97
49.51,45.65,55.85,47.6,45.03
49.09,46.22,55.96,46.74,45.13
49.27,45.72,61.34,46.62,45.19
48.95,45.44,55.84,46.8,45.16
50.04,45.62,55.86,46.38,45.28
50.35,45.7,55.84,46.77,45.24
49.11,45.33,55.76,46.82,45.22
49.39,45.4,56.21,46.81,45.06
49.31,45.28,56.1,46.98,44.91
49.22,45.32,56.18,46.69,45.06
49.06,45.19,55.79,46.67,44.96
49.17,45.35,55.92,46.71,45.13
49.05,45.42,55.68,46.6,45.25
49.44,45.43,55.67,46.54,45.2
49.02,45.39,56.27,46.43,45.16
48.94,45.32,56.15,46.68,45.19
49.05,46.34,56.28,46.91,44.97
49.39,45.66,58.15,46.7,44.86
49.09,46.33,57.77,46.65,45.03
49.14,45.92,56.31,46.75,45.4
49.27,45.47,56.51,46.68,45.27
49.41,45.8,56.45,46.9,45.32
49.7,45.53,56.79,46.78,45.25
49.46,45.43,56.78,46.6,45.22
49.69,45.7,56.26,46.77,45.06
49.52,45.47,56.21,46.61,45.07
49.61,45.28,59.01,46.69,45.17
49.71,45.31,56.1,46.77,45.03
49.82,45.3,57.87,46.74,44.9
49.44,45.36,55.89,46.82,45.11
48.88,45.24,56.21,46.72,45.11
48.9,45.36,58.83,46.49,45.13
49.0,45.26,55.62,46.84,45.11
49.86,45.29,56.57,46.73,45.14
49.26,45.25,56.4,46.56,45.15
49.26,45.55,56.9,47.07,45.26
49.55,45.69,56.26,46.64,45.25
49.38,45.43,56.46,46.69,45.01
48.97,45.49,58.9,46.64,45.17
49.7,45.31,56.17,46.72,45.01
49.82,45.25,56.92,47.14,45.05
49.2,45.23,56.24,46.69,45.08
49.01,45.34,55.79,46.79,46.08
49.05,45.27,56.15,46.74,45.09
49.06,45.09,55.57,46.77,45.24
49.03,45.5,55.71,46.65,45.21
49.27,45.35,55.53,46.46,45.11
49.57,45.37,56.5,46.68,45.09
49.25,45.73,61.02,47.3,45.24
49.14,46.36,59.5,46.89,44.99
48.93,45.56,58.97,46.77,44.9
49.45,47.05,55.86,46.81,45.09
48.99,47.1,55.94,46.61,45.28
48.87,45.82,55.88,46.79,45.28
49.04,45.53,56.02,46.67,3629.16
49.09,45.64,55.64,47.1,45.19
49.21,45.73,56.21,46.98,45.1
49.02,45.55,55.68,47.21,45.13
49.13,46.01,55.67,46.85,45.08
49.2,45.42,55.56,46.81,45.05
49.19,45.8,55.81,46.77,45.1
49.17,45.46,55.51,48.92,45.16
49.99,45.39,57.73,46.93,45.26
49.14,45.47,56.0,46.75,45.17
48.91,45.4,55.65,46.98,45.26
49.15,46.33,55.97,46.9,45.22
48.91,45.53,56.05,46.85,45.26
48.86,45.43,55.89,46.71,45.18
48.86,45.53,56.25,46.66,45.09
49.04,45.67,57.34,46.61,45.01
49.05,45.88,56.0,46.95,45.0
49.36,45.31,56.03,46.78,44.92
49.01,45.5,55.69,46.73,44.97
48.96,45.66,59.71,46.59,45.07
49.36,45.4,55.72,46.69,45.19
49.03,45.38,55.77,46.8,45.11
52.31,47.5,55.67,46.68,45.09
50.01,45.55,55.91,46.58,45.22
49.35,45.48,55.59,46.5,45.37
48.83,45.59,55.8,46.75,45.01
48.9,45.56,55.75,46.59,45.02
49.27,45.52,56.09,46.76,47.03
49.18,45.8,56.02,46.82,45.24
48.76,45.4,56.16,46.67,47.43
48.92,45.78,55.56,46.82,45.17
48.98,45.52,56.47,46.72,45.31
50.04,45.89,55.95,46.6,45.06
51.21,45.49,56.0,46.86,45.11
50.14,45.59,56.31,46.48,45.21
51.14,45.56,56.3,46.51,45.08
49.19,45.65,56.12,46.63,45.05
49.51,45.29,55.85,49.4,44.9
49.59,45.54,56.03,49.12,45.03
