P-521,p521_mlkem1024,mlkem1024
27.67,40.31,25.69
16.46,24.79,14.28
18.64,24.81,14.65
16.73,24.82,14.28
16.62,25.12,14.27
16.75,32.84,14.35
16.72,28.57,14.32
16.38,25.26,15.07
16.57,25.91,14.19
16.71,29.08,14.87
16.55,25.26,14.21
16.32,25.48,14.25
16.55,32.52,14.42
17.69,25.03,14.25
16.81,25.33,14.12
16.23,25.07,14.16
16.25,26.51,14.07
16.57,25.26,14.75
16.43,25.25,14.89
19.73,32.84,15.0
16.83,26.38,14.04
16.64,29.82,15.27
16.33,31.96,14.82
16.41,25.27,14.24
16.48,25.22,13.97
16.59,26.23,13.96
16.56,30.2,14.18
16.82,25.31,15.35
16.68,25.61,14.1
16.17,25.28,13.98
16.38,26.01,13.99
17.31,28.94,13.93
16.76,25.25,14.21
16.68,29.95,14.39
18.98,29.29,13.99
16.31,28.2,14.24
16.3,25.43,14.15
16.35,28.88,14.09
16.26,25.07,14.87
16.39,25.17,14.08
16.67,26.6,14.07
16.43,32.91,14.14
16.75,25.1,14.0
19.05,27.43,13.93
16.55,24.86,14.74
16.16,25.35,14.16
16.4,25.41,14.05
16.44,25.48,14.29
17.13,29.05,14.13
16.48,26.33,16.14
16.34,25.75,14.19
16.27,29.92,14.62
16.36,25.51,14.15
16.26,25.25,13.96
16.35,32.5,14.94
18.96,25.41,14.35
16.18,25.18,14.1
16.26,29.3,14.29
16.26,28.09,14.22
16.29,31.03,14.31
17.69,33.53,13.97
16.36,26.44,14.41
16.39,29.78,13.98
16.47,26.02,14.32
16.36,26.56,14.03
16.46,28.32,14.35
16.51,26.56,14.06
18.34,30.05,14.58
18.84,26.29,14.0
16.54,26.35,13.92
16.35,26.79,14.16
19.12,24.9,14.05
16.27,24.8,14.01
18.53,24.59,14.15
16.35,28.35,14.51
16.46,25.04,14.22
16.21,25.09,14.23
16.43,25.18,14.07
16.33,32.58,14.27
18.45,25.09,14.15
16.93,25.19,14.56
16.6,27.62,14.06
16.75,29.31,14.05
16.43,29.5,15.27
16.31,25.13,14.93
16.38,32.04,14.52
16.4,24.88,14.12
16.4,25.3,14.33
18.46,25.45,15.16
16.42,25.12,14.69
17.51,25.2,14.45
16.93,25.33,14.12
16.98,25.04,14.35
16.43,24.74,15.0
17.26,29.13,14.53
18.4,28.1,14.3
16.35,25.57,17.13
16.29,28.16,14.21
16.44,25.21,14.18
16.35,26.79,14.78
17.2,25.07,14.39
16.84,24.85,14.38
16.74,25.2,14.09
16.54,29.21,14.42
16.4,28.29,14.69
16.6,30.82,14.9
16.96,29.13,14.36
16.08,25.08,15.44
18.23,25.19,15.36
16.4,24.59,15.03
18.09,24.98,14.54
18.92,32.8,15.36
16.6,25.61,14.5
16.86,33.88,14.4
16.29,28.02,14.17
16.44,25.78,14.14
18.32,24.81,14.48
17.83,24.81,14.22
18.9,24.62,14.21
16.66,32.47,14.26
16.39,25.11,14.04
19.94,24.8,14.06
17.73,25.6,14.19
16.57,27.09,14.43
16.86,24.95,14.21
16.72,24.74,14.94
16.51,24.94,13.99
16.93,24.67,14.99
20.46,25.31,16.31
16.81,28.74,14.48
16.4,25.16,14.31
19.05,24.96,14.26
18.36,24.8,14.28
18.71,28.81,14.9
20.18,24.81,14.29
18.18,25.04,14.3
16.57,25.9,14.73
18.32,24.9,14.46
16.57,25.45,14.45
18.36,24.92,14.98
16.24,24.79,14.29
16.45,30.52,15.67
18.53,25.94,14.42
18.84,25.12,14.66
16.46,24.7,14.56
16.85,27.84,15.03
18.48,25.04,14.19
16.7,24.91,15.05
20.84,25.81,15.06
16.8,25.16,14.17
17.94,24.66,14.09
16.42,25.12,14.49
17.56,25.14,14.15
19.13,28.01,14.67
16.37,27.2,14.03
17.51,25.14,15.13
18.65,25.24,14.78
16.23,24.84,14.2
16.85,24.89,14.11
16.25,25.15,14.39
16.46,28.26,14.08
16.35,24.9,15.07
16.37,24.89,14.04
16.24,25.33,14.05
16.26,25.02,13.97
16.15,25.33,13.87
18.2,27.33,14.08
16.42,24.94,14.43
16.58,24.86,14.02
16.52,25.12,13.85
16.64,30.57,13.88
16.59,25.13,14.7
17.23,24.88,14.16
16.84,27.15,14.32
16.71,32.41,14.1
16.8,25.7,15.12
16.53,24.7,14.04
16.61,25.49,14.95
16.57,24.66,14.86
16.42,29.83,14.87
16.57,28.68,14.07
16.98,27.73,14.24
17.52,24.48,14.05
17.31,24.35,14.29
17.18,24.82,14.11
16.36,29.68,14.28
16.7,29.2,16.55
16.84,24.81,13.99
16.4,25.16,14.19
16.46,24.92,13.93
16.67,24.55,14.87
19.31,24.96,14.34
16.49,32.27,13.99
16.42,24.93,13.88
16.42,25.33,14.16
16.46,25.9,13.94
16.41,28.57,14.87
19.41,24.98,14.48
16.9,24.86,14.44
17.13,32.75,15.18
16.72,27.54,14.41
17.37,24.77,15.79
16.6,24.92,14.31
16.5,32.18,14.65
16.94,24.98,14.52
17.12,24.86,14.22
16.76,24.66,13.93
16.96,27.8,14.16
16.84,25.38,14.58
17.01,25.01,14.25
16.87,28.93,15.05
16.64,24.79,16.1
17.26,28.33,14.62
17.72,24.88,14.57
20.86,25.29,14.45
16.53,25.06,14.49
16.42,25.17,14.35
18.4,25.4,14.6
16.85,24.79,14.18
16.43,27.96,14.19
16.73,24.98,14.23
16.66,24.73,14.9
17.01,24.77,14.28
19.3,26.61,14.54
16.66,25.09,14.14
16.96,25.18,14.37
16.89,24.74,15.07
16.45,24.73,14.95
16.37,25.02,15.05
16.62,25.2,14.49
16.23,32.76,14.0
16.44,29.2,14.62
16.53,25.02,14.39
16.67,24.91,14.13
16.43,28.89,14.84
16.46,25.91,14.23
16.54,28.99,14.66
16.41,25.07,14.18
16.53,25.31,15.06
16.43,25.03,14.57
16.45,24.9,14.41
16.49,24.77,14.86
19.19,32.19,16.09
19.39,24.45,14.65
16.3,24.95,15.05
16.28,25.28,14.58
16.47,24.75,14.21
16.44,29.21,14.38
18.23,25.06,14.3
16.41,25.41,14.41
16.49,34.78,15.22
16.6,25.19,14.08
19.3,25.55,14.11
16.5,24.87,14.42
16.65,24.98,14.42
16.95,26.09,14.25
16.03,25.32,14.13
16.32,24.98,14.4
19.16,30.9,14.16
17.14,25.42,14.48
16.7,28.91,14.13
16.64,25.57,16.01
16.36,26.36,14.18
16.41,24.75,13.99
17.7,25.11,14.01
17.15,28.36,14.28
16.9,25.07,14.1
17.13,24.98,14.35
16.86,29.56,14.01
16.95,25.01,14.25
17.52,32.47,13.98
16.83,32.37,14.19
17.44,31.03,14.15
16.83,25.02,14.28
17.07,25.23,14.18
16.34,24.77,14.25
16.94,24.71,13.9
16.9,27.69,14.11
17.1,28.3,14.06
16.72,24.8,13.96
19.35,24.7,14.04
16.36,24.68,14.31
16.49,24.84,14.31
16.71,30.78,14.9
16.8,29.55,16.05
16.38,24.78,14.06
16.26,25.26,14.89
18.73,24.97,14.13
16.85,29.68,13.96
16.91,24.75,14.24
17.77,25.29,14.21
17.1,30.28,14.76
16.43,25.21,14.34
17.67,28.27,14.4
16.68,25.06,14.09
17.04,25.08,14.14
17.57,24.82,14.19
17.11,24.68,14.92
16.95,25.07,14.04
16.24,26.93,14.04
16.89,25.18,14.02
16.63,24.95,13.9
17.15,24.8,14.2
16.55,24.77,13.97
18.65,24.76,14.26
17.04,24.74,14.46
17.01,25.51,14.53
17.66,27.75,14.29
17.64,24.84,14.03
16.87,28.74,14.18
16.64,25.18,14.96
16.48,25.05,14.71
16.5,25.44,14.23
16.9,25.18,14.17
17.84,25.62,14.04
16.98,24.7,14.23
18.96,32.16,14.2
17.14,24.78,14.17
16.69,25.84,16.73
17.21,28.04,14.24
16.56,32.6,14.36
16.5,25.12,14.34
16.33,25.88,13.95
16.77,25.23,14.21
16.29,26.41,14.08
18.37,25.01,14.15
16.67,24.92,14.2
17.28,24.98,14.08
16.33,24.98,14.66
16.41,25.25,14.3
17.74,25.21,14.04
16.43,28.27,14.49
16.26,25.32,15.81
