P-521,p521_mlkem1024,mlkem1024
8.18,20.8,5.72
6.19,15.07,4.21
6.28,15.47,4.14
5.84,15.27,4.29
6.34,15.37,4.32
5.95,15.04,5.11
5.89,15.03,4.55
5.71,14.71,4.21
5.7,14.7,4.86
5.97,15.04,4.16
5.95,21.82,5.56
6.1,17.77,4.17
6.17,14.45,4.72
5.73,14.81,4.25
6.03,15.49,4.04
6.17,14.95,6.06
5.67,14.16,4.78
5.72,13.86,4.19
5.93,14.02,4.29
6.0,13.92,4.26
5.86,13.85,4.3
5.62,14.75,4.13
6.61,14.09,4.51
6.42,14.18,6.23
6.34,14.23,4.44
6.61,14.06,4.01
6.61,14.24,5.15
5.83,14.09,5.71
5.8,14.19,4.02
6.27,14.15,4.22
6.01,14.39,4.21
5.91,13.93,4.31
6.36,13.83,4.06
5.7,14.35,4.66
6.03,14.54,6.38
5.85,13.97,4.22
6.63,14.45,4.19
6.06,14.77,3.89
5.72,13.79,4.22
5.89,13.86,4.26
5.66,14.34,4.14
6.04,14.13,3.84
6.14,14.65,4.09
5.72,14.87,3.94
6.12,14.81,4.19
6.33,14.55,4.33
5.98,13.89,5.23
7.88,14.62,6.38
6.38,14.8,4.18
5.75,14.07,4.15
5.69,14.2,4.14
8.5,14.62,4.23
6.53,15.13,4.23
6.36,14.53,4.59
6.5,14.86,5.62
5.95,14.81,4.29
5.66,17.02,4.96
6.39,18.69,5.68
7.86,17.42,6.45
6.31,17.65,4.21
5.99,14.49,4.89
5.89,14.41,4.3
6.1,14.08,4.2
7.62,15.36,4.16
6.42,14.23,4.62
6.36,14.78,5.68
6.12,14.87,4.82
5.81,14.72,4.45
6.03,14.78,4.39
5.68,17.03,4.12
5.9,14.38,6.07
5.95,13.74,4.2
5.98,17.12,5.01
5.97,17.42,4.25
6.08,14.82,4.1
5.7,13.79,4.16
9.29,14.15,4.47
6.24,14.12,4.26
6.71,14.07,4.35
5.68,13.92,4.37
5.93,19.8,4.02
6.01,14.77,4.31
6.15,15.15,4.34
6.98,14.19,4.19
6.24,13.93,6.13
5.96,15.72,4.28
8.05,14.18,4.26
8.8,14.04,4.39
6.16,15.08,4.37
8.88,15.18,4.64
5.67,14.32,4.38
5.89,14.04,4.36
6.09,14.04,4.38
5.65,14.31,4.4
5.93,14.05,4.81
5.68,14.72,6.04
6.23,14.38,4.22
5.79,14.42,6.04
5.98,14.34,4.14
5.63,15.51,4.24
6.02,14.78,4.25
6.0,14.79,4.18
5.69,14.18,6.04
6.31,15.59,4.19
6.55,14.44,4.19
6.13,14.66,4.38
6.06,14.19,4.13
5.87,15.48,5.9
5.9,14.49,4.2
5.72,14.66,4.33
6.02,14.11,4.25
6.0,14.43,4.18
5.94,14.52,5.9
8.15,14.82,4.95
5.66,14.96,5.93
5.72,14.75,4.34
5.96,14.63,4.27
6.03,14.26,4.11
6.51,14.15,4.81
6.02,14.57,4.2
5.72,14.57,4.19
5.65,14.05,4.01
5.6,14.7,3.97
5.8,15.73,4.89
5.93,15.11,4.12
5.94,14.67,4.19
5.8,14.05,4.04
5.81,14.32,4.13
5.64,14.46,6.02
5.8,13.98,6.01
5.69,13.88,4.04
5.84,14.54,4.12
6.06,21.71,4.24
5.9,14.37,4.25
6.05,19.23,4.13
5.8,15.04,5.67
5.76,14.45,4.26
5.83,14.11,5.46
6.18,14.39,4.07
5.82,20.26,4.22
5.86,14.2,4.35
5.89,22.23,4.65
5.68,22.07,4.12
5.99,14.19,5.5
5.76,14.16,5.87
5.97,13.97,4.31
5.98,14.51,5.91
5.75,14.48,4.71
5.99,14.69,6.01
6.34,14.08,4.3
5.81,14.53,4.51
5.7,13.71,4.13
8.19,15.28,4.18
5.87,16.95,4.33
5.66,14.24,5.83
5.63,16.3,5.82
5.86,21.5,4.91
5.99,15.01,4.34
5.98,14.52,4.93
5.95,14.47,4.27
6.22,22.17,5.02
7.52,15.06,4.26
6.04,14.01,4.19
6.07,13.9,4.33
6.03,13.96,4.36
6.29,14.14,5.6
6.04,14.04,4.28
6.08,14.07,4.39
6.64,16.58,4.37
5.69,13.84,4.21
6.1,14.49,4.28
6.28,13.86,4.13
5.88,14.46,5.9
6.02,13.77,4.2
5.73,14.29,4.18
5.73,16.68,4.12
5.73,14.04,4.03
6.5,13.77,4.15
7.06,13.97,4.12
6.2,14.07,4.62
5.95,13.94,5.92
6.24,14.0,4.44
6.12,14.28,5.1
5.78,14.13,4.24
6.11,15.63,4.3
6.29,15.27,4.24
6.0,13.94,4.71
6.34,14.54,4.31
6.58,13.95,4.08
5.8,13.93,4.19
7.4,13.95,4.41
7.84,14.06,4.27
6.64,13.81,4.23
6.39,13.87,4.7
9.68,13.86,4.36
7.01,13.97,4.14
6.14,13.8,4.25
8.21,13.84,4.86
6.13,14.18,4.11
6.25,13.78,4.18
5.71,13.67,5.53
7.77,13.81,4.28
6.33,14.64,4.51
8.96,14.32,4.29
6.34,14.03,4.9
6.43,14.05,4.71
6.63,14.16,5.94
6.48,14.09,4.1
6.55,13.93,4.88
9.2,14.03,4.31
6.45,13.76,6.73
6.44,13.76,4.11
7.64,13.76,4.25
6.94,13.96,4.63
6.37,13.71,5.12
6.07,14.02,4.53
8.39,13.69,4.16
6.49,13.72,4.28
7.28,13.86,4.41
6.92,13.97,4.26
6.26,15.66,5.85
5.99,14.1,4.3
6.45,20.24,4.04
6.44,14.06,4.2
9.0,14.13,5.99
8.55,14.47,4.81
6.85,14.06,6.39
8.69,14.32,4.24
8.1,13.68,4.19
6.42,14.22,4.43
5.92,15.02,4.28
8.33,16.02,4.26
6.08,15.5,4.3
6.43,18.14,4.22
7.46,15.05,4.2
6.37,15.82,4.18
6.22,15.71,4.42
6.61,15.71,4.27
6.5,21.95,4.31
6.65,15.44,4.35
8.78,19.44,4.26
8.33,14.48,6.65
6.54,14.48,5.11
5.81,16.0,4.35
6.24,15.22,4.39
6.09,15.74,4.17
6.36,18.79,4.25
6.64,18.88,4.28
6.26,14.78,5.51
6.42,14.6,4.26
8.48,14.43,4.86
6.23,19.09,6.36
6.6,14.6,4.4
5.78,14.56,6.04
6.32,22.86,5.8
6.62,16.54,4.14
6.09,19.06,4.45
6.06,17.87,4.39
6.13,16.58,6.02
6.44,16.02,6.12
8.3,16.4,6.79
6.23,15.15,4.79
6.58,15.46,5.75
6.2,16.17,4.53
8.78,14.71,5.56
8.25,19.88,5.09
6.83,14.31,4.19
6.32,15.84,5.69
6.8,15.19,4.32
5.88,14.41,6.73
6.17,14.38,6.04
6.01,13.88,4.81
6.05,13.83,4.38
5.73,15.33,4.98
6.04,15.57,6.35
6.15,15.28,4.45
6.14,14.55,4.32
5.72,15.05,6.07
6.23,14.04,5.0
8.69,14.39,4.62
7.98,14.29,4.58
5.93,14.24,4.47
8.73,13.85,5.57
5.8,14.14,4.52
5.92,14.14,4.55
6.05,14.06,5.0
8.27,14.6,4.36
6.07,14.26,4.78
6.0,14.97,5.93
6.26,14.05,4.37
6.04,14.78,6.44
5.99,14.42,4.29
6.38,14.4,4.75
6.43,14.48,4.22
6.44,18.83,4.3
5.79,15.18,4.58
5.72,14.55,4.96
5.7,14.29,4.25
6.04,14.57,4.84
5.71,15.63,4.24
5.95,15.77,4.38
5.77,15.33,4.25
7.3,17.8,6.45
6.0,15.3,4.53
6.05,14.75,4.43
6.09,14.85,6.57
6.18,14.18,4.29
6.06,15.27,4.63
6.33,14.59,4.24
5.89,13.93,5.69
6.22,13.75,4.26
8.36,13.77,4.51
6.72,13.78,4.46
6.11,14.14,4.99
6.16,13.95,4.48
6.1,13.78,4.62
6.07,14.5,6.12
7.87,13.96,4.57
7.73,13.98,4.73
7.3,14.51,4.54
6.21,14.07,4.38
7.86,13.94,4.32
6.27,13.85,4.17
6.05,13.87,4.62
6.1,13.91,4.47
5.96,14.01,5.61
8.66,14.16,5.05
7.94,13.89,4.24
6.01,13.83,4.46
5.88,14.13,4.8
6.06,14.0,4.54
5.76,16.43,4.52
5.84,14.19,6.79
6.09,14.79,4.5
5.97,13.75,4.6
6.02,13.82,4.64
6.05,13.99,4.32
6.06,13.8,4.37
6.04,13.73,4.28
6.26,13.67,4.62
6.17,13.82,4.31
8.76,13.62,4.2
6.23,13.76,4.41
6.14,15.16,5.12
6.18,13.92,4.75
7.92,14.94,5.95
6.11,14.12,5.98
6.03,14.85,4.44
5.98,13.88,4.34
10.25,14.17,4.41
8.65,13.76,4.3
7.86,13.73,5.89
6.17,13.64,6.13
8.03,13.92,4.17
6.07,15.45,4.23
6.1,13.61,4.28
8.7,13.83,4.38
6.15,13.97,4.18
6.16,13.9,4.23
6.12,13.74,4.96
6.16,14.08,4.18
6.48,13.99,6.02
6.02,17.52,4.25
6.36,14.65,4.22
6.09,14.82,4.21
6.28,13.93,5.79
5.99,13.99,4.34
5.89,13.76,4.36
5.84,14.82,4.27
5.7,14.46,4.16
6.18,14.07,4.35
8.38,14.96,6.26
5.91,13.88,4.34
6.05,13.57,4.26
6.04,13.65,4.28
6.25,13.68,4.18
6.07,13.78,5.55
8.76,15.2,4.3
5.94,14.45,4.77
5.88,16.95,4.14
6.04,14.72,4.24
6.28,14.06,4.28
5.93,13.67,4.31
7.72,14.4,4.44
6.04,14.49,4.33
8.65,17.38,4.29
6.1,14.78,6.09
6.0,15.12,5.52
6.08,13.92,4.32
6.21,13.82,4.97
6.13,13.77,4.22
6.23,14.34,4.89
6.2,14.06,4.31
6.01,13.86,4.23
6.79,14.6,4.22
6.65,14.39,4.34
6.18,14.65,4.3
6.53,13.95,5.84
8.27,14.63,5.9
6.04,21.51,4.29
6.06,14.15,4.21
6.06,15.23,4.3
5.93,20.78,4.25
