P-521,p521_mlkem1024,mlkem1024
80.16,90.61,69.56
58.57,67.26,48.77
58.66,66.95,48.88
58.6,66.51,48.75
58.44,66.56,48.99
58.2,67.08,48.95
58.4,66.71,49.05
60.52,66.78,48.83
57.93,66.44,48.99
59.87,67.04,48.8
58.52,66.75,48.74
58.45,67.04,49.09
58.17,66.77,48.83
58.24,67.04,48.89
58.62,67.21,48.99
58.23,66.83,48.85
58.4,66.62,49.06
58.49,67.31,48.87
58.15,69.67,48.8
58.7,67.17,49.2
59.43,67.16,49.02
58.19,66.83,49.23
58.09,66.74,48.91
59.67,68.77,48.99
58.88,66.99,48.8
58.43,67.34,48.97
58.35,66.89,49.11
58.6,75.91,48.76
57.96,67.2,48.78
58.39,67.02,48.65
58.08,68.48,48.98
58.27,67.13,48.95
58.2,66.99,48.98
57.99,67.05,49.02
58.15,66.92,48.83
57.95,67.33,48.87
58.1,67.39,48.92
58.51,66.98,48.85
58.12,67.0,48.76
58.29,67.35,48.95
58.63,66.9,48.95
59.04,66.9,49.24
58.29,66.89,49.15
58.59,66.41,48.87
58.2,66.39,48.92
58.39,66.45,48.89
58.72,66.92,49.01
59.03,67.23,48.78
59.12,67.55,49.02
58.95,67.31,48.77
58.34,71.52,48.94
58.49,72.2,48.96
58.59,66.44,48.91
58.68,66.26,49.0
58.5,66.54,48.78
58.51,66.44,48.64
58.44,66.34,49.02
58.35,66.37,48.98
58.59,66.8,48.86
58.96,66.48,49.02
58.27,68.79,48.94
58.33,67.11,49.04
58.39,67.08,48.79
58.5,67.05,48.87
58.51,66.34,50.55
58.4,66.62,48.67
58.71,67.41,48.84
58.68,66.98,48.69
60.51,66.97,48.93
58.69,67.01,48.91
58.87,66.96,48.97
58.78,67.22,49.14
58.64,68.99,48.98
58.45,67.23,49.02
58.52,67.51,48.76
58.49,67.14,48.88
59.88,66.97,48.73
58.19,67.17,48.92
58.54,67.09,48.91
58.62,66.75,49.02
58.01,66.81,48.88
59.06,66.66,48.87
58.41,67.11,48.99
58.08,67.66,48.68
58.04,66.7,48.87
58.48,67.06,48.93
58.98,66.77,48.99
58.38,67.09,48.9
58.3,66.99,49.14
