P-521,p521_mlkem1024,mlkem1024
31.54,31.22,10.51
19.95,31.78,16.29
21.67,27.17,10.35
20.89,27.32,15.45
19.99,28.19,9.96
27.23,29.7,10.07
20.8,30.14,9.71
20.45,28.67,14.57
19.68,27.71,14.18
19.83,42.63,13.07
20.96,38.32,11.98
20.18,38.59,9.6
19.85,30.44,10.57
20.41,29.99,14.59
19.57,35.69,12.47
19.49,29.09,11.81
20.28,29.44,9.07
20.32,28.65,9.54
20.48,28.72,9.25
21.52,34.73,9.09
22.95,28.31,10.82
23.86,29.08,11.76
20.75,28.8,11.95
19.49,28.86,14.67
19.87,30.39,11.16
21.55,38.72,10.04
20.28,29.47,11.99
20.93,29.25,11.15
20.4,35.23,11.27
24.23,32.82,13.2
20.27,32.61,12.82
19.49,35.79,13.05
19.09,32.45,9.72
19.44,34.74,9.32
19.12,28.85,10.04
20.19,29.29,10.41
21.04,27.94,11.78
20.27,28.61,12.66
19.9,34.02,15.47
20.87,32.38,11.47
22.49,32.23,14.98
19.33,32.31,12.89
19.9,31.19,14.48
19.87,29.3,11.89
19.22,37.63,12.92
20.37,29.4,11.03
22.16,29.02,15.92
27.43,28.86,12.05
19.16,37.13,14.06
27.06,28.12,13.09
26.67,27.48,11.61
20.69,27.26,12.63
20.53,39.48,10.0
20.69,31.59,10.53
21.62,40.02,10.61
27.51,37.78,14.55
20.16,34.96,12.38
19.73,30.11,11.95
28.83,28.71,9.75
23.36,34.48,12.33
21.06,38.36,15.15
26.76,28.89,9.97
25.79,27.23,14.3
20.91,27.42,9.11
23.14,26.65,9.4
20.34,27.06,12.26
19.65,39.48,11.74
20.02,31.17,9.2
19.73,32.58,12.26
26.78,38.17,14.33
24.77,36.02,11.41
27.01,38.67,11.58
27.19,40.08,15.48
21.18,30.76,10.28
20.97,29.71,8.9
19.93,29.75,10.12
20.66,31.4,9.75
25.26,28.64,13.5
19.27,30.6,13.59
20.0,35.0,9.35
18.95,35.98,9.98
19.33,27.46,14.06
19.59,43.9,9.37
20.3,43.89,13.37
19.33,27.93,9.25
24.89,29.98,16.22
18.93,29.73,12.36
21.28,27.95,10.01
26.03,34.23,10.9
23.29,28.22,9.56
21.78,39.55,9.62
21.85,39.43,9.35
19.56,43.59,9.12
21.82,29.46,14.19
33.41,33.76,9.37
22.22,38.05,8.87
20.8,27.64,9.68
20.69,35.66,13.27
28.49,31.34,13.2
19.94,37.6,11.15
20.31,28.46,16.07
21.07,35.98,11.95
20.21,36.77,14.96
29.15,36.98,10.23
31.62,41.11,10.9
29.77,35.51,10.62
20.05,28.62,13.47
28.77,38.87,13.7
31.48,28.3,14.75
26.93,47.21,11.7
20.22,46.84,10.26
27.33,29.61,15.84
26.02,29.1,15.56
25.78,27.67,14.34
19.29,35.1,9.72
22.61,49.8,12.0
25.78,41.35,9.79
18.82,28.54,10.07
24.31,36.34,15.77
18.62,32.44,12.43
23.87,29.99,11.65
18.83,28.14,10.1
18.99,28.08,9.27
18.39,33.3,13.55
19.13,39.33,11.23
27.16,30.68,16.03
19.41,26.85,11.64
21.76,33.77,12.81
20.82,37.59,12.46
19.57,31.15,14.86
20.55,37.47,10.18
19.77,28.17,12.89
19.41,33.92,10.91
19.53,39.98,12.02
19.95,38.37,12.91
20.05,29.99,10.04
23.64,37.84,9.63
19.84,28.33,12.17
33.21,31.42,9.92
19.69,34.61,10.51
19.47,29.13,9.27
29.13,28.78,9.16
18.81,27.74,9.47
18.73,28.25,9.21
18.15,29.65,14.13
18.32,28.34,8.9
19.75,29.9,8.86
18.58,35.28,8.83
28.12,36.49,9.05
19.06,29.95,9.24
28.55,32.99,9.6
18.77,31.54,8.86
19.35,33.48,8.96
19.24,37.52,8.8
32.43,37.83,8.68
19.18,27.86,8.8
19.82,27.91,9.26
19.36,27.43,9.0
19.05,35.45,9.84
18.44,28.55,12.35
18.65,34.81,11.74
27.34,28.68,14.06
18.65,27.66,9.23
21.94,28.62,11.28
25.26,38.33,13.93
19.58,30.49,9.5
26.88,28.4,9.31
19.32,33.3,15.51
20.65,38.47,9.45
20.27,32.88,14.7
28.23,29.12,15.53
20.9,32.22,9.78
19.15,27.21,13.36
18.53,32.79,14.32
18.95,30.57,14.55
18.6,38.41,13.33
19.93,34.29,14.44
19.09,37.25,10.87
23.21,33.0,10.36
27.42,35.7,11.32
26.22,32.75,9.46
19.52,32.71,8.92
19.45,28.65,16.63
19.07,36.88,10.08
19.89,32.04,11.14
19.99,38.52,9.76
20.83,32.12,9.36
26.79,37.66,9.94
18.44,34.09,9.15
19.42,37.72,13.12
18.95,41.12,9.9
19.26,30.88,9.69
19.1,37.93,9.25
19.33,38.44,13.82
18.55,38.32,10.85
19.76,44.3,9.76
19.06,34.22,14.33
19.01,29.34,9.8
18.77,32.97,9.68
20.18,38.56,10.97
19.04,29.53,13.05
20.0,34.89,10.39
19.34,31.83,14.12
20.67,40.64,13.92
19.84,29.03,14.48
19.06,29.19,9.87
18.33,35.29,13.18
18.23,43.16,10.9
25.71,38.05,13.12
20.52,29.73,11.35
20.0,30.4,14.85
19.99,29.56,13.43
21.18,36.52,14.94
18.44,36.23,10.86
20.39,38.19,13.8
18.93,29.3,14.18
23.05,40.58,14.62
20.17,28.82,9.41
19.09,30.52,10.44
21.26,44.52,9.93
26.08,30.05,12.35
28.98,32.14,10.4
19.91,31.63,15.94
18.68,33.5,10.28
19.61,33.92,9.23
26.66,38.99,9.85
19.84,39.72,9.58
20.31,32.11,9.14
20.03,29.26,12.34
24.84,28.11,9.16
21.5,35.94,9.14
31.11,30.94,10.36
32.95,41.94,9.34
19.9,33.51,10.97
19.52,36.23,11.35
26.03,31.57,10.01
31.62,31.48,9.88
19.75,31.13,14.08
19.9,28.28,11.01
24.62,40.12,9.49
20.95,36.65,9.74
21.73,32.89,9.38
24.83,31.58,9.39
19.11,34.57,9.13
20.22,35.27,9.88
19.73,36.6,9.82
20.46,39.41,11.38
21.51,42.26,13.81
24.66,39.33,9.86
19.15,36.98,14.16
20.44,35.99,12.71
20.43,31.91,10.67
18.37,32.64,10.05
19.79,30.8,9.79
21.21,30.0,14.17
21.72,29.79,12.2
21.76,31.2,9.58
25.31,30.89,11.6
26.17,32.08,9.77
21.56,28.81,13.06
22.33,35.01,14.93
26.75,35.89,13.91
29.86,31.31,10.13
26.34,32.89,13.46
27.15,40.37,14.73
26.67,31.76,9.99
20.05,35.03,9.72
30.87,31.98,10.27
18.83,33.74,11.57
31.08,32.3,9.99
33.94,28.43,9.39
31.56,28.17,11.11
27.57,32.41,11.27
23.86,35.43,11.79
24.71,34.37,10.97
22.02,28.84,9.59
19.91,28.18,14.89
18.15,32.06,13.14
25.69,32.08,9.67
20.11,27.54,8.91
27.41,26.86,9.06
24.11,26.61,10.68
22.04,26.56,9.92
20.11,26.82,9.57
22.43,29.42,9.19
18.98,33.75,8.91
25.26,28.4,9.77
18.43,28.38,9.0
28.65,35.07,11.33
18.97,34.49,11.25
18.71,30.7,9.22
18.7,27.75,11.93
27.75,32.39,11.36
23.49,30.23,10.92
20.29,28.07,11.47
26.93,27.95,11.69
19.9,27.98,16.63
25.11,27.71,17.41
21.02,29.08,16.74
20.11,28.58,19.63
20.06,28.86,12.43
27.27,31.86,9.31
22.84,27.36,9.79
19.81,27.38,9.82
19.98,30.0,9.63
19.64,43.09,9.7
22.02,32.38,8.74
23.84,34.8,9.59
27.23,31.25,9.02
22.66,27.53,10.17
23.44,32.41,8.84
22.2,31.29,10.58
26.2,29.54,11.15
22.82,28.75,9.4
24.79,27.46,9.58
30.17,42.65,9.18
20.79,28.8,9.62
25.37,38.22,10.03
24.88,37.35,9.47
18.9,32.14,9.39
26.76,36.53,12.09
24.66,29.52,10.52
25.08,27.96,11.81
21.36,34.22,9.78
19.21,31.97,8.97
21.84,28.19,9.94
20.76,27.72,12.96
23.9,29.37,10.49
20.95,26.63,11.12
21.35,35.75,11.18
23.12,26.97,9.97
19.66,26.91,12.45
20.35,27.98,10.34
26.5,28.94,9.22
19.01,32.93,9.07
19.95,29.94,10.76
20.37,36.84,12.83
26.51,35.53,12.17
23.79,32.72,14.58
19.48,41.52,12.86
21.35,37.24,12.94
19.54,38.27,12.63
18.68,33.63,9.9
30.82,38.57,13.6
20.04,29.7,9.74
19.43,28.66,13.05
18.67,37.94,9.52
19.64,37.99,12.92
23.11,28.38,10.0
21.57,29.36,9.43
27.9,28.7,9.8
25.22,28.53,9.23
25.1,30.47,8.89
20.1,30.75,9.32
26.73,32.3,9.06
20.89,36.84,8.86
19.61,28.48,8.82
19.78,28.93,13.75
21.57,28.16,9.35
20.25,33.84,9.81
19.57,39.08,9.72
20.23,34.38,10.05
19.88,43.99,9.24
22.07,38.38,14.05
20.88,32.26,15.3
25.18,31.96,11.31
20.75,27.98,13.43
29.2,40.04,14.3
24.66,27.59,11.44
19.37,30.12,12.43
19.58,28.2,9.13
28.5,32.09,9.04
19.14,27.79,9.51
25.1,28.0,12.47
20.51,29.25,10.75
28.07,28.98,11.78
22.73,32.81,9.69
33.26,42.13,9.3
20.81,29.9,9.08
19.81,34.53,9.94
