Protocol,Level,Delay_ms,KEM,Outliers,Total,PctOutliers
QUIC,1,0,P-256,7,500,1.4
QUIC,1,0,mlkem512,34,500,6.8
QUIC,1,0,p256_mlkem512,89,500,17.8
QUIC,1,0,x25519,19,500,3.8
QUIC,1,0,x25519_mlkem512,48,500,9.6
QUIC,1,1,P-256,22,500,4.4
QUIC,1,1,mlkem512,22,500,4.4
QUIC,1,1,p256_mlkem512,53,500,10.6
QUIC,1,1,x25519,18,500,3.6
QUIC,1,1,x25519_mlkem512,34,500,6.8
QUIC,1,5,P-256,13,500,2.6
QUIC,1,5,mlkem512,35,500,7.0
QUIC,1,5,p256_mlkem512,56,500,11.2
QUIC,1,5,x25519,27,500,5.4
QUIC,1,5,x25519_mlkem512,9,500,1.8
QUIC,1,10,P-256,17,500,3.4
QUIC,1,10,mlkem512,25,500,5.0
QUIC,1,10,p256_mlkem512,57,500,11.4
QUIC,1,10,x25519,13,500,2.6
QUIC,1,10,x25519_mlkem512,15,500,3.0
QUIC,1,20,P-256,25,500,5.0
QUIC,1,20,mlkem512,7,500,1.4
QUIC,1,20,p256_mlkem512,46,500,9.2
QUIC,1,20,x25519,13,500,2.6
QUIC,1,20,x25519_mlkem512,3,500,0.6
QUIC,3,0,P-384,3,500,0.6
QUIC,3,0,mlkem768,51,500,10.2
QUIC,3,0,p384_mlkem768,67,500,13.4
QUIC,3,0,x448,41,500,8.2
QUIC,3,0,x448_mlkem768,67,500,13.4
QUIC,3,1,P-384,24,500,4.8
QUIC,3,1,mlkem768,32,500,6.4
QUIC,3,1,p384_mlkem768,59,500,11.8
QUIC,3,1,x448,47,500,9.4
QUIC,3,1,x448_mlkem768,46,500,9.2
QUIC,3,5,P-384,63,500,12.6
QUIC,3,5,mlkem768,52,500,10.4
QUIC,3,5,p384_mlkem768,43,500,8.6
QUIC,3,5,x448,40,500,8.0
QUIC,3,5,x448_mlkem768,25,500,5.0
QUIC,3,10,P-384,53,500,10.6
QUIC,3,10,mlkem768,31,500,6.2
QUIC,3,10,p384_mlkem768,63,500,12.6
QUIC,3,10,x448,98,500,19.6
QUIC,3,10,x448_mlkem768,27,500,5.4
QUIC,3,20,P-384,48,500,9.6
QUIC,3,20,mlkem768,31,500,6.2
QUIC,3,20,p384_mlkem768,51,500,10.2
QUIC,3,20,x448,54,500,10.8
QUIC,3,20,x448_mlkem768,40,500,8.0
QUIC,5,0,P-521,65,500,13.0
QUIC,5,0,mlkem1024,57,500,11.4
QUIC,5,0,p521_mlkem1024,59,500,11.8
QUIC,5,1,P-521,52,500,10.4
QUIC,5,1,mlkem1024,35,500,7.0
QUIC,5,1,p521_mlkem1024,65,500,13.0
QUIC,5,5,P-521,68,500,13.6
QUIC,5,5,mlkem1024,26,500,5.2
QUIC,5,5,p521_mlkem1024,33,500,6.6
QUIC,5,10,P-521,56,500,11.2
QUIC,5,10,mlkem1024,38,500,7.6
QUIC,5,10,p521_mlkem1024,54,500,10.8
QUIC,5,20,P-521,50,500,10.0
QUIC,5,20,mlkem1024,45,500,9.0
QUIC,5,20,p521_mlkem1024,62,500,12.4
TLS,1,0,P-256,2,500,0.4
TLS,1,0,mlkem512,9,500,1.8
TLS,1,0,p256_mlkem512,5,500,1.0
TLS,1,0,x25519,3,500,0.6
TLS,1,0,x25519_mlkem512,47,500,9.4
TLS,1,1,P-256,22,500,4.4
TLS,1,1,mlkem512,27,500,5.4
TLS,1,1,p256_mlkem512,55,500,11.0
TLS,1,1,x25519,37,500,7.4
TLS,1,1,x25519_mlkem512,36,500,7.2
TLS,1,5,P-256,9,500,1.8
TLS,1,5,mlkem512,19,500,3.8
TLS,1,5,p256_mlkem512,41,500,8.2
TLS,1,5,x25519,21,500,4.2
TLS,1,5,x25519_mlkem512,7,500,1.4
TLS,1,10,P-256,20,500,4.0
TLS,1,10,mlkem512,30,500,6.0
TLS,1,10,p256_mlkem512,47,500,9.4
TLS,1,10,x25519,25,500,5.0
TLS,1,10,x25519_mlkem512,18,500,3.6
TLS,1,20,P-256,35,500,7.0
TLS,1,20,mlkem512,23,500,4.6
TLS,1,20,p256_mlkem512,31,500,6.2
TLS,1,20,x25519,31,500,6.2
TLS,1,20,x25519_mlkem512,23,500,4.6
TLS,3,0,P-384,2,500,0.4
TLS,3,0,mlkem768,32,500,6.4
TLS,3,0,p384_mlkem768,1,500,0.2
TLS,3,0,x448,1,500,0.2
TLS,3,0,x448_mlkem768,6,500,1.2
TLS,3,1,P-384,49,500,9.8
TLS,3,1,mlkem768,66,500,13.2
TLS,3,1,p384_mlkem768,46,500,9.2
TLS,3,1,x448,44,500,8.8
TLS,3,1,x448_mlkem768,49,500,9.8
TLS,3,5,P-384,39,500,7.8
TLS,3,5,mlkem768,30,500,6.0
TLS,3,5,p384_mlkem768,44,500,8.8
TLS,3,5,x448,103,500,20.6
TLS,3,5,x448_mlkem768,60,500,12.0
TLS,3,10,P-384,45,500,9.0
TLS,3,10,mlkem768,21,500,4.2
TLS,3,10,p384_mlkem768,57,500,11.4
TLS,3,10,x448,46,500,9.2
TLS,3,10,x448_mlkem768,41,500,8.2
TLS,3,20,P-384,47,500,9.4
TLS,3,20,mlkem768,61,500,12.2
TLS,3,20,p384_mlkem768,60,500,12.0
TLS,3,20,x448,48,500,9.6
TLS,3,20,x448_mlkem768,58,500,11.6
