Protocol,Level,Delay_ms,KEM,Mean,Std,Count,Min,Max,Median,IdealMean,PctIncrease
QUIC,1,0,P-256,2.78784,0.36515258073088985,500,2.23,4.43,2.665,2.78784,0.0
QUIC,1,1,P-256,4.81458,0.5445739115034619,500,4.18,10.45,4.69,2.78784,72.699294077135
QUIC,1,5,P-256,13.06688,0.5908740389116115,500,12.41,23.37,12.92,2.78784,368.7098255280073
QUIC,1,10,P-256,22.827900000000003,1.0203324687048774,500,22.29,44.23,22.695,2.78784,718.8382403581269
QUIC,1,20,P-256,42.85142,1.9503282144007887,500,42.33,85.77,42.695,2.78784,1437.083189853076
QUIC,1,0,mlkem512,2.64678,0.3330659054823678,500,2.05,4.91,2.56,2.64678,0.0
QUIC,1,1,mlkem512,4.49626,0.3426078994207386,500,4.09,9.03,4.43,2.64678,69.87660478014796
QUIC,1,5,mlkem512,12.93522,0.6489480863964971,500,12.13,25.41,12.83,2.64678,388.71534468297324
QUIC,1,10,mlkem512,22.872220000000002,1.0140970650360004,500,22.26,44.43,22.77,2.64678,764.1526685255292
QUIC,1,20,mlkem512,43.062400000000004,1.9231754594148156,500,42.35,85.27,42.93,2.64678,1526.9731522831516
QUIC,1,0,p256_mlkem512,11.905520000000001,2.0229594804937236,500,10.1,18.14,10.86,11.905520000000001,0.0
QUIC,1,1,p256_mlkem512,12.664100000000001,1.0796471024049785,500,11.72,20.23,12.37,11.905520000000001,6.371666252293055
QUIC,1,5,p256_mlkem512,21.8809,1.8131557178892896,500,19.97,38.39,21.035,11.905520000000001,83.78785638930512
QUIC,1,10,p256_mlkem512,31.92622,1.878735960484715,500,30.33,56.55,31.145,11.905520000000001,168.16317136924715
QUIC,1,20,p256_mlkem512,51.8897,2.716187744196532,500,50.17,103.44,51.36,11.905520000000001,335.84572534421
QUIC,1,0,x25519,2.36436,0.28897474492836367,500,1.95,3.48,2.275,2.36436,0.0
QUIC,1,1,x25519,4.29042,0.3649278947089045,500,3.89,8.76,4.21,2.36436,81.46221387605948
QUIC,1,5,x25519,12.42224,0.5980112183182418,500,11.99,24.3,12.32,2.36436,425.39545585274664
QUIC,1,10,x25519,22.80808,1.0031197396243623,500,22.21,44.22,22.685000000000002,2.36436,864.6618958195875
QUIC,1,20,x25519,42.65184,1.9668770742602317,500,42.11,85.92,42.49,2.36436,1703.9486372633612
QUIC,1,0,x25519_mlkem512,4.64466,0.5898793093499702,500,3.98,7.43,4.38,4.64466,0.0
QUIC,1,1,x25519_mlkem512,6.27262,0.44074055869656537,500,5.8,11.71,6.16,4.64466,35.05014360577523
QUIC,1,5,x25519_mlkem512,14.96678,0.8410465803394009,500,14.13,28.52,14.69,4.64466,222.23628855502878
