P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
44.23,44.22,56.55,47.89,44.43
24.05,22.94,31.15,26.19,22.62
23.03,22.82,31.64,25.8,23.12
23.17,22.8,31.26,24.53,22.98
22.88,22.59,31.7,24.91,22.35
23.68,22.87,32.09,24.81,22.71
23.42,23.01,32.45,24.62,23.19
23.47,22.64,30.71,26.69,22.92
23.41,23.02,30.99,24.55,22.89
22.58,23.56,31.48,24.75,22.86
22.57,22.95,31.22,24.98,22.7
23.21,23.09,35.33,24.5,22.57
23.06,22.98,30.73,24.8,22.73
22.81,23.59,30.74,23.89,22.81
22.43,22.55,30.74,24.42,22.87
23.69,22.76,31.5,24.2,22.73
22.87,22.87,31.34,23.95,22.42
23.63,22.43,31.27,24.79,23.07
22.55,22.73,31.96,24.13,22.91
23.03,23.68,30.95,24.73,22.61
22.91,22.6,31.19,25.13,22.84
23.14,22.73,30.71,24.5,23.24
22.82,23.27,30.8,24.16,22.9
24.46,22.7,30.87,25.96,22.6
23.13,22.56,31.16,25.32,23.17
22.8,23.57,31.79,24.52,22.85
23.89,22.81,31.02,24.13,23.3
22.48,22.61,32.45,26.14,22.95
22.75,22.62,31.1,26.4,23.3
23.18,23.23,32.59,24.09,24.01
22.9,22.7,32.14,25.04,23.01
23.15,22.84,31.27,24.93,22.66
23.19,22.95,30.89,24.68,22.75
23.3,22.56,31.0,24.24,22.65
23.58,23.11,35.26,25.09,22.81
22.63,22.57,31.24,24.05,23.31
22.83,22.53,32.01,23.94,23.04
22.99,22.61,31.3,25.42,23.1
22.95,23.05,36.77,23.99,22.93
22.6,22.67,31.41,24.06,22.99
22.44,22.43,37.6,24.1,23.09
22.79,23.05,31.16,24.56,22.85
22.72,22.72,31.46,25.31,22.75
22.83,23.34,34.26,25.56,22.58
22.72,22.72,34.35,25.05,22.73
22.71,22.69,30.92,24.69,22.49
22.48,23.4,31.04,24.65,22.91
22.77,22.83,32.33,25.55,22.64
22.56,22.66,31.49,24.23,22.71
23.16,22.98,32.38,24.6,22.66
22.54,22.79,34.45,24.89,23.38
22.46,23.24,31.06,24.73,24.17
22.69,23.41,32.91,24.17,23.73
22.59,22.82,31.75,24.86,23.29
22.74,22.8,34.97,24.01,22.83
22.59,22.82,31.24,24.1,22.66
22.61,22.82,31.0,24.8,23.54
22.52,22.92,31.91,25.27,22.79
22.84,23.27,33.68,24.2,22.65
22.83,22.67,34.24,24.72,22.95
23.46,22.55,36.36,25.16,22.93
22.56,22.65,36.04,24.06,22.79
23.13,23.14,30.99,23.92,23.65
23.15,22.57,30.63,24.21,22.73
23.13,22.61,31.2,25.34,23.57
22.59,22.65,31.83,24.16,22.77
22.48,23.88,33.65,25.72,22.86
23.02,23.42,31.07,23.96,22.64
22.75,23.26,30.98,24.5,22.35
22.77,22.77,30.83,24.7,22.79
22.66,22.92,30.58,24.38,22.58
22.65,22.64,32.0,26.23,22.77
22.43,22.57,34.33,24.79,22.9
23.06,22.93,30.9,24.51,22.61
22.7,23.18,30.96,24.92,22.54
22.84,22.79,35.74,24.99,22.53
22.57,23.39,33.84,24.04,22.44
22.62,22.62,30.91,24.37,22.5
22.46,22.79,31.22,24.52,23.05
23.17,22.72,34.18,24.58,22.8
22.64,22.7,30.95,24.55,22.82
22.34,22.8,30.85,23.99,22.79
22.56,23.27,30.71,24.52,22.89
22.36,22.8,30.79,23.9,23.34
22.62,22.54,33.92,24.92,22.8
22.44,23.24,30.82,24.86,22.91
22.39,22.66,35.73,24.09,22.26
23.01,22.71,31.02,24.07,22.32
22.66,22.92,31.13,24.66,22.33
