P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
28.22,26.02,40.4,33.73,25.6
19.1,14.95,26.98,19.57,14.49
16.77,14.96,30.64,18.05,14.7
18.53,14.88,28.21,20.61,15.36
17.18,14.83,24.87,18.02,14.38
16.52,14.7,24.87,17.98,14.42
16.81,17.26,25.35,18.09,14.33
16.76,14.62,25.27,17.8,14.55
16.89,17.3,28.91,18.75,14.32
17.1,15.91,25.03,17.57,14.58
17.28,15.34,28.27,17.85,14.31
16.36,14.97,25.23,20.98,14.94
16.49,15.99,24.81,17.54,14.52
16.63,14.98,28.9,17.85,14.17
16.24,14.89,33.42,17.71,14.25
16.63,14.42,25.84,21.16,14.4
16.21,14.8,25.52,18.52,14.37
16.82,16.64,25.5,18.12,14.14
16.82,14.34,26.72,17.83,15.37
19.37,14.32,26.21,17.63,16.14
17.91,14.32,26.87,18.67,14.5
16.92,14.61,26.17,20.21,14.49
17.0,14.36,29.87,17.77,15.09
16.25,15.11,26.16,19.83,14.78
17.63,14.58,26.46,17.78,15.49
16.33,15.27,25.11,20.13,14.56
16.2,14.38,26.7,18.64,14.55
16.2,14.38,26.13,17.55,14.39
16.36,14.26,26.55,17.91,14.89
16.32,14.24,29.09,21.06,15.04
16.25,14.42,35.61,17.67,14.94
16.13,16.82,31.46,18.87,14.47
16.26,14.4,25.81,17.76,14.28
16.24,14.82,26.27,17.56,14.45
16.08,14.5,31.42,17.46,14.31
16.55,14.39,28.57,17.33,14.67
16.44,14.44,27.16,17.84,14.71
17.15,14.56,26.05,18.76,16.26
16.46,14.36,26.23,18.97,15.32
16.45,14.42,25.93,17.46,14.76
16.31,14.36,25.45,17.59,14.3
16.18,14.4,25.47,17.43,14.66
16.19,14.32,25.44,17.52,14.63
16.13,15.04,29.46,18.96,14.58
16.56,14.46,31.39,17.69,14.44
16.07,14.4,25.32,17.55,16.29
16.21,14.34,27.91,18.7,14.34
16.01,14.58,25.43,17.66,14.22
16.16,17.33,25.14,18.81,14.51
16.02,15.1,26.01,17.49,14.04
16.46,14.71,25.63,20.2,14.55
16.42,14.53,29.56,18.66,13.96
16.14,14.85,26.2,17.33,14.52
16.5,14.47,25.89,17.27,14.71
16.57,14.35,25.25,17.08,14.09
16.17,14.31,25.74,18.5,13.86
16.01,14.5,25.13,20.52,14.45
16.16,14.77,25.1,17.31,13.98
16.08,14.52,25.07,17.36,14.62
16.2,14.84,25.04,17.55,15.13
16.28,14.51,25.34,18.27,14.24
17.73,14.41,26.31,17.65,14.79
16.1,14.28,25.29,17.68,14.43
16.05,14.84,30.11,17.36,14.1
16.37,14.8,25.19,17.4,15.03
16.62,14.81,26.86,19.2,14.11
16.19,15.1,24.98,17.59,14.43
16.72,14.87,25.22,17.34,14.61
16.13,14.7,24.79,17.47,15.51
19.13,14.41,25.02,16.87,14.57
16.48,15.02,24.89,17.33,14.64
17.4,14.43,25.17,20.55,14.52
17.62,14.38,24.76,18.18,14.51
17.41,14.45,25.93,18.83,14.67
16.49,15.01,29.27,21.14,16.81
16.48,14.37,25.11,17.61,16.08
16.75,14.49,24.89,17.53,14.26
18.1,14.65,33.09,18.41,14.25
16.44,14.74,24.94,21.03,14.1
16.52,14.53,25.18,17.38,14.03
18.07,14.95,25.06,17.37,14.37
16.48,14.44,25.4,17.53,15.08
16.78,14.29,29.18,17.69,16.24
16.64,14.46,24.98,18.99,13.85
16.48,14.47,24.69,17.66,13.85
16.44,14.29,24.63,17.8,14.18
16.78,14.73,24.54,18.83,14.29
17.8,14.74,25.29,17.48,14.19
17.84,14.45,29.23,17.37,14.33
18.07,14.37,24.93,17.27,14.6
16.26,14.76,24.82,18.56,14.58
16.46,15.02,27.82,17.48,14.27
18.32,14.98,24.83,17.4,14.54
18.1,14.7,27.13,18.13,14.37
17.03,16.18,25.03,17.6,13.71
16.56,15.28,24.89,18.65,14.22
17.01,14.54,24.8,18.64,14.34
18.05,16.1,25.47,17.62,14.2
16.75,14.53,27.48,17.7,14.52
17.56,14.47,27.11,20.06,14.28
16.25,14.94,28.94,17.55,14.55
16.98,14.34,25.41,17.63,14.16
16.26,14.87,27.97,17.22,14.73
16.07,14.41,26.74,17.64,14.42
17.0,14.74,32.65,17.48,15.33
