P-521,p521_mlkem1024,mlkem1024
11.4,32.06,10.95
8.49,17.28,6.18
8.34,18.33,6.23
8.42,20.2,6.36
8.14,20.36,6.25
8.38,16.96,7.41
9.57,17.27,6.41
8.38,17.79,6.27
8.43,16.75,6.58
10.39,17.4,6.21
8.38,16.99,6.41
8.04,16.76,5.98
8.5,16.57,5.89
8.66,16.51,5.9
8.31,16.91,6.63
8.32,16.51,5.94
8.55,16.96,6.01
10.88,17.44,6.22
10.9,16.15,6.02
9.59,15.9,5.97
8.3,18.43,5.89
8.53,16.86,6.12
9.39,24.18,6.58
9.06,16.48,6.0
9.95,16.99,6.12
8.45,16.48,6.46
8.14,20.29,6.15
10.75,16.72,6.24
8.87,18.39,6.26
8.27,17.51,6.1
8.57,16.72,5.99
8.27,16.63,5.96
10.95,16.41,6.16
9.01,16.86,5.89
8.96,16.59,6.5
8.4,16.7,6.63
8.21,16.47,7.28
8.26,24.49,6.72
8.95,16.62,6.0
8.75,15.94,6.69
8.32,16.39,6.35
9.72,16.26,6.4
8.17,15.92,5.99
8.02,23.05,6.48
9.71,17.07,6.26
8.17,16.92,6.38
8.81,17.0,6.1
8.34,16.68,6.21
8.34,17.25,6.34
8.29,23.48,6.01
8.37,21.18,5.94
10.45,17.3,5.98
8.44,18.17,6.38
9.57,16.48,6.1
8.61,17.99,7.21
8.53,18.15,6.39
8.8,16.76,6.35
8.64,17.34,6.17
8.18,20.8,6.09
7.96,17.1,6.14
8.48,19.68,6.04
8.77,18.83,5.97
8.25,17.45,6.11
8.17,23.75,5.99
10.61,17.92,6.03
8.48,16.97,6.49
8.5,17.41,6.08
10.98,16.53,6.12
8.35,17.35,6.03
8.69,20.04,6.11
8.99,17.48,5.94
8.24,17.08,5.87
8.3,24.46,5.96
8.55,17.13,5.98
8.01,16.88,6.13
9.03,17.17,6.02
8.71,24.62,5.94
8.3,18.41,6.0
8.6,16.87,6.02
8.55,17.18,7.1
8.87,16.06,5.98
8.33,17.43,5.97
8.72,15.97,6.25
8.19,17.63,5.97
9.64,16.09,5.88
8.6,17.02,5.99
8.4,16.29,5.97
8.71,17.69,5.88
8.47,21.34,6.49
8.34,24.49,5.98
8.18,17.27,6.22
8.57,16.93,6.03
8.78,16.73,6.4
8.2,17.44,6.17
10.1,24.94,6.15
9.04,17.13,6.36
8.23,17.98,5.86
8.65,16.63,5.91
8.17,17.23,5.95
7.88,18.66,6.25
8.49,16.84,6.4
7.82,16.49,6.23
7.93,16.75,6.18
7.84,16.23,6.16
8.11,16.03,6.39
10.61,16.14,6.19
7.94,17.27,6.33
7.84,19.59,6.42
7.83,16.41,5.93
7.85,16.45,6.11
8.14,20.51,6.04
8.18,16.13,6.29
7.93,16.52,7.16
7.8,16.75,6.25
8.21,17.19,6.16
7.86,18.9,6.69
7.89,16.25,6.45
8.38,15.91,6.04
7.81,15.93,5.95
8.12,15.88,5.95
7.89,15.97,6.25
8.67,16.47,6.57
8.04,15.77,5.93
7.94,15.68,6.13
8.15,15.91,6.18
8.0,15.74,6.86
8.1,15.68,6.34
8.43,16.26,6.94
8.14,15.93,6.32
8.06,15.89,6.09
9.81,15.75,5.96
8.25,16.06,5.97
8.11,16.2,7.0
7.96,16.01,6.22
8.08,16.39,6.02
8.02,16.83,6.07
8.16,17.0,6.66
8.04,15.87,6.03
8.11,16.02,6.05
8.0,15.98,6.02
8.06,15.69,6.22
8.16,15.83,6.12
8.09,17.14,5.93
8.2,16.51,5.81
7.89,15.88,5.88
8.07,15.87,6.25
8.16,16.88,6.16
7.9,17.09,6.26
8.02,16.56,6.12
7.97,15.94,5.95
7.86,15.92,6.94
8.59,16.26,5.97
7.92,16.07,5.96
7.99,17.01,6.13
8.98,16.9,6.17
8.1,17.5,6.12
8.13,16.25,6.18
8.03,16.1,6.11
8.02,20.1,6.21
8.1,16.13,6.1
8.02,16.41,5.97
8.32,16.91,6.44
7.88,24.19,6.16
8.0,17.21,5.97
8.42,16.43,6.17
8.13,21.05,6.22
8.01,15.97,6.06
8.08,16.58,6.07
8.07,17.12,6.01
7.9,16.74,6.42
7.79,15.79,7.48
10.03,15.86,6.88
7.82,16.4,6.36
7.88,15.9,6.32
8.04,17.23,6.14
8.51,16.82,6.18
8.24,16.6,6.82
8.03,24.37,6.34
8.45,16.34,6.32
7.97,16.36,6.29
8.2,15.96,6.28
7.83,16.45,5.95
8.01,16.6,6.1
8.09,16.17,6.14
8.15,16.36,5.94
8.29,17.29,5.98
8.05,16.65,5.92
8.41,15.89,6.03
8.37,16.52,6.19
7.87,16.9,6.1
8.23,16.66,6.3
7.88,17.07,5.96
7.92,20.59,6.25
8.29,16.66,6.05
8.66,16.65,6.8
8.16,16.8,6.01
8.11,16.9,5.92
8.49,16.62,6.24
8.29,16.72,6.12
8.58,20.25,6.35
8.74,24.48,6.05
8.51,16.87,6.04
8.3,22.39,6.47
8.35,16.71,6.32
8.2,16.66,6.08
7.99,16.53,6.04
8.29,15.75,5.98
9.74,15.85,6.75
10.06,15.82,6.92
8.36,15.66,6.25
8.4,15.93,6.13
9.22,15.96,6.32
8.39,16.01,6.09
8.59,15.74,5.96
8.71,15.65,6.26
8.5,15.72,6.56
8.69,16.63,6.16
9.46,15.77,6.13
8.28,15.73,5.9
8.14,16.74,5.92
8.65,16.35,6.9
8.69,15.99,6.05
8.57,15.99,6.09
8.32,20.38,6.72
8.05,15.82,5.98
7.89,15.96,6.11
8.11,16.16,5.98
8.17,15.96,5.84
8.52,16.09,5.91
9.43,16.75,6.08
8.38,16.67,6.06
8.19,17.02,5.93
7.93,20.36,5.93
8.24,16.75,6.14
7.94,15.91,5.97
7.88,15.83,6.26
8.67,16.05,8.33
7.93,15.97,6.97
8.06,15.88,6.13
8.34,15.8,6.83
8.24,17.07,6.14
8.21,16.21,5.91
8.41,15.74,6.06
9.09,16.29,6.17
8.29,15.95,6.14
8.49,16.37,6.22
10.57,16.38,6.09
10.02,15.84,6.0
7.93,16.53,5.91
