P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
32.77,32.96,41.23,34.19,33.04
22.07,22.08,31.73,22.95,21.89
22.09,22.02,28.27,22.89,22.39
22.85,22.12,29.48,22.79,22.35
22.23,22.29,28.11,22.66,22.63
22.05,21.88,28.44,22.65,23.22
22.02,21.82,30.11,22.74,22.58
22.0,22.5,28.21,22.54,22.58
21.92,21.8,28.55,22.61,22.5
22.0,21.92,28.33,22.59,22.5
21.99,22.1,29.19,22.59,22.59
22.24,22.27,28.47,22.33,23.2
22.08,22.02,28.37,22.47,22.85
22.04,21.99,28.14,22.99,22.36
22.16,21.77,28.12,22.88,22.32
22.09,21.96,28.41,22.64,22.81
21.95,21.92,28.42,22.99,22.52
22.28,22.04,28.14,22.77,22.26
22.33,21.7,28.32,22.97,22.56
22.03,22.02,28.42,22.87,22.68
22.03,21.77,28.54,22.55,22.42
22.27,22.02,28.31,22.43,22.4
21.93,21.83,28.47,22.92,22.41
21.96,21.94,28.73,22.74,22.72
22.27,22.72,28.46,22.93,22.52
22.35,21.72,28.2,22.86,22.49
22.3,21.73,28.42,22.84,22.32
22.31,21.71,31.34,22.67,22.37
22.48,22.04,28.33,22.6,22.4
22.29,21.79,28.81,22.68,22.33
22.16,21.7,31.04,23.2,22.67
22.45,21.65,28.03,22.79,22.42
22.35,22.76,28.29,22.61,22.39
22.18,21.8,28.34,22.61,22.72
22.39,22.0,28.2,22.97,22.47
22.66,22.3,28.07,22.64,22.96
22.41,22.01,28.23,22.8,22.48
22.07,22.03,28.49,22.66,22.73
21.92,22.04,29.62,22.68,22.8
21.87,21.96,28.47,22.7,22.49
21.93,22.27,27.86,22.76,22.29
22.11,21.88,28.35,22.95,22.43
22.33,21.8,28.36,22.83,22.76
22.15,22.02,28.2,22.71,22.6
22.03,22.2,27.88,22.95,22.72
22.04,22.07,27.43,23.08,22.82
22.1,22.12,28.66,22.88,22.77
22.04,22.17,28.74,23.06,22.76
22.19,22.05,28.62,22.84,22.75
22.07,22.06,28.29,22.75,22.53
22.11,22.04,31.3,22.79,22.8
21.98,22.03,30.92,22.69,22.55
22.2,21.85,28.4,23.24,22.76
22.08,21.79,28.28,22.67,22.49
22.06,22.09,28.61,22.8,22.52
22.2,21.91,28.17,22.57,23.05
