P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
40.61,21.89,51.47,37.58,36.12
28.85,17.1,43.93,26.69,24.86
28.91,16.26,37.17,26.38,24.86
29.09,16.39,36.11,26.8,24.76
29.17,18.36,38.32,26.44,25.4
28.94,17.72,37.05,27.04,25.09
28.78,16.17,37.56,26.22,25.07
28.89,15.91,37.19,26.83,25.01
28.74,15.65,37.68,28.68,25.1
28.9,16.12,37.19,27.46,25.46
28.72,18.07,38.74,26.72,25.24
28.68,15.88,37.27,26.7,25.06
28.6,16.18,36.02,26.32,27.34
28.54,15.91,37.15,27.1,25.11
29.47,15.95,39.44,26.65,25.07
28.99,17.21,37.17,26.66,25.46
28.75,17.21,36.33,27.03,27.42
29.14,18.0,36.1,26.75,25.48
29.81,15.99,36.23,27.32,25.24
29.76,16.06,37.18,26.82,26.34
32.34,16.53,36.5,26.7,25.34
28.98,18.13,36.49,26.75,25.3
29.39,17.51,36.81,26.94,25.23
29.07,15.89,36.24,26.73,25.33
29.41,16.77,36.55,26.71,26.18
29.41,16.25,36.58,26.87,31.21
29.77,17.3,37.59,26.52,25.17
29.46,15.93,40.33,26.82,25.04
30.1,16.43,37.21,27.07,25.31
30.35,15.78,38.3,29.57,25.07
29.36,16.17,41.35,26.73,25.04
29.47,16.36,37.91,26.64,25.19
29.14,15.98,37.05,26.97,25.03
29.17,16.27,37.9,27.08,24.84
29.37,17.62,36.65,26.55,24.81
30.57,16.35,35.87,26.83,24.87
29.73,16.09,37.72,26.61,25.33
29.23,15.64,36.91,26.96,24.96
29.35,16.34,37.05,26.57,25.06
30.67,16.0,37.59,27.0,25.36
31.14,16.61,37.67,26.98,24.95
29.8,15.89,39.5,26.93,24.88
29.53,17.14,37.22,27.29,24.73
29.34,17.28,37.51,29.49,24.8
30.11,16.53,37.45,26.91,24.8
30.32,26.61,37.28,27.23,24.85
29.61,27.02,36.74,27.39,25.12
29.81,27.95,36.51,27.0,25.23
33.38,26.13,36.98,26.89,24.83
29.93,26.54,37.52,26.97,24.81
29.19,25.91,36.47,26.89,24.84
29.45,26.27,37.06,26.9,25.07
29.93,25.74,37.26,27.08,24.9
29.89,26.34,37.89,27.36,24.97
30.9,26.33,37.09,27.11,24.81
29.14,26.28,38.27,26.99,25.04
32.53,25.89,37.91,27.12,25.61
30.05,25.81,36.85,26.82,26.28
35.28,25.86,36.63,26.68,26.44
32.21,26.24,36.13,26.8,26.79
32.76,25.92,36.29,26.78,25.38
31.54,25.76,36.42,27.53,25.28
30.28,25.87,36.38,26.8,25.29
29.84,25.79,36.34,26.9,25.62
30.16,26.27,36.57,26.86,25.12
29.35,26.58,36.58,26.72,26.04
33.44,26.27,36.2,29.19,27.38
31.99,26.6,36.01,27.1,25.24
32.77,26.19,36.27,26.69,25.01
32.87,25.91,41.69,26.88,25.2
30.19,26.13,35.91,26.97,26.08
29.78,25.83,36.19,27.11,25.12
31.96,25.8,36.39,27.13,24.86
30.28,25.92,36.36,27.33,25.09
31.04,26.02,36.47,26.75,24.98
31.16,26.3,36.44,27.04,25.24
30.69,26.13,36.28,28.32,25.1
33.64,26.07,36.11,28.53,24.89
30.58,25.81,36.6,27.54,25.09
30.18,26.48,36.52,26.83,24.95
30.78,26.47,36.89,26.9,24.99
32.39,26.41,36.38,26.88,25.02
30.18,28.4,36.27,27.77,24.92
31.04,28.44,36.5,26.92,24.95
30.76,27.14,36.56,26.62,25.3
29.87,26.69,36.55,26.71,24.96
31.36,25.89,36.43,26.68,24.85
29.66,25.81,36.8,26.92,25.28
30.36,25.92,37.09,26.81,25.22
30.01,25.85,39.1,26.88,25.25
31.12,26.46,36.63,27.21,26.13
34.81,26.34,36.37,27.16,25.36
30.38,25.68,39.55,27.08,25.87
30.34,26.49,36.55,26.96,25.3
30.3,25.91,37.1,26.98,25.43
30.01,25.75,37.53,27.02,25.34
30.49,25.84,36.47,26.92,25.09
30.24,26.16,36.42,26.9,25.05
32.67,26.29,37.04,27.09,25.67
29.99,26.38,36.19,27.09,24.94
29.38,26.22,36.5,27.36,25.12
29.51,27.94,36.43,26.74,25.38
30.86,27.29,36.5,26.82,25.09
29.63,26.16,36.51,30.89,24.81
30.61,25.75,38.45,27.35,24.69
30.45,25.94,37.29,29.05,25.16
30.48,25.61,36.18,26.67,25.09
29.97,25.55,36.28,26.75,25.77
30.39,25.52,36.5,26.84,24.9
29.84,25.65,36.73,28.99,25.14
30.31,25.57,36.45,26.78,24.75
29.64,25.6,37.45,27.21,24.88
29.43,25.66,36.85,26.83,25.29
30.48,25.63,36.54,26.93,24.97
29.16,25.7,39.98,26.79,25.16
31.41,25.55,36.64,26.78,24.88
29.26,25.58,36.64,27.01,24.73
29.49,25.47,36.41,26.53,24.74
29.27,25.67,37.47,26.6,24.68
31.47,25.67,36.3,26.79,24.97
29.25,26.56,37.1,26.65,25.23
32.16,25.67,41.47,26.87,24.77
29.56,25.53,37.35,27.2,25.34
30.05,25.67,36.54,26.83,25.17
30.16,25.74,36.94,26.88,24.86
29.79,25.65,36.63,26.96,24.86
29.82,25.69,36.01,27.0,24.75
29.95,25.68,36.29,26.71,26.97
30.4,25.82,36.09,26.77,24.81
29.65,26.89,36.6,26.64,24.7
29.96,25.62,36.71,26.7,25.14
29.07,25.63,36.37,26.9,25.18
29.3,25.7,36.05,26.79,24.84
30.29,25.65,36.45,28.85,24.83
31.69,25.68,36.52,26.63,24.84
29.28,25.64,36.65,26.89,24.72
29.87,25.61,36.38,27.01,25.01
31.8,25.68,36.8,27.14,25.17
30.01,25.64,36.59,27.1,25.46
30.74,25.64,37.03,26.95,24.96
30.32,25.57,36.09,27.0,24.79
29.46,25.6,36.31,26.72,25.01
29.54,25.54,35.87,27.1,26.0
29.24,25.57,36.56,26.73,24.87
29.86,26.53,38.89,29.05,25.31
29.66,25.81,36.55,27.44,24.82
29.64,25.78,36.62,28.48,25.17
29.56,25.5,36.37,27.91,26.47
30.17,25.58,36.24,27.09,24.9
29.55,25.73,36.63,27.33,25.14
29.96,25.62,36.92,26.77,25.02
29.1,25.53,36.31,27.01,25.21
29.19,25.59,36.47,27.26,24.85
29.83,25.55,36.2,27.19,24.81
30.27,25.55,36.98,27.03,24.67
29.91,25.52,36.25,28.65,25.17
31.88,25.54,36.49,28.91,24.71
30.92,25.49,42.41,26.89,24.89
29.83,25.69,35.96,27.23,24.75
30.16,25.96,36.74,26.84,24.75
28.96,26.06,38.24,29.25,24.98
29.95,25.56,37.09,27.34,24.76
29.07,26.72,36.68,27.3,25.05
29.18,25.7,37.8,29.04,25.12
29.67,25.59,36.81,26.93,25.38
30.49,27.08,36.68,26.77,25.45
29.65,25.57,36.36,27.26,25.11
28.9,25.9,36.25,26.84,24.8
29.21,25.77,40.41,27.07,24.67
28.88,25.94,36.28,27.29,24.85
28.75,25.91,36.82,26.83,24.69
29.07,25.65,36.34,27.14,24.65
30.29,25.72,36.4,27.59,24.59
28.82,25.94,36.72,26.88,24.75
28.86,25.78,36.46,28.19,24.77
29.75,25.66,36.47,26.68,25.24
28.79,25.64,36.7,26.74,24.89
29.07,25.82,36.18,26.82,24.9
29.15,27.43,36.44,28.71,24.79
28.82,25.77,36.9,26.7,24.72
28.9,25.69,36.81,26.72,24.69
29.1,25.8,36.34,26.86,25.52
29.0,25.51,36.38,29.63,25.53
29.49,25.89,40.27,26.8,25.39
33.13,25.84,37.21,30.43,25.15
28.96,25.89,37.21,27.12,25.25
32.3,25.89,36.34,26.66,26.03
29.2,25.68,36.26,26.93,25.12
29.22,25.69,36.32,27.02,25.03
29.05,25.65,37.34,26.89,27.41
29.41,25.46,36.92,26.86,25.15
28.97,25.59,38.66,26.91,25.06
29.04,25.77,36.26,26.89,25.2
28.93,25.66,35.92,27.43,25.46
29.4,25.57,39.33,26.87,26.05
29.07,26.32,36.6,27.25,25.2
29.05,25.5,36.22,26.88,25.3
28.85,25.46,36.28,26.63,25.42
29.95,25.48,36.95,27.06,25.26
29.24,25.41,36.47,26.84,27.06
29.47,25.66,37.68,27.36,25.44
29.08,25.63,35.87,26.92,25.02
29.27,25.73,36.71,27.0,24.64
30.05,25.55,36.22,27.0,25.22
28.86,25.64,36.62,26.73,25.08
28.9,25.52,36.16,26.95,25.46
28.73,25.54,35.97,27.17,25.16
28.97,25.58,35.62,26.94,24.83
28.75,25.68,38.2,26.88,24.86
28.87,25.66,36.41,26.88,24.91
29.02,25.68,36.33,26.88,25.57
29.12,25.68,36.08,26.77,25.25
30.22,25.6,36.5,26.88,24.8
30.92,25.65,36.07,26.73,25.05
30.06,25.72,36.67,27.11,25.27
31.07,25.65,36.35,26.87,25.57
29.11,25.71,36.95,26.88,25.03
29.07,25.66,37.73,28.25,24.99
29.63,25.59,35.93,27.03,24.77
28.92,25.55,36.1,27.01,24.72
28.94,25.64,36.04,27.3,24.72
29.64,25.57,35.57,26.88,24.78
28.91,25.49,35.56,28.28,24.78
29.02,25.5,35.53,26.84,24.71
29.29,25.48,36.25,26.66,26.08
29.04,25.55,35.81,26.72,25.08
28.89,25.61,35.65,27.22,24.88
29.09,25.66,36.0,26.69,24.76
29.22,25.53,36.2,26.83,24.67
29.67,25.75,36.03,26.89,24.6
29.41,25.73,36.18,26.81,24.91
28.72,25.83,36.05,26.65,24.84
28.87,25.65,35.48,26.68,24.71
29.05,25.63,36.02,26.87,24.95
29.02,26.53,35.72,26.71,24.84
29.08,25.5,35.59,26.84,24.88
28.77,25.54,36.33,26.61,24.74
28.98,25.58,37.8,26.7,24.9
29.02,25.62,35.82,27.05,24.98
29.71,25.67,42.52,26.79,24.95
30.58,25.54,35.86,26.83,25.25
29.14,25.72,36.3,26.93,24.89
29.16,25.62,35.66,26.95,24.88
29.03,25.41,35.47,27.05,26.76
29.17,25.49,35.46,26.8,24.77
31.98,25.68,36.09,26.86,24.95
29.03,25.71,35.58,27.08,24.64
28.9,25.7,35.59,27.62,24.77
29.09,25.68,39.37,27.98,24.68
29.02,25.97,35.59,26.97,24.91
29.01,25.56,35.63,26.99,25.01
29.35,25.57,36.12,26.92,24.9
29.04,25.53,35.68,26.91,24.74
28.83,25.46,36.22,26.89,24.7
29.07,25.61,35.48,26.8,24.87
29.41,25.48,35.72,26.94,24.64
29.0,25.47,35.4,26.9,24.77
28.85,25.57,36.26,26.72,24.75
28.83,25.5,36.26,26.93,24.78
29.06,25.62,35.82,26.93,25.02
29.98,25.61,36.07,26.57,24.9
30.18,25.86,35.59,26.74,24.77
29.25,25.68,35.98,26.52,24.84
29.4,25.67,35.76,26.52,24.82
29.03,25.69,35.7,26.79,26.5
28.8,25.73,36.38,26.61,24.86
29.17,25.69,35.83,28.8,24.73
29.44,25.93,36.04,26.66,25.15
28.94,25.5,35.52,27.06,24.66
28.69,25.45,37.07,26.63,24.79
30.66,25.89,35.86,26.83,24.79
28.88,25.64,35.62,26.84,24.9
29.23,25.54,35.63,26.67,24.81
29.48,25.49,35.98,26.77,24.69
29.77,25.53,35.49,26.61,24.68
28.88,25.57,35.49,26.4,24.81
28.58,25.68,35.75,26.76,25.01
29.08,25.55,36.38,26.34,24.96
28.93,25.48,35.83,26.95,25.53
29.11,25.55,35.72,26.78,24.84
29.78,25.72,35.6,27.48,24.69
28.99,25.68,36.7,26.78,24.65
28.94,25.76,38.85,26.74,25.29
31.47,25.72,36.01,26.72,24.75
29.29,25.61,36.97,26.32,24.68
29.25,25.79,35.69,26.89,24.79
29.24,25.92,35.36,27.02,24.68
29.0,25.68,35.49,26.56,24.74
29.1,25.9,35.32,26.84,24.75
28.95,27.66,35.88,26.65,24.68
28.66,26.01,35.37,26.44,24.8
31.81,25.58,35.45,26.29,25.51
29.16,25.97,35.59,26.69,25.71
32.19,27.39,35.68,26.58,24.85
31.64,27.36,35.55,26.61,25.0
29.3,25.82,36.17,26.41,24.75
