P-521,p521_mlkem1024,mlkem1024
49.16,60.06,40.82
38.48,47.51,30.13
38.19,48.4,33.17
38.05,47.48,29.89
38.78,47.4,29.63
40.17,48.11,30.12
38.49,48.77,31.18
38.56,47.56,31.98
38.25,48.2,30.46
38.78,47.66,29.84
38.27,47.25,29.83
37.98,48.71,30.35
38.44,48.09,30.69
38.06,47.46,30.05
38.04,48.03,33.6
38.32,47.77,30.45
38.48,47.46,29.53
38.29,47.74,31.75
38.45,54.31,30.44
38.52,47.87,33.57
38.4,54.87,30.42
38.24,47.53,30.05
38.06,47.73,30.5
38.51,48.37,29.84
38.06,47.84,29.99
38.69,50.78,30.63
38.6,48.66,30.24
39.2,47.83,30.06
38.18,48.48,30.32
38.38,48.14,29.99
38.53,47.82,30.81
38.48,48.19,29.57
38.17,47.67,29.82
38.0,47.34,29.64
39.62,51.9,29.75
38.71,47.35,29.95
38.58,47.38,33.75
38.67,47.37,31.86
39.6,47.43,29.69
38.76,47.49,32.2
39.81,47.85,30.53
38.56,50.51,31.4
38.04,47.4,30.11
38.38,47.39,30.32
38.42,48.69,30.48
38.02,49.5,29.49
38.02,47.7,29.5
38.65,47.09,30.39
39.59,47.53,29.61
41.96,47.98,30.13
38.39,47.9,29.32
38.54,47.46,29.93
38.47,47.76,29.68
38.9,47.4,29.6
41.74,47.91,29.82
38.57,48.93,30.06
38.27,47.21,29.77
38.04,55.0,29.99
38.17,47.58,29.77
38.35,47.37,29.12
38.65,47.36,29.86
38.53,47.48,29.32
38.65,47.22,29.26
38.79,47.38,33.28
38.86,47.54,29.87
39.07,47.84,29.71
38.72,47.06,29.18
38.75,46.61,29.54
40.55,48.46,29.46
38.71,47.48,29.6
38.38,46.77,30.02
40.83,47.12,30.33
38.78,47.97,29.18
38.84,47.15,29.57
38.42,47.27,29.91
38.75,47.15,30.32
38.63,47.23,29.43
38.54,47.89,30.25
38.66,47.23,32.16
39.41,47.27,31.65
38.53,47.26,30.31
38.3,54.29,29.92
39.18,49.4,29.58
38.53,47.03,32.73
38.79,49.05,29.8
38.73,47.79,30.08
44.35,47.74,30.13
38.36,57.23,32.62
38.97,47.36,29.6
38.64,50.45,29.63
38.78,47.05,29.66
38.73,46.92,29.53
38.79,47.3,29.19
38.48,46.85,29.4
39.1,46.84,29.27
38.62,47.04,29.35
38.62,47.27,29.06
38.12,47.18,29.27
38.01,47.21,29.36
38.15,47.31,29.11
38.88,47.03,29.3
38.05,46.64,29.37
38.57,47.93,29.28
38.83,49.13,29.07
38.36,46.54,29.14
38.26,47.56,29.52
38.33,47.31,29.18
38.44,47.13,29.24
38.29,47.7,29.22
38.69,47.45,29.36
38.51,47.85,29.18
40.86,50.39,29.35
38.17,47.43,29.07
38.73,47.34,29.16
38.7,47.55,29.14
38.72,47.17,29.26
38.57,47.29,29.19
39.05,50.47,29.13
38.37,46.76,29.01
38.42,47.38,33.53
38.58,50.74,33.62
38.41,51.29,29.36
38.47,46.78,29.23
38.4,47.37,29.27
44.35,46.97,29.25
40.72,47.03,29.29
38.8,47.0,29.46
38.78,47.53,29.1
40.47,47.12,29.54
38.66,47.64,29.38
39.42,46.8,29.88
38.84,47.48,29.83
39.15,46.82,29.39
38.68,47.15,29.33
38.52,47.31,29.38
39.17,46.71,29.35
39.04,46.62,29.3
38.63,47.41,29.24
40.47,46.62,29.26
38.66,47.03,29.71
38.97,47.15,29.17
38.25,47.19,29.58
38.7,47.34,29.19
38.84,3633.14,29.33
39.6,48.11,29.35
39.06,47.8,29.27
38.79,46.55,29.2
38.35,48.32,29.46
38.84,47.32,29.44
39.44,47.17,29.28
39.44,47.23,29.09
39.98,47.11,29.31
41.42,47.41,29.15
38.68,47.23,29.15
38.53,47.49,29.32
38.49,51.56,29.78
38.7,47.91,29.16
38.63,46.78,29.23
38.34,47.19,29.3
39.39,46.62,29.31
38.57,47.17,29.1
38.69,49.39,29.24
39.03,46.58,29.41
38.75,47.02,29.28
38.6,46.68,29.21
38.91,47.3,29.22
38.68,46.47,29.37
39.34,46.86,30.97
38.64,47.59,29.39
38.66,47.35,29.11
40.27,47.79,29.49
38.8,47.67,29.31
38.67,47.0,29.73
38.95,47.27,31.1
38.44,47.42,29.15
38.55,48.72,29.54
38.61,47.13,29.14
38.83,47.74,29.46
38.89,48.43,29.09
38.73,48.37,29.3
38.51,48.48,29.72
38.76,48.69,29.05
39.06,47.97,30.63
38.99,47.36,29.09
38.43,48.3,29.39
38.75,47.45,29.61
39.0,47.28,29.55
38.77,47.11,29.17
38.5,49.03,29.11
38.77,50.3,29.91
38.96,48.5,31.02
38.39,47.27,31.19
38.43,47.74,29.04
38.5,50.07,29.35
38.08,47.2,29.27
38.12,56.51,29.47
38.35,48.42,29.24
38.06,49.27,29.17
38.11,47.44,29.2
39.66,55.5,29.25
38.19,46.84,29.17
38.26,48.65,29.17
38.41,49.66,29.33
38.35,47.61,29.54
38.36,48.03,29.1
39.1,52.69,29.23
38.9,48.1,29.25
41.52,53.92,29.06
38.71,49.41,29.25
38.5,48.18,29.2
38.71,50.94,29.43
40.03,49.92,29.2
38.57,49.47,29.26
38.62,47.77,29.29
38.84,48.44,29.26
38.61,50.24,29.09
38.83,48.62,29.21
38.66,48.36,29.12
38.63,49.91,29.33
38.6,47.84,29.21
41.65,48.96,32.3
39.92,49.03,29.27
39.52,49.37,30.93
38.66,49.03,29.18
38.96,49.18,29.27
40.05,47.92,29.32
39.06,48.64,29.28
38.56,47.25,31.42
38.28,47.01,31.4
40.9,49.37,31.25
38.64,52.37,30.47
38.58,48.07,29.28
39.38,47.88,29.33
39.08,48.38,29.4
38.51,51.89,29.69
38.91,48.45,29.65
38.76,49.92,29.24
38.73,49.89,29.49
40.45,49.94,30.77
38.55,47.95,30.34
39.31,46.91,29.71
38.55,47.48,29.66
38.25,46.72,29.04
38.2,46.94,29.28
39.68,46.53,31.01
43.01,47.6,29.85
38.77,47.32,29.47
38.62,48.9,29.16
38.71,48.74,29.15
38.67,49.05,30.31
38.48,47.34,29.35
38.56,47.26,31.79
39.77,47.98,29.29
40.61,48.18,30.39
38.52,48.46,32.15
38.76,47.04,29.14
38.07,48.12,29.21
38.51,47.42,29.44
38.7,48.65,29.04
38.19,48.23,29.08
39.07,49.8,29.91
38.45,47.72,29.51
38.47,52.85,29.25
38.27,53.12,29.23
38.22,48.51,29.04
39.28,48.42,31.05
38.42,47.35,29.71
42.22,47.8,31.34
39.86,47.86,29.54
41.19,50.41,29.84
39.0,49.45,29.28
38.75,48.62,29.39
44.55,48.15,29.11
38.74,47.59,30.41
38.05,50.14,29.66
38.54,47.66,29.71
39.13,58.2,29.11
38.0,48.37,29.26
38.76,47.76,29.29
38.24,47.04,29.1
38.78,47.04,29.13
38.59,47.48,29.12
38.67,48.06,29.34
38.22,48.35,29.54
37.96,46.9,29.23
38.11,46.59,29.23
38.33,47.48,29.44
38.21,46.76,31.04
38.37,46.7,29.35
38.52,47.04,29.23
38.26,47.05,29.26
38.41,47.23,29.32
40.57,47.34,29.89
38.17,47.15,32.14
38.52,51.02,29.24
38.33,49.23,29.09
38.46,51.63,29.13
38.53,48.77,30.38
39.18,48.23,30.56
38.39,49.44,29.74
38.1,47.56,33.52
38.17,47.22,29.42
38.64,47.55,31.25
38.38,48.04,29.31
38.53,50.28,29.14
40.48,47.41,29.19
3624.34,48.31,29.14
38.92,47.58,29.46
38.93,47.76,29.25
39.2,47.39,29.56
38.51,47.37,29.24
38.41,47.82,29.2
39.0,47.35,29.36
38.63,47.63,29.34
38.34,47.8,29.16
40.15,48.18,29.57
37.95,49.57,29.09
38.38,47.57,29.17
38.43,47.68,29.33
38.41,47.58,28.91
38.08,47.53,29.01
38.33,47.75,29.09
38.45,47.87,29.22
38.51,47.47,29.25
38.18,47.66,29.25
38.66,47.55,29.46
38.79,47.25,29.2
38.63,47.75,29.78
41.53,47.22,29.27
40.52,47.69,29.28
38.3,47.79,29.1
37.93,47.12,29.12
38.47,47.47,29.34
38.52,51.23,29.15
38.03,47.44,29.1
40.36,47.62,29.89
38.3,47.28,28.88
39.77,47.68,29.3
38.12,48.26,29.14
38.39,48.6,30.02
38.51,47.66,29.19
40.55,47.94,29.32
38.77,47.52,30.11
39.01,47.58,29.49
39.13,47.6,29.12
38.41,48.11,29.12
38.89,47.6,29.28
44.25,47.29,29.3
38.38,50.08,29.39
38.44,47.52,29.27
38.8,47.45,29.05
38.31,48.42,29.32
38.19,47.4,29.31
38.6,48.04,29.31
38.77,48.32,29.27
38.89,47.43,29.19
38.51,47.32,29.09
41.82,47.51,29.3
40.96,47.57,29.08
39.08,47.37,29.45
38.87,47.91,29.19
38.48,50.63,29.8
38.4,47.71,29.34
43.21,48.72,29.98
41.45,47.8,30.29
39.01,47.55,29.32
39.02,47.67,29.59
40.72,47.96,29.14
39.17,56.22,29.2
44.31,47.1,29.18
38.56,56.82,29.13
40.23,47.76,29.3
39.87,47.48,29.38
39.65,47.12,29.2
39.65,47.98,29.09
40.01,47.56,29.21
39.0,48.05,29.07
38.63,47.76,29.05
38.94,47.62,29.14
39.02,48.02,29.3
38.8,47.63,29.89
39.0,47.63,32.94
39.05,47.41,29.06
39.42,47.52,29.05
39.13,47.56,29.4
42.18,47.38,29.21
40.19,47.3,29.45
39.8,47.33,29.19
40.34,47.09,29.2
39.08,46.59,29.26
38.56,47.47,29.17
38.78,48.78,29.22
39.46,47.3,29.36
39.81,47.5,29.01
38.98,47.38,29.3
38.58,48.71,29.44
39.07,47.24,29.14
39.32,47.28,29.13
39.23,47.44,29.2
39.36,46.76,29.17
39.47,47.35,30.34
40.52,47.45,29.25
39.97,48.23,29.4
40.81,47.39,29.22
39.8,48.01,29.56
39.12,47.29,29.17
43.49,47.5,29.39
38.76,47.0,29.44
41.92,47.58,29.28
40.8,47.14,29.2
45.57,48.13,29.35
41.34,47.88,29.51
38.94,47.44,29.2
42.59,47.81,29.65
39.44,47.82,29.2
39.52,47.38,29.33
42.59,47.4,29.15
39.9,47.62,29.06
39.36,47.85,29.04
38.97,47.71,29.22
39.05,48.02,29.11
41.12,47.32,29.24
40.73,47.75,30.43
43.38,55.32,29.28
40.45,47.72,29.23
41.73,47.38,29.41
39.77,47.68,30.74
38.99,47.52,29.25
38.52,47.87,29.18
38.89,47.87,29.44
42.45,48.68,29.26
39.8,51.95,29.25
39.6,47.39,29.45
39.65,49.8,29.15
39.31,47.61,29.74
39.61,47.3,30.42
41.54,48.09,30.42
41.86,48.25,29.13
41.7,47.87,29.26
41.27,47.49,29.3
40.11,49.78,29.18
41.32,47.63,29.41
39.71,50.93,29.17
38.97,54.98,29.21
41.31,48.51,29.14
40.3,47.49,29.2
40.6,48.8,28.96
39.3,48.65,29.86
40.7,47.86,29.15
39.13,48.03,29.11
45.93,47.87,29.38
39.39,48.06,29.28
40.0,47.52,29.92
38.8,47.68,29.3
39.47,49.04,28.98
39.76,47.14,29.04
40.29,46.95,29.25
39.67,47.55,29.27
43.61,47.88,29.52
39.42,47.47,29.76
40.71,57.05,29.33
40.33,53.34,29.2
40.71,49.3,29.28
42.73,47.73,29.16
47.84,47.48,29.2
39.05,48.04,29.2
40.55,52.62,29.82
39.56,51.91,29.51
39.27,48.64,29.24
39.86,47.18,29.11
40.12,48.05,29.08
39.1,50.32,29.2
39.21,47.59,29.27
40.61,47.46,29.2
40.23,47.64,29.38
40.39,47.78,29.21
40.78,47.36,29.23
47.67,47.5,29.87
41.52,47.7,29.19
38.76,47.77,29.02
38.79,48.43,31.38
38.34,47.87,29.07
38.72,49.16,29.2
38.84,48.24,29.14
40.01,49.99,29.34
38.88,47.76,29.3
38.76,48.11,29.19
39.77,48.44,29.22
41.68,47.92,29.08
38.98,47.37,29.2
38.97,47.32,29.08
40.13,47.45,29.15
38.66,47.66,29.19
38.85,51.14,29.14
38.57,48.42,29.19
38.52,47.33,29.27
38.63,47.4,29.13
38.98,47.69,29.24
38.95,47.76,29.43
38.6,47.62,29.28
