Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
1,1012.47,626.0,1705.0,2331.0,,5.71,412.0,1623.0,2035.0,,18.5,745.0,3968.0,4713.0,,1226.41,704.0,3388.0,4092.0,,1020.87,692.0,3841.0,4533.0
2,10.31,412.0,1703.0,2115.0,,5.56,412.0,1621.0,2033.0,,16.73,412.0,3967.0,4379.0,,6.76,412.0,3886.0,4298.0,,4.92,412.0,3773.0,4185.0
3,9.34,412.0,1704.0,2116.0,,6.53,412.0,1622.0,2034.0,,16.12,745.0,3968.0,4713.0,,6.64,412.0,3887.0,4299.0,,8.6,2004.0,1818.0,3822.0
4,12.73,412.0,1704.0,2116.0,,1017.73,560.0,1622.0,2182.0,,20.02,2004.0,1915.0,3919.0,,627.41,2860.0,1874.0,4734.0,,5.37,412.0,3773.0,4185.0
5,1062.83,486.0,1705.0,2191.0,,1013.46,420.0,1623.0,2043.0,,1273.88,626.0,4035.0,4661.0,,10.57,2218.0,1874.0,4092.0,,4.91,412.0,3775.0,4187.0
6,9.72,412.0,1703.0,2115.0,,5.36,346.0,1621.0,1967.0,,16.59,412.0,3969.0,4381.0,,1216.61,704.0,3388.0,4092.0,,4.87,412.0,3774.0,4186.0
7,9.17,412.0,1703.0,2115.0,,417.64,1965.0,698.0,2663.0,,16.42,412.0,3968.0,4380.0,,213.36,478.0,3951.0,4429.0,,4.8,412.0,3773.0,4185.0
8,1034.25,626.0,1705.0,2331.0,,5.47,412.0,1623.0,2035.0,,1488.43,2078.0,1915.0,3993.0,,6.71,346.0,3886.0,4232.0,,4.88,412.0,3775.0,4187.0
9,216.84,412.0,1705.0,2117.0,,1058.49,486.0,1621.0,2107.0,,16.71,412.0,3968.0,4380.0,,1014.73,692.0,3951.0,4643.0,,4.94,412.0,3773.0,4185.0
10,8.74,412.0,1705.0,2117.0,,5.61,412.0,1621.0,2033.0,,16.4,412.0,3967.0,4379.0,,6.83,412.0,3885.0,4297.0,,6388.26,2736.0,1818.0,4554.0
11,9.64,412.0,1704.0,2116.0,,1060.94,486.0,1622.0,2108.0,,2489.7,626.0,4034.0,4660.0,,6.42,412.0,3886.0,4298.0,,1014.55,692.0,3841.0,4533.0
12,8.81,412.0,1703.0,2115.0,,5.61,412.0,1622.0,2034.0,,1053.7,692.0,4033.0,4725.0,,6.56,346.0,3885.0,4231.0,,5.71,412.0,3773.0,4185.0
13,211.77,412.0,1704.0,2116.0,,5.76,346.0,1623.0,1969.0,,17.0,412.0,3969.0,4381.0,,6.67,412.0,3886.0,4298.0,,5.19,412.0,3774.0,4186.0
14,8.94,412.0,1704.0,2116.0,,5.52,412.0,1621.0,2033.0,,15.87,745.0,3968.0,4713.0,,9.21,346.0,3887.0,4233.0,,4.92,346.0,3775.0,4121.0
15,11.89,412.0,1704.0,2116.0,,418.19,412.0,1623.0,2035.0,,224.83,478.0,4034.0,4512.0,,220.02,2004.0,1874.0,3878.0,,4.84,346.0,3775.0,4121.0
16,9.45,412.0,1705.0,2117.0,,5.42,346.0,1622.0,1968.0,,1044.63,692.0,4034.0,4726.0,,2032.04,626.0,3951.0,4577.0,,5.1,412.0,3775.0,4187.0
17,8.94,412.0,1704.0,2116.0,,5.81,412.0,1622.0,2034.0,,16.23,412.0,3968.0,4380.0,,1217.58,552.0,3953.0,4505.0,,4.87,412.0,3774.0,4186.0
18,9.36,412.0,1703.0,2115.0,,210.3,976.0,1622.0,2598.0,,19.75,2259.0,1915.0,4174.0,,1268.79,626.0,3951.0,4577.0,,4.92,346.0,3774.0,4120.0
19,8.9,412.0,1704.0,2116.0,,1460.32,420.0,1623.0,2043.0,,2042.74,626.0,4035.0,4661.0,,6.74,412.0,3886.0,4298.0,,6.16,412.0,3774.0,4186.0
20,1437.26,560.0,1704.0,2264.0,,5.78,412.0,1622.0,2034.0,,24.92,2004.0,1915.0,3919.0,,3093.66,700.0,3953.0,4653.0,,1217.33,692.0,3840.0,4532.0
21,11.37,412.0,1705.0,2117.0,,5.64,412.0,1622.0,2034.0,,20.14,2004.0,1915.0,3919.0,,626.53,2004.0,1874.0,3878.0,,2724.78,486.0,3841.0,4327.0
22,8.85,346.0,1704.0,2050.0,,212.37,412.0,1622.0,2034.0,,17.25,667.0,3967.0,4634.0,,7.04,412.0,4528.0,4940.0,,5.05,412.0,3774.0,4186.0
23,8.84,346.0,1705.0,2051.0,,1046.87,626.0,1623.0,2249.0,,25.87,412.0,3968.0,4380.0,,218.97,2860.0,1874.0,4734.0,,4.87,412.0,3773.0,4185.0
24,9.12,346.0,1703.0,2049.0,,209.64,412.0,1622.0,2034.0,,16.25,667.0,3968.0,4635.0,,6.43,412.0,3886.0,4298.0,,1256.11,692.0,3840.0,4532.0
25,12.98,346.0,1705.0,2051.0,,2070.72,560.0,1622.0,2182.0,,1041.97,552.0,4034.0,4586.0,,6.47,412.0,3886.0,4298.0,,1060.51,626.0,3840.0,4466.0
26,218.18,412.0,1704.0,2116.0,,1650.85,412.0,1622.0,2034.0,,222.6,478.0,4034.0,4512.0,,6.47,412.0,3885.0,4297.0,,4799.61,552.0,3839.0,4391.0
27,12.35,346.0,1703.0,2049.0,,212.55,412.0,1622.0,2034.0,,15.72,412.0,3969.0,4381.0,,6.52,412.0,3886.0,4298.0,,4.87,412.0,3774.0,4186.0
28,13.17,412.0,1704.0,2116.0,,212.95,1967.0,698.0,2665.0,,15.51,412.0,3968.0,4380.0,,6.82,412.0,3885.0,4297.0,,213.0,478.0,3839.0,4317.0
29,9.11,412.0,1705.0,2117.0,,5.4,346.0,1623.0,1969.0,,19.27,2259.0,1915.0,4174.0,,8.36,412.0,3886.0,4298.0,,4.88,412.0,3775.0,4187.0
30,215.07,1005.0,1703.0,2708.0,,1062.58,626.0,1622.0,2248.0,,1017.29,626.0,4034.0,4660.0,,8.53,346.0,3886.0,4232.0,,5.09,412.0,3775.0,4187.0
31,1047.6,626.0,1704.0,2330.0,,7.22,412.0,1622.0,2034.0,,15.58,412.0,3968.0,4380.0,,6.51,412.0,3885.0,4297.0,,5.33,877.0,4095.0,4972.0
32,8.73,412.0,1704.0,2116.0,,5.7,412.0,1621.0,2033.0,,15.9,412.0,3968.0,4380.0,,6.73,412.0,3887.0,4299.0,,5.01,346.0,3774.0,4120.0
33,1261.11,626.0,1703.0,2329.0,,5.49,412.0,1622.0,2034.0,,16.22,412.0,3968.0,4380.0,,6.68,412.0,3885.0,4297.0,,213.68,2004.0,1818.0,3822.0
34,10.06,877.0,2025.0,2902.0,,5.73,412.0,1622.0,2034.0,,15.73,412.0,3968.0,4380.0,,7.01,412.0,3885.0,4297.0,,212.84,478.0,3840.0,4318.0
