Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
1,19.34,412.0,1885.0,2297.0,,36.91,2004.0,2335.0,4339.0,,13.99,2004.0,2202.0,4206.0
2,19.3,346.0,1885.0,2231.0,,27.63,1087.0,5013.0,6100.0,,9.22,412.0,4747.0,5159.0
3,222.5,2229.0,775.0,3004.0,,29.66,412.0,5011.0,5423.0,,1029.06,692.0,3299.0,3991.0
4,18.81,412.0,1885.0,2297.0,,1280.72,2078.0,2335.0,4413.0,,1014.07,692.0,3299.0,3991.0
5,19.09,412.0,1884.0,2296.0,,28.83,412.0,5013.0,5425.0,,1459.17,2004.0,2202.0,4206.0
6,2058.52,560.0,1884.0,2444.0,,29.96,412.0,5013.0,5425.0,,9.25,412.0,4747.0,5159.0
7,18.8,412.0,1884.0,2296.0,,29.32,412.0,5012.0,5424.0,,9.62,412.0,4746.0,5158.0
8,21.05,412.0,1884.0,2296.0,,29.22,1165.0,5012.0,6177.0,,9.76,346.0,4747.0,5093.0
9,18.79,346.0,1885.0,2231.0,,240.79,478.0,3565.0,4043.0,,9.59,412.0,4746.0,5158.0
10,432.54,412.0,1885.0,2297.0,,27.01,412.0,5012.0,5424.0,,5055.06,692.0,3297.0,3989.0
11,21.73,412.0,1884.0,2296.0,,27.47,412.0,5013.0,5425.0,,11.21,412.0,4747.0,5159.0
12,431.65,412.0,1885.0,2297.0,,31.11,2004.0,2335.0,4339.0,,13.98,3721.0,2202.0,5923.0
13,19.13,346.0,1885.0,2231.0,,27.31,1165.0,5011.0,6176.0,,17.56,2624.0,2202.0,4826.0
14,19.38,412.0,1885.0,2297.0,,27.45,412.0,5013.0,5425.0,,14.88,2624.0,2202.0,4826.0
15,19.25,346.0,1885.0,2231.0,,27.85,412.0,5012.0,5424.0,,13.04,1032.0,4745.0,5777.0
16,18.47,412.0,1885.0,2297.0,,27.88,412.0,5013.0,5425.0,,12.05,412.0,4747.0,5159.0
17,1446.23,560.0,1885.0,2445.0,,27.55,412.0,5011.0,5423.0,,10.33,412.0,4746.0,5158.0
18,221.7,412.0,1884.0,2296.0,,28.12,412.0,5012.0,5424.0,,10.95,412.0,4746.0,5158.0
19,18.55,412.0,1885.0,2297.0,,237.08,1231.0,3565.0,4796.0,,12.09,412.0,4746.0,5158.0
20,223.84,412.0,1885.0,2297.0,,31.1,2004.0,2335.0,4339.0,,11.96,412.0,4747.0,5159.0
21,18.47,412.0,1885.0,2297.0,,1031.56,692.0,3565.0,4257.0,,221.27,2004.0,2202.0,4206.0
22,18.05,412.0,1885.0,2297.0,,27.49,412.0,5013.0,5425.0,,11.23,1032.0,4747.0,5779.0
23,17.92,412.0,1885.0,2297.0,,26.66,412.0,5013.0,5425.0,,11.65,412.0,4746.0,5158.0
24,17.95,412.0,1885.0,2297.0,,26.94,412.0,5013.0,5425.0,,9.61,346.0,4746.0,5092.0
25,18.24,412.0,1883.0,2295.0,,1091.42,692.0,3564.0,4256.0,,9.84,412.0,4747.0,5159.0
26,228.7,412.0,1885.0,2297.0,,641.77,2679.0,2335.0,5014.0,,9.7,346.0,4746.0,5092.0
27,18.14,412.0,1885.0,2297.0,,28.34,412.0,5012.0,5424.0,,12.03,412.0,4747.0,5159.0
28,225.05,412.0,1884.0,2296.0,,28.32,412.0,5012.0,5424.0,,217.88,478.0,3298.0,3776.0
29,1055.5,420.0,1883.0,2303.0,,27.6,412.0,5013.0,5425.0,,12.66,412.0,4746.0,5158.0
30,24.76,412.0,1884.0,2296.0,,27.49,412.0,5013.0,5425.0,,2085.02,626.0,3297.0,3923.0
31,19.85,412.0,1885.0,2297.0,,1035.03,552.0,3564.0,4116.0,,8.9,412.0,4747.0,5159.0
32,227.56,2229.0,775.0,3004.0,,1281.05,2078.0,2335.0,4413.0,,221.69,478.0,3299.0,3777.0
33,21.18,412.0,1885.0,2297.0,,26.65,1165.0,5013.0,6178.0,,1016.44,552.0,3298.0,3850.0
34,24.44,412.0,1885.0,2297.0,,26.99,1165.0,5013.0,6178.0,,9.15,412.0,4746.0,5158.0
35,19.14,412.0,1884.0,2296.0,,31.23,2004.0,2335.0,4339.0,,8.98,412.0,4747.0,5159.0
36,438.33,412.0,1884.0,2296.0,,27.1,412.0,5012.0,5424.0,,9.02,412.0,4745.0,5157.0
37,19.35,412.0,1884.0,2296.0,,642.62,478.0,3565.0,4043.0,,12.97,2004.0,2202.0,4206.0
