Protocol,Level,KEM,Slope_per_pct_loss
QUIC,1,P-256,17.804968145995684
QUIC,1,mlkem512,14.088163606652987
QUIC,1,p256_mlkem512,10.889541955197728
QUIC,1,x25519,15.734575280612527
QUIC,1,x25519_mlkem512,14.856402564102565
QUIC,3,P-384,25.17224931868506
QUIC,3,mlkem768,8.806565367185367
QUIC,3,p384_mlkem768,13.273069189772967
QUIC,3,x448,12.473470575314687
QUIC,3,x448_mlkem768,9.509380028410582
QUIC,5,P-521,21.330391354314003
QUIC,5,mlkem1024,8.920056379243075
QUIC,5,p521_mlkem1024,12.258561140401632
TLS,1,P-256,14.293798176706822
TLS,1,mlkem512,17.736591999999998
TLS,1,p256_mlkem512,20.529976
TLS,1,x25519,17.456617999999995
TLS,1,x25519_mlkem512,16.09633906237425
TLS,3,P-384,15.189481999999996
TLS,3,mlkem768,16.318032000000002
TLS,3,p384_mlkem768,22.078409999999998
TLS,3,x448,16.643899477911642
TLS,3,x448_mlkem768,15.947820000000002
TLS,5,P-521,16.372596
TLS,5,mlkem1024,12.042371999999997
TLS,5,p521_mlkem1024,17.658971999999995
