Handshake_ID,P-256_Time_ms,P-256_Bytes_TCP,P-256_Bytes_TLS,P-256_Bytes_Total,4,x25519_Time_ms,x25519_Bytes_TCP,x25519_Bytes_TLS,x25519_Bytes_Total,9,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_TCP,p256_mlkem512_Bytes_TLS,p256_mlkem512_Bytes_Total,14,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_TCP,x25519_mlkem512_Bytes_TLS,x25519_mlkem512_Bytes_Total,19,mlkem512_Time_ms,mlkem512_Bytes_TCP,mlkem512_Bytes_TLS,mlkem512_Bytes_Total
1,2.71,412.0,1476.0,1888.0,,2.46,412.0,1410.0,1822.0,,12.8,412.0,3036.0,3448.0,,3.61,412.0,2970.0,3382.0,,2.55,412.0,2906.0,3318.0
2,2.15,412.0,1476.0,1888.0,,1.95,412.0,1410.0,1822.0,,8.39,412.0,3036.0,3448.0,,3.13,412.0,2970.0,3382.0,,2.18,412.0,2906.0,3318.0
3,2.02,412.0,1476.0,1888.0,,2.43,412.0,1410.0,1822.0,,8.6,412.0,3036.0,3448.0,,2.32,412.0,2970.0,3382.0,,2.66,412.0,2906.0,3318.0
4,2.02,412.0,1476.0,1888.0,,1.85,412.0,1410.0,1822.0,,8.19,412.0,3036.0,3448.0,,2.47,412.0,2970.0,3382.0,,2.62,412.0,2906.0,3318.0
5,3.21,412.0,1476.0,1888.0,,2.03,412.0,1410.0,1822.0,,10.8,412.0,3036.0,3448.0,,2.48,412.0,2970.0,3382.0,,2.09,412.0,2906.0,3318.0
6,2.05,412.0,1476.0,1888.0,,2.61,412.0,1410.0,1822.0,,11.21,412.0,3036.0,3448.0,,2.74,412.0,2970.0,3382.0,,2.22,412.0,2906.0,3318.0
7,1.99,412.0,1476.0,1888.0,,2.37,412.0,1410.0,1822.0,,8.94,412.0,3036.0,3448.0,,2.61,412.0,2970.0,3382.0,,2.13,412.0,2906.0,3318.0
8,2.78,412.0,1476.0,1888.0,,2.45,412.0,1410.0,1822.0,,7.79,412.0,3036.0,3448.0,,2.65,412.0,2970.0,3382.0,,2.61,412.0,2906.0,3318.0
9,2.0,412.0,1476.0,1888.0,,1.85,412.0,1410.0,1822.0,,8.34,412.0,3036.0,3448.0,,2.91,412.0,2970.0,3382.0,,2.19,412.0,2906.0,3318.0
10,2.1,412.0,1476.0,1888.0,,2.52,412.0,1410.0,1822.0,,8.26,412.0,3036.0,3448.0,,3.4,412.0,2970.0,3382.0,,2.04,412.0,2906.0,3318.0
11,1.94,412.0,1476.0,1888.0,,1.84,412.0,1410.0,1822.0,,8.01,412.0,3036.0,3448.0,,2.47,412.0,2970.0,3382.0,,2.1,412.0,2906.0,3318.0
