Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
1,9.49,412.0,1703.0,2115.0,,7.68,412.0,1622.0,2034.0,,21.35,412.0,3967.0,4379.0,,7.18,412.0,3886.0,4298.0,,5.46,412.0,3773.0,4185.0
2,10.24,412.0,1702.0,2114.0,,6.77,412.0,1621.0,2033.0,,20.36,412.0,3967.0,4379.0,,6.63,412.0,3884.0,4296.0,,5.02,412.0,3773.0,4185.0
3,12.4,412.0,1703.0,2115.0,,6.11,412.0,1622.0,2034.0,,20.71,412.0,3967.0,4379.0,,6.38,412.0,3885.0,4297.0,,5.0,412.0,3774.0,4186.0
4,12.15,412.0,1702.0,2114.0,,6.12,412.0,1620.0,2032.0,,17.23,412.0,3967.0,4379.0,,6.31,412.0,3886.0,4298.0,,4.86,412.0,3773.0,4185.0
5,9.16,412.0,1703.0,2115.0,,6.23,412.0,1621.0,2033.0,,16.68,412.0,3968.0,4380.0,,6.69,412.0,3884.0,4296.0,,4.9,412.0,3773.0,4185.0
6,9.03,412.0,1702.0,2114.0,,6.01,412.0,1622.0,2034.0,,16.61,412.0,3968.0,4380.0,,8.84,412.0,3886.0,4298.0,,5.21,412.0,3773.0,4185.0
7,9.77,412.0,1704.0,2116.0,,5.93,412.0,1620.0,2032.0,,18.39,412.0,3968.0,4380.0,,6.38,412.0,3885.0,4297.0,,4.87,412.0,3772.0,4184.0
8,9.96,412.0,1702.0,2114.0,,5.59,412.0,1621.0,2033.0,,17.27,412.0,3967.0,4379.0,,6.53,412.0,3885.0,4297.0,,4.89,412.0,3772.0,4184.0
9,8.75,412.0,1703.0,2115.0,,5.64,412.0,1621.0,2033.0,,16.96,412.0,4609.0,5021.0,,6.35,412.0,3885.0,4297.0,,4.83,412.0,3773.0,4185.0
10,9.36,412.0,1702.0,2114.0,,5.48,412.0,1622.0,2034.0,,18.14,412.0,3967.0,4379.0,,6.33,412.0,3884.0,4296.0,,7.03,412.0,3773.0,4185.0
11,8.77,412.0,1703.0,2115.0,,5.57,412.0,1620.0,2032.0,,20.29,412.0,3967.0,4379.0,,8.9,412.0,3884.0,4296.0,,4.8,412.0,3772.0,4184.0
