Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
1,7.52,3963.0,,20.91,6735.0,,7.53,6600.0
2,6.76,3963.0,,15.13,6733.0,,6.51,6602.0
3,7.37,3963.0,,15.06,6735.0,,6.28,6602.0
4,9.24,3963.0,,14.64,6734.0,,4.76,6601.0
5,10.64,3963.0,,21.5,6734.0,,4.75,6602.0
6,6.57,3963.0,,14.76,6735.0,,4.47,6601.0
7,6.82,3963.0,,15.02,6735.0,,4.61,6601.0
8,7.21,3963.0,,17.37,6734.0,,4.21,6601.0
9,7.78,3963.0,,15.82,6735.0,,4.48,6601.0
10,6.45,3963.0,,21.31,6735.0,,4.61,6602.0
11,6.17,3963.0,,17.67,6735.0,,6.26,6602.0
12,6.25,3963.0,,15.13,6735.0,,4.74,6602.0
13,6.32,3963.0,,20.99,6735.0,,4.54,6601.0
14,6.86,3963.0,,16.83,6734.0,,6.16,6602.0
15,6.91,3963.0,,14.19,6734.0,,5.17,6601.0
16,8.1,3963.0,,1060.51,31348.0,,5.31,6600.0
17,7.33,11889.0,,20.84,6734.0,,4.98,6601.0
18,1007.08,7749.0,,20.25,16539.0,,4.53,6601.0
19,1006.2,5225.0,,1040.92,6735.0,,5.3,6602.0
20,7002.53,3963.0,,14.41,12208.0,,4.34,6602.0
21,1006.07,3963.0,,15.07,6735.0,,1031.86,23976.0
22,8.17,9011.0,,14.68,22009.0,,4.53,16118.0
23,6.37,21254.0,,17.85,19948.0,,1031.4,6602.0
24,6.35,3963.0,,1040.45,6733.0,,4.11,28565.0
25,3004.75,13151.0,,14.8,6735.0,,1031.75,6602.0
26,1006.04,3963.0,,14.73,21337.0,,6.06,16119.0
27,7.95,3963.0,,3016.16,6735.0,,1030.7,25291.0
28,6.62,9365.0,,14.86,6735.0,,1175.7,11942.0
29,6.42,3963.0,,17.3,36733.0,,4.33,6600.0
30,10.07,3963.0,,1028.47,6735.0,,5.54,36700.0
31,9.14,3963.0,,14.73,19276.0,,5.67,6602.0
32,6.31,3963.0,,15.37,18723.0,,4.19,24200.0
33,1009.27,3963.0,,14.82,14286.0,,1031.59,21543.0
34,1007.36,6664.0,,1117.75,11065.0,,1087.95,6601.0
35,6.09,11535.0,,20.99,6734.0,,1196.97,31740.0
36,7.48,7749.0,,7010.46,6735.0,,6.0,6600.0
37,5.98,6664.0,,1037.87,6735.0,,1072.03,16947.0
38,6.29,18376.0,,3016.07,6735.0,,6.26,6602.0
39,6.35,3963.0,,1038.39,6734.0,,1014.54,6602.0
40,7.03,14059.0,,14.54,6734.0,,6.2,11941.0
41,6.52,3963.0,,14.6,6733.0,,1100.62,48792.0
42,7.54,10627.0,,19.96,6734.0,,1843.95,6602.0
43,6.39,7926.0,,14.68,11065.0,,6.17,11941.0
44,7.12,5225.0,,15.03,6735.0,,4.26,11066.0
45,6.2,7749.0,,21.5,6734.0,,1005.9,6602.0
46,7.25,3963.0,,14.85,21213.0,,4.2,29248.0
47,3004.54,5225.0,,14.48,6735.0,,4.47,6601.0
48,5064.45,3963.0,,1039.35,6732.0,,5.83,31672.0
49,6.34,20723.0,,14.46,14176.0,,4.41,11941.0
50,6.51,3963.0,,20.56,6734.0,,4.83,6601.0
51,7001.92,23424.0,,1043.41,6735.0,,4.35,15305.0
52,3004.55,3963.0,,1204.92,35093.0,,5.57,6602.0
53,6.39,3963.0,,14.39,11065.0,,3208.06,11409.0
54,9.75,3963.0,,14.24,6734.0,,4.85,6602.0
55,6.71,5225.0,,7013.25,17466.0,,4.61,6602.0
56,9.11,3963.0,,22.26,46882.0,,4.41,16405.0
57,8.93,7926.0,,15.13,12207.0,,6.45,6602.0
58,6.73,6664.0,,3120.35,36697.0,,1032.0,30388.0
59,1006.24,13151.0,,1038.91,30894.0,,4.87,11942.0
60,6.42,3963.0,,14.53,17679.0,,1218.79,6602.0
61,6.14,19638.0,,1017.88,23151.0,,5.95,11940.0
62,1007.26,6664.0,,1095.88,52439.0,,4.42,6600.0
63,1008.35,5225.0,,1120.49,6735.0,,1034.22,59077.0
64,7004.02,7749.0,,18.21,29673.0,,5.03,6602.0
65,6.34,18376.0,,15.29,24747.0,,5.59,6602.0
66,1006.47,3963.0,,21.84,6734.0,,4.27,6600.0
67,8.89,3963.0,,1082.02,19275.0,,4.78,6601.0
68,6.32,3963.0,,7008.74,61944.0,,7000.27,22089.0
69,9.33,5225.0,,3019.41,40563.0,,6.01,14048.0
70,6.32,6664.0,,14.47,6735.0,,1087.25,11065.0
71,6.12,3963.0,,19.73,109854.0,,5.15,32905.0
72,6.29,6487.0,,14.85,20908.0,,4.96,29539.0
73,7002.66,5225.0,,17.52,6734.0,,4.54,6602.0
74,7.06,7749.0,,19.9,6735.0,,1031.86,16748.0
75,1008.57,3963.0,,14.41,15435.0,,4.52,47849.0
76,6.25,3963.0,,14.98,29587.0,,1995.22,51349.0
77,6.13,3963.0,,15.28,59416.0,,4.39,11941.0
78,9.44,10450.0,,17.47,6735.0,,5.79,17281.0
79,1006.34,9011.0,,1038.79,47707.0,,4.28,30097.0
80,8.37,3963.0,,2099.84,6735.0,,4.36,6601.0
81,1006.27,12799.0,,14.57,6734.0,,4.34,26551.0
82,6.24,6664.0,,14.32,67461.0,,6.02,22513.0
83,8.03,5225.0,,14.61,6733.0,,1075.01,11942.0
84,6.12,16760.0,,1086.94,19989.0,,1031.67,6601.0
85,1006.34,9188.0,,19.64,21505.0,,3005.0,6602.0
86,1005.75,3963.0,,14.4,6735.0,,5.73,6601.0
87,6.52,5225.0,,7009.64,6734.0,,4.34,6602.0
88,6.21,11535.0,,15.13,6735.0,,6.58,6602.0
89,7000.65,11712.0,,7013.52,17466.0,,6.32,16203.0
90,8.15,3963.0,,14.4,11064.0,,1199.59,48984.0
91,1007.29,3963.0,,1066.35,6734.0,,4.34,53553.0
92,3004.85,12797.0,,3015.76,6734.0,,4.8,21337.0
93,8.98,3963.0,,3074.24,6735.0,,7001.05,24321.0
94,6.31,3963.0,,17.27,6734.0,,1031.96,6602.0
95,1006.21,7926.0,,1107.24,6733.0,,1374.98,6601.0
96,7002.46,3963.0,,3609.1,6734.0,,1087.12,29638.0
97,7005.36,21077.0,,1083.24,22471.0,,4.3,32520.0
98,3006.56,7749.0,,14.56,6735.0,,5.08,6602.0
99,9.36,5225.0,,3013.31,6734.0,,1085.77,6601.0
100,6.3,3963.0,,14.83,6734.0,,5.51,127152.0
101,7.18,20546.0,,14.56,17465.0,,1031.79,72507.0
102,6.66,6664.0,,14.29,6734.0,,3031.83,6601.0
103,6.69,3963.0,,3016.9,21335.0,,1019.49,15301.0
104,1006.94,3963.0,,1097.86,6735.0,,3087.36,14049.0
105,6.49,9011.0,,14.85,6735.0,,1009.18,27434.0
106,6.33,12974.0,,15.2,30893.0,,4.33,6602.0
107,6.14,10273.0,,24.34,6735.0,,4.18,6601.0
108,3007.25,19638.0,,7010.19,35473.0,,6.49,6602.0
109,1006.67,3963.0,,1034.11,29673.0,,4.22,29247.0
110,7002.97,6664.0,,21.89,6733.0,,5.37,21590.0
111,6.32,11712.0,,17.35,6734.0,,1010.23,6602.0
112,6.21,3963.0,,1870.32,6734.0,,3031.49,6601.0
113,6.25,3963.0,,18.45,6735.0,,4.19,21459.0
114,6.32,7926.0,,15.37,46625.0,,1031.94,17281.0
115,7002.29,3963.0,,1030.09,6735.0,,4.26,6602.0
116,6.41,3963.0,,1045.12,6734.0,,1420.62,11942.0
117,7.96,3963.0,,23.5,6735.0,,1016.45,6602.0
118,3086.23,9188.0,,14.71,6734.0,,4.37,26836.0
119,6.28,3963.0,,1073.98,6734.0,,5.73,17465.0
120,6.2,11535.0,,14.71,62282.0,,4.72,6601.0
121,1007.46,7749.0,,1031.9,19948.0,,4.61,26411.0
122,10.66,3963.0,,1090.93,6735.0,,4.29,6602.0
123,7003.49,3963.0,,14.3,41064.0,,4.31,6602.0
124,3005.08,9188.0,,14.27,52598.0,,4.38,11065.0
125,8.51,3963.0,,20.8,12207.0,,1011.67,11066.0
126,6.34,3963.0,,1025.11,6734.0,,4.62,16406.0
127,1007.72,5225.0,,1039.01,6735.0,,4.25,16203.0
128,3005.04,3963.0,,14.61,50661.0,,4.6,16203.0
129,1008.29,3963.0,,16.53,6734.0,,4.52,6602.0
130,3004.13,3963.0,,26.1,46039.0,,4.7,29297.0
131,9.35,12974.0,,18.51,6735.0,,4.99,26078.0
132,7.35,3963.0,,14.54,17465.0,,1004.83,44186.0
133,7000.23,7926.0,,16.26,6735.0,,5.64,21746.0
134,6.3,3963.0,,3033.7,45660.0,,5.12,6602.0
135,10.22,3963.0,,14.44,18638.0,,4.7,6601.0
136,1006.5,3963.0,,14.31,29999.0,,1075.53,21911.0
137,6.17,3963.0,,21.63,12207.0,,1014.93,6601.0
138,6.13,6664.0,,1021.21,6735.0,,4.92,11941.0
139,8.55,5225.0,,18.29,12207.0,,1085.64,6602.0
140,1006.16,5225.0,,1034.79,35049.0,,6.37,13893.0
141,3006.87,12066.0,,16.41,11409.0,,4.22,11066.0
142,1005.58,6487.0,,20.57,22472.0,,4.25,6601.0
143,1006.62,3963.0,,3015.75,6735.0,,1086.76,11409.0
144,7006.08,14590.0,,14.38,6734.0,,3002.61,73827.0
145,1008.03,9365.0,,14.74,6734.0,,1418.21,6602.0
146,6.26,7749.0,,20.82,17466.0,,5.43,19990.0
147,1006.25,3963.0,,1564.46,12206.0,,5.89,27047.0
148,3005.06,5225.0,,15.24,17466.0,,1020.66,6601.0
149,6.1,7749.0,,1085.83,6734.0,,4567.86,18981.0
150,6.25,6487.0,,15.07,22938.0,,1032.35,21542.0
151,6.11,5225.0,,21.94,6734.0,,3012.05,6601.0
152,6.05,3963.0,,14.83,6735.0,,4.12,6602.0
153,7005.97,7926.0,,14.67,6734.0,,1010.7,21556.0
154,6.16,3963.0,,14.85,30085.0,,1386.0,36314.0
155,1007.08,3963.0,,1045.53,6735.0,,4.27,6602.0
156,1005.75,3963.0,,1083.19,11409.0,,3031.45,20641.0
157,1006.86,3963.0,,14.47,6734.0,,1032.15,6600.0
158,3005.83,3963.0,,20.84,20907.0,,1085.92,27269.0
159,8.99,6487.0,,14.36,6735.0,,5.53,16203.0
160,3008.09,3963.0,,14.32,22854.0,,4.4,24068.0
161,6.36,3963.0,,19.32,6734.0,,3002.3,6601.0
162,7.52,9188.0,,14.21,107732.0,,6999.97,6601.0
163,8.23,15675.0,,1322.94,11065.0,,3206.9,6602.0
164,6.5,20723.0,,1021.18,36900.0,,4.41,11065.0
165,7.02,3963.0,,3016.67,6734.0,,4.3,51508.0
166,6.81,6664.0,,14.96,6734.0,,4.31,6601.0
167,8.21,11712.0,,1041.24,6735.0,,1116.63,29409.0
168,1008.12,3963.0,,4767.28,11065.0,,1036.07,6602.0
169,8.06,3963.0,,1043.24,6735.0,,4.18,6601.0
170,9.22,6664.0,,1020.31,24110.0,,4.15,11942.0
171,7.5,5225.0,,14.41,26343.0,,4.95,6601.0
172,8.93,10450.0,,14.56,12206.0,,1032.9,6601.0
173,11.19,6487.0,,14.5,6735.0,,4.72,6601.0
174,3005.51,17114.0,,17.12,12208.0,,7.54,6601.0
175,10.96,11535.0,,17.2,6734.0,,4.91,27083.0
176,1008.8,3963.0,,15.7,41906.0,,6.68,14049.0
177,7002.53,11535.0,,3087.24,6735.0,,4.91,11409.0
178,6.31,11712.0,,14.74,25462.0,,5.74,11941.0
179,8.02,3963.0,,14.35,11065.0,,4.52,27910.0
180,3004.57,5225.0,,1038.25,6735.0,,6999.7,6601.0
181,8.08,3963.0,,16.7,23696.0,,7000.68,6602.0
182,6.18,10627.0,,1197.54,6733.0,,1010.53,6601.0
183,6.18,11712.0,,18.01,6734.0,,6.29,6601.0
184,1006.3,3963.0,,1017.49,6735.0,,2019.12,13893.0
