Handshake_ID,P-256_Time_ms,P-256_Bytes_TCP,P-256_Bytes_TLS,P-256_Bytes_Total,4,x25519_Time_ms,x25519_Bytes_TCP,x25519_Bytes_TLS,x25519_Bytes_Total,9,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_TCP,p256_mlkem512_Bytes_TLS,p256_mlkem512_Bytes_Total,14,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_TCP,x25519_mlkem512_Bytes_TLS,x25519_mlkem512_Bytes_Total,19,mlkem512_Time_ms,mlkem512_Bytes_TCP,mlkem512_Bytes_TLS,mlkem512_Bytes_Total
1,2.2,412.0,1476.0,1888.0,,2.11,412.0,1410.0,1822.0,,10.88,412.0,3036.0,3448.0,,3.4,412.0,2970.0,3382.0,,2.6,412.0,2906.0,3318.0
2,1.74,412.0,1476.0,1888.0,,2.57,412.0,1410.0,1822.0,,7.99,412.0,3036.0,3448.0,,2.71,412.0,2970.0,3382.0,,2.09,412.0,2906.0,3318.0
3,1.68,412.0,1476.0,1888.0,,1.86,412.0,1410.0,1822.0,,8.01,412.0,3036.0,3448.0,,3.14,412.0,2970.0,3382.0,,2.17,412.0,2906.0,3318.0
4,1.93,412.0,1476.0,1888.0,,1.79,412.0,1410.0,1822.0,,7.96,412.0,3036.0,3448.0,,2.99,412.0,2970.0,3382.0,,2.11,412.0,2906.0,3318.0
5,1.81,412.0,1476.0,1888.0,,2.06,412.0,1410.0,1822.0,,7.85,412.0,3036.0,3448.0,,2.67,412.0,2970.0,3382.0,,2.18,412.0,2906.0,3318.0
6,1.68,412.0,1476.0,1888.0,,1.83,412.0,1410.0,1822.0,,7.7,412.0,3036.0,3448.0,,2.61,412.0,2970.0,3382.0,,2.07,412.0,2906.0,3318.0
7,1.8,412.0,1476.0,1888.0,,1.97,412.0,1410.0,1822.0,,7.98,412.0,3036.0,3448.0,,2.34,412.0,2970.0,3382.0,,2.09,412.0,2906.0,3318.0
8,1.9,412.0,1476.0,1888.0,,2.43,412.0,1410.0,1822.0,,8.26,412.0,3036.0,3448.0,,2.73,412.0,2970.0,3382.0,,1.96,412.0,2906.0,3318.0
9,1.92,412.0,1476.0,1888.0,,1.94,412.0,1410.0,1822.0,,7.64,412.0,3036.0,3448.0,,2.48,412.0,2970.0,3382.0,,1.9,412.0,2906.0,3318.0
10,1.87,412.0,1476.0,1888.0,,2.07,412.0,1410.0,1822.0,,7.96,412.0,3036.0,3448.0,,2.49,412.0,2970.0,3382.0,,2.07,412.0,2906.0,3318.0
