Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
1,20.19,412.0,1883.0,2295.0,,30.79,412.0,5012.0,5424.0,,9.81,412.0,4744.0,5156.0
2,18.99,412.0,1884.0,2296.0,,27.22,412.0,5011.0,5423.0,,8.95,412.0,4745.0,5157.0
3,24.78,412.0,1882.0,2294.0,,26.55,412.0,5011.0,5423.0,,9.29,412.0,4746.0,5158.0
4,19.56,412.0,1883.0,2295.0,,26.8,412.0,5012.0,5424.0,,8.98,412.0,4746.0,5158.0
5,21.78,412.0,1883.0,2295.0,,27.04,412.0,5011.0,5423.0,,9.13,412.0,4745.0,5157.0
6,22.03,412.0,1883.0,2295.0,,26.64,412.0,5012.0,5424.0,,9.93,412.0,4745.0,5157.0
7,19.69,412.0,1883.0,2295.0,,26.94,412.0,5011.0,5423.0,,11.69,412.0,4745.0,5157.0
8,19.66,412.0,1884.0,2296.0,,32.67,412.0,5012.0,5424.0,,14.05,412.0,4746.0,5158.0
9,20.05,412.0,1883.0,2295.0,,29.14,412.0,5012.0,5424.0,,11.67,412.0,4746.0,5158.0
10,20.22,412.0,1884.0,2296.0,,27.79,412.0,5012.0,5424.0,,10.89,412.0,4746.0,5158.0
11,19.03,412.0,1883.0,2295.0,,27.38,412.0,5012.0,5424.0,,8.94,412.0,4746.0,5158.0
12,22.55,412.0,1884.0,2296.0,,27.59,412.0,5012.0,5424.0,,8.96,412.0,4746.0,5158.0
13,24.42,412.0,1882.0,2294.0,,27.92,412.0,5012.0,5424.0,,9.28,412.0,4745.0,5157.0
14,18.24,412.0,1884.0,2296.0,,27.58,412.0,5012.0,5424.0,,10.63,412.0,4746.0,5158.0
15,28.32,412.0,1884.0,2296.0,,27.41,412.0,5011.0,5423.0,,8.9,412.0,4746.0,5158.0
16,18.65,412.0,1883.0,2295.0,,27.2,412.0,5011.0,5423.0,,8.88,412.0,4746.0,5158.0
17,22.84,412.0,1883.0,2295.0,,26.82,412.0,5012.0,5424.0,,8.72,412.0,4746.0,5158.0
18,21.74,412.0,1884.0,2296.0,,33.45,412.0,5012.0,5424.0,,9.1,412.0,4745.0,5157.0
19,18.53,412.0,1883.0,2295.0,,27.82,412.0,5012.0,5424.0,,9.09,412.0,4746.0,5158.0
20,19.52,412.0,1884.0,2296.0,,30.75,412.0,5011.0,5423.0,,9.82,412.0,4744.0,5156.0
21,19.17,412.0,1884.0,2296.0,,28.05,412.0,5010.0,5422.0,,10.77,412.0,4746.0,5158.0
22,18.93,412.0,1882.0,2294.0,,27.91,1165.0,5012.0,6177.0,,9.49,412.0,4746.0,5158.0
23,18.94,412.0,1884.0,2296.0,,27.43,1165.0,5011.0,6176.0,,9.02,412.0,4745.0,5157.0
24,19.41,412.0,1884.0,2296.0,,1075.66,552.0,5078.0,5630.0,,10.06,412.0,4745.0,5157.0
25,18.31,412.0,1884.0,2296.0,,31.74,2004.0,3564.0,5568.0,,9.27,412.0,4746.0,5158.0
26,20.77,412.0,1883.0,2295.0,,27.73,412.0,5012.0,5424.0,,8.97,412.0,4745.0,5157.0
27,19.97,412.0,1884.0,2296.0,,27.66,412.0,5011.0,5423.0,,11.39,412.0,4746.0,5158.0
28,18.53,412.0,1884.0,2296.0,,31.25,2004.0,3563.0,5567.0,,10.54,412.0,4745.0,5157.0
29,20.27,412.0,1884.0,2296.0,,26.76,412.0,5012.0,5424.0,,10.71,412.0,4745.0,5157.0
30,18.65,412.0,1884.0,2296.0,,27.01,412.0,5012.0,5424.0,,11.56,412.0,4745.0,5157.0
31,19.06,412.0,1883.0,2295.0,,30.52,1165.0,5012.0,6177.0,,10.27,412.0,4745.0,5157.0
32,19.51,412.0,1883.0,2295.0,,28.67,412.0,5012.0,5424.0,,10.07,412.0,4746.0,5158.0
33,20.46,412.0,1882.0,2294.0,,28.66,877.0,5333.0,6210.0,,9.09,412.0,4746.0,5158.0
34,22.82,412.0,1884.0,2296.0,,28.8,412.0,5011.0,5423.0,,8.87,412.0,4746.0,5158.0
35,23.78,412.0,1883.0,2295.0,,30.36,412.0,5012.0,5424.0,,8.96,412.0,4745.0,5157.0
36,32.02,412.0,1883.0,2295.0,,28.03,412.0,5012.0,5424.0,,8.94,412.0,4744.0,5156.0
37,23.23,412.0,1883.0,2295.0,,33.8,2004.0,3564.0,5568.0,,8.94,412.0,4746.0,5158.0
38,25.3,346.0,1883.0,2229.0,,27.78,412.0,5012.0,5424.0,,1062.43,692.0,4812.0,5504.0
39,20.09,412.0,1884.0,2296.0,,27.51,412.0,5012.0,5424.0,,13.0,2004.0,3298.0,5302.0
40,19.6,412.0,1883.0,2295.0,,28.75,412.0,5012.0,5424.0,,12.59,2004.0,3297.0,5301.0
41,1079.86,626.0,1884.0,2510.0,,28.78,412.0,5012.0,5424.0,,9.17,412.0,4745.0,5157.0
42,18.95,412.0,1884.0,2296.0,,31.63,2004.0,3563.0,5567.0,,8.94,412.0,4745.0,5157.0
43,19.01,412.0,1884.0,2296.0,,35.29,2004.0,3563.0,5567.0,,11.51,412.0,4745.0,5157.0
44,23.11,412.0,1884.0,2296.0,,31.63,412.0,5011.0,5423.0,,1029.53,552.0,4812.0,5364.0
45,19.3,412.0,1883.0,2295.0,,38.87,412.0,5012.0,5424.0,,8.99,412.0,4745.0,5157.0
46,20.77,412.0,1884.0,2296.0,,26.87,412.0,5011.0,5423.0,,9.17,412.0,4745.0,5157.0
47,19.94,412.0,1883.0,2295.0,,26.75,412.0,5012.0,5424.0,,9.19,412.0,4746.0,5158.0
48,19.29,412.0,1882.0,2294.0,,28.24,412.0,5010.0,5422.0,,13.36,2004.0,3298.0,5302.0
49,222.31,412.0,1882.0,2294.0,,4624.7,692.0,5078.0,5770.0,,8.82,412.0,4745.0,5157.0
50,18.36,412.0,1884.0,2296.0,,240.78,478.0,5078.0,5556.0,,8.93,412.0,4744.0,5156.0
51,24.64,412.0,1882.0,2294.0,,31.23,412.0,5010.0,5422.0,,8.81,412.0,4745.0,5157.0
52,20.18,412.0,1884.0,2296.0,,31.67,412.0,5012.0,5424.0,,8.65,412.0,4746.0,5158.0
53,222.34,412.0,1883.0,2295.0,,31.62,412.0,5653.0,6065.0,,9.03,412.0,4745.0,5157.0
54,221.99,412.0,1884.0,2296.0,,33.86,412.0,5012.0,5424.0,,9.16,412.0,4746.0,5158.0
55,18.55,412.0,1884.0,2296.0,,1092.02,552.0,5078.0,5630.0,,13.28,2004.0,3298.0,5302.0
56,23.91,412.0,1883.0,2295.0,,28.32,412.0,5011.0,5423.0,,9.01,412.0,4746.0,5158.0
57,27.02,412.0,1884.0,2296.0,,28.06,412.0,5012.0,5424.0,,9.55,412.0,4745.0,5157.0
58,18.45,412.0,1884.0,2296.0,,28.56,412.0,5012.0,5424.0,,13.03,2004.0,3298.0,5302.0
59,18.79,346.0,1882.0,2228.0,,27.68,412.0,5012.0,5424.0,,9.42,412.0,4746.0,5158.0
60,18.77,412.0,1883.0,2295.0,,31.75,2004.0,3564.0,5568.0,,9.94,412.0,4746.0,5158.0
61,18.65,346.0,1884.0,2230.0,,26.42,412.0,5012.0,5424.0,,11.18,412.0,4746.0,5158.0
62,18.64,412.0,1883.0,2295.0,,27.88,412.0,5011.0,5423.0,,9.41,346.0,4746.0,5092.0
63,18.91,412.0,1884.0,2296.0,,27.08,412.0,5012.0,5424.0,,9.68,412.0,4745.0,5157.0
64,221.65,412.0,1883.0,2295.0,,27.73,412.0,5012.0,5424.0,,1065.17,692.0,4812.0,5504.0
65,20.82,412.0,1883.0,2295.0,,26.99,412.0,5011.0,5423.0,,12.21,2004.0,3298.0,5302.0
66,18.79,412.0,1883.0,2295.0,,28.39,412.0,5011.0,5423.0,,10.06,412.0,4746.0,5158.0
