Handshake_ID,P-384_Time_ms,P-384_Bytes_Total,2,x448_Time_ms,x448_Bytes_Total,5,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,8,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,11,mlkem768_Time_ms,mlkem768_Bytes_Total
1,7.78,3963.0,,5.33,3963.0,,20.02,6403.0,,10.34,6403.0,,5.76,5950.0
2,6.47,3963.0,,4.31,3963.0,,15.07,6403.0,,7.25,6403.0,,4.32,5950.0
3,6.52,3963.0,,6.97,3963.0,,20.82,6403.0,,7.63,6403.0,,4.08,5949.0
4,9.28,3963.0,,4.82,3963.0,,18.86,6403.0,,7.12,6403.0,,4.31,5949.0
5,6.64,3963.0,,4.58,3963.0,,14.86,6403.0,,6.88,6403.0,,4.24,5949.0
6,6.84,3963.0,,4.74,3963.0,,16.16,6403.0,,7.38,6403.0,,4.29,5949.0
7,6.28,3963.0,,4.66,3963.0,,19.09,6403.0,,7.89,6403.0,,4.37,5950.0
8,8.82,3963.0,,4.74,3963.0,,19.16,6403.0,,7.14,6403.0,,4.37,5948.0
9,6.4,3963.0,,5.05,3963.0,,14.95,6403.0,,8.71,6403.0,,4.05,5950.0
10,6.47,3963.0,,7.89,3963.0,,15.15,6403.0,,7.01,6403.0,,4.08,5949.0
11,6.34,3963.0,,4.57,3963.0,,17.44,6403.0,,8.31,6403.0,,4.76,5950.0
12,6.51,3963.0,,4.8,3963.0,,15.92,6403.0,,7.13,6403.0,,4.78,5950.0
13,6.5,3963.0,,5.53,3963.0,,14.56,6403.0,,8.45,6403.0,,4.06,5951.0
14,7.34,3963.0,,4.91,3963.0,,18.89,11544.0,,7.27,6403.0,,5.89,5951.0
15,8.41,3963.0,,4.56,3963.0,,15.04,6403.0,,8.79,6403.0,,3.88,5951.0
16,6.33,3963.0,,4.83,3963.0,,15.5,6403.0,,7.08,6403.0,,4.36,5950.0
17,6.42,3963.0,,4.6,3963.0,,15.6,6403.0,,7.41,6403.0,,4.4,5949.0
18,6.32,3963.0,,5.84,3963.0,,15.23,6403.0,,7.36,6403.0,,4.78,5950.0
19,6.28,3963.0,,4.67,3963.0,,18.16,21649.0,,8.16,6403.0,,4.72,5950.0
20,6.27,6664.0,,4.97,3963.0,,15.08,11544.0,,7.18,6403.0,,4.09,5950.0
21,6.03,6664.0,,4.4,3963.0,,3017.0,6403.0,,7.36,6403.0,,4.27,5951.0
22,9.39,7926.0,,4.57,3963.0,,14.57,6403.0,,7.37,6403.0,,1005.58,9695.0
23,6.34,3963.0,,4.91,3963.0,,16.47,6403.0,,7.39,11544.0,,1004.56,8431.0
24,1006.12,3963.0,,4.54,6664.0,,17.67,6403.0,,8.6,16550.0,,4.6,5950.0
25,6.44,3963.0,,4.41,3963.0,,22.56,6403.0,,7.55,6403.0,,4.06,15324.0
26,6.55,3963.0,,4.66,9365.0,,19.64,11544.0,,1006.33,6403.0,,3.88,5951.0
27,8.41,3963.0,,4.84,3963.0,,14.72,35024.0,,7.1,6403.0,,4.55,5949.0
28,6.17,3963.0,,4.72,6664.0,,15.25,6403.0,,6.92,6403.0,,4.07,10639.0
29,6.15,3963.0,,4.68,3963.0,,14.93,6403.0,,7.11,6403.0,,3.99,19071.0
30,6.29,3963.0,,4.68,3963.0,,15.75,19879.0,,7.57,6403.0,,3.97,5949.0
31,6.55,3963.0,,4.68,6664.0,,15.23,6403.0,,7.44,21227.0,,4.3,5949.0
32,9.38,3963.0,,4.68,3963.0,,1069.15,6403.0,,10.84,6403.0,,3.91,5949.0
33,6.67,3963.0,,4.67,3963.0,,15.01,16685.0,,1023.84,11544.0,,4.92,5949.0
34,6.33,3963.0,,4.9,3963.0,,14.58,6403.0,,7.26,11544.0,,1003.7,8433.0
35,7.86,3963.0,,4.92,3963.0,,1026.73,11544.0,,6.96,6403.0,,4.26,5950.0
36,6.16,3963.0,,4.56,3963.0,,14.59,17356.0,,8.31,6403.0,,3.97,9693.0
37,6.1,10627.0,,4.44,3963.0,,14.96,11409.0,,7.25,21228.0,,3.91,5950.0
38,6.6,3963.0,,4.71,3963.0,,15.0,6403.0,,8.14,6403.0,,4.4,5950.0
39,6.36,7749.0,,4.45,3963.0,,14.91,6403.0,,7.32,6403.0,,1004.72,9693.0
40,1006.03,3963.0,,4.68,3963.0,,19.41,6403.0,,9.22,6403.0,,5.64,5950.0
41,6.74,6664.0,,4.54,5225.0,,14.98,6403.0,,1022.9,22497.0,,1003.81,5950.0
42,6.21,3963.0,,4.38,9188.0,,14.45,6403.0,,8.02,11544.0,,3.85,5950.0
43,5.98,7749.0,,4.71,3963.0,,14.85,17356.0,,8.41,6403.0,,4.76,14382.0
44,7001.88,3963.0,,4.66,3963.0,,1015.05,6403.0,,8.39,6403.0,,1004.33,14383.0
45,6.46,3963.0,,4.85,3963.0,,1097.44,6403.0,,1011.19,45348.0,,4.11,14382.0
46,6.42,3963.0,,1004.68,3963.0,,15.33,6403.0,,7.91,6403.0,,3.94,5949.0
47,7.18,12066.0,,3003.66,3963.0,,14.57,6403.0,,8.77,6403.0,,3.85,5951.0
48,6.46,6664.0,,4.8,3963.0,,22.16,17356.0,,8.03,16508.0,,1003.08,5949.0
49,7000.81,7926.0,,4.36,6664.0,,22.25,6403.0,,7.09,13891.0,,3.82,10640.0
50,6.08,13151.0,,4.91,3963.0,,15.8,6403.0,,7.03,6403.0,,3.8,5949.0
51,6.48,3963.0,,4.64,3963.0,,1015.24,17356.0,,7.66,6403.0,,1003.96,5949.0
52,6.39,3963.0,,4.43,3963.0,,14.74,6403.0,,8.28,6403.0,,1003.16,16004.0
53,7.29,7926.0,,4.32,6664.0,,14.73,22496.0,,1041.43,6403.0,,4.68,5950.0
54,6.89,3963.0,,5.96,5225.0,,14.98,11409.0,,7.17,6403.0,,3.83,10640.0
55,6.36,6664.0,,4.56,3963.0,,14.62,11367.0,,7.73,6403.0,,5.74,23756.0
56,6.63,5225.0,,4.61,3963.0,,1015.35,6403.0,,7.92,6403.0,,3.98,25697.0
57,7.8,3963.0,,5.01,6664.0,,14.81,6403.0,,3005.8,11544.0,,3.79,10956.0
58,6.03,5225.0,,4.43,3963.0,,17.7,6403.0,,3005.39,6403.0,,4.01,10957.0
59,1008.13,3963.0,,4.41,7926.0,,1015.35,6403.0,,7.09,6403.0,,3.79,5949.0
60,6.08,3963.0,,4.42,3963.0,,18.0,6403.0,,7.07,6403.0,,4.0,10640.0
61,5.97,5225.0,,4.57,6664.0,,1024.54,6403.0,,6.96,6403.0,,1011.44,8431.0
62,3005.41,3963.0,,1004.08,9365.0,,15.43,6403.0,,7.09,21234.0,,3.69,5950.0
63,1006.65,3963.0,,4.35,3963.0,,1043.45,26368.0,,6.96,6403.0,,4.63,5950.0
64,5.9,3963.0,,5.61,3963.0,,3013.97,6403.0,,7.28,6403.0,,3.98,5950.0
65,7.97,5225.0,,4.95,5225.0,,14.82,16685.0,,10.19,6403.0,,4.17,5950.0
66,6.38,3963.0,,4.54,6664.0,,14.49,6403.0,,7.46,6403.0,,3.88,10955.0
67,1006.17,3963.0,,4.54,3963.0,,15.31,6403.0,,7.09,6403.0,,1003.82,5950.0
