frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","d2:b9:05:e0:ce:f4","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.054102880","42","d2:b9:05:e0:ce:f4","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.054125276","42","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4",,,"ARP","172.20.0.2 is at fa:65:bb:1d:f9:55"
"4","0.054132055","2482","d2:b9:05:e0:ce:f4","fa:65:bb:1d:f9:55","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=74fe8afae860c235, PKN: 1, CRYPTO, PADDING"
"5","0.059752810","2482","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=8d1f9afc4c60f6750c"
"6","0.062812857","177","d2:b9:05:e0:ce:f4","fa:65:bb:1d:f9:55","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=8d1f9afc4c60f6750c"
"7","0.062937189","1262","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.104027420","2482","d2:b9:05:e0:ce:f4","fa:65:bb:1d:f9:55","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=049f0d2f452cf72a, PKN: 1, CRYPTO, PADDING"
"9","0.106521614","2482","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=f67bc8e7f2f1b9cbbd"
"10","0.109516424","177","d2:b9:05:e0:ce:f4","fa:65:bb:1d:f9:55","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=f67bc8e7f2f1b9cbbd"
"11","0.109638484","1262","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.153094027","2482","d2:b9:05:e0:ce:f4","fa:65:bb:1d:f9:55","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=e90169088ed0f7a1, PKN: 1, CRYPTO, PADDING"
"13","0.155647748","2482","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=8e553be3dae4c4ea6c"
"14","0.159307525","177","d2:b9:05:e0:ce:f4","fa:65:bb:1d:f9:55","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=8e553be3dae4c4ea6c"
"15","0.159455152","1262","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.194382872","2482","d2:b9:05:e0:ce:f4","fa:65:bb:1d:f9:55","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=52eb807e92817b12, PKN: 1, CRYPTO, PADDING"
"17","0.196880478","2482","fa:65:bb:1d:f9:55","d2:b9:05:e0:ce:f4","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=319a2513c745717032"
