frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","4e:ac:ec:7c:77:28","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.056322351","42","4e:ac:ec:7c:77:28","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.056350311","42","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28",,,"ARP","172.20.0.2 is at ae:d4:1b:dc:f6:33"
"4","0.056376405","1262","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=643e17e580bfd6f9, PKN: 0, CRYPTO, PADDING"
"5","0.058785580","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=63b1dd7df75d63300d"
"6","0.061089435","177","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=63b1dd7df75d63300d"
"7","0.061197028","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.094221141","1262","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=0d40d18cef112978, PKN: 0, CRYPTO, PADDING"
"9","0.095723908","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c355f90e5505ffb65f"
"10","0.097995017","177","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c355f90e5505ffb65f"
"11","0.098093191","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.137732213","1262","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=4d1c7aae0250cd18, PKN: 0, CRYPTO, PADDING"
"13","0.139623057","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=95c26ae6985d2f17df"
"14","0.143850055","177","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=95c26ae6985d2f17df"
"15","0.144077282","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.180074289","1262","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c15d42f0c742af45, PKN: 0, CRYPTO, PADDING"
"17","0.182055568","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=20331a503ede1de03f"
"18","0.184364869","177","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=20331a503ede1de03f"
"19","0.184480033","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.221330087","1262","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c233c013356f88af, PKN: 0, CRYPTO, PADDING"
"21","0.223106972","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=423128f72a05e24db0"
"22","0.225397784","177","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=423128f72a05e24db0"
"23","0.225498161","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.255311285","1262","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=88f9dafb3d69f329, PKN: 0, CRYPTO, PADDING"
"25","0.257142310","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=00359765b9e7ba8c6f"
"26","0.259509500","177","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=00359765b9e7ba8c6f"
"27","0.259661461","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.296984160","1262","4e:ac:ec:7c:77:28","ae:d4:1b:dc:f6:33","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=757ee56dcc356c2b, PKN: 0, CRYPTO, PADDING"
"29","0.298667824","1262","ae:d4:1b:dc:f6:33","4e:ac:ec:7c:77:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=15cd1b1f4226a0314e"
