frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","239","ea:41:f0:50:72:f7","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"2","0.207356251","42","1e:16:0d:d2:19:fa","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"3","0.257405676","42","1e:16:0d:d2:19:fa","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"4","0.257426708","42","0a:df:9e:99:9a:25","1e:16:0d:d2:19:fa",,,"ARP","172.20.0.2 is at 0a:df:9e:99:9a:25"
"5","0.257450994","1262","1e:16:0d:d2:19:fa","0a:df:9e:99:9a:25","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=afd3c7fbec44ce05, PKN: 0, CRYPTO, PADDING"
"6","0.261897372","1262","0a:df:9e:99:9a:25","1e:16:0d:d2:19:fa","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=12a4a6f2fe071bf310"
"7","0.265201738","177","1e:16:0d:d2:19:fa","0a:df:9e:99:9a:25","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=12a4a6f2fe071bf310"
"8","0.265375616","1262","0a:df:9e:99:9a:25","1e:16:0d:d2:19:fa","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"9","0.310225644","1262","1e:16:0d:d2:19:fa","0a:df:9e:99:9a:25","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=ae34dba8bd66081a, PKN: 0, CRYPTO, PADDING"
"10","0.312858973","1262","0a:df:9e:99:9a:25","1e:16:0d:d2:19:fa","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=73b6b83855f0199214"
"11","0.316098887","177","1e:16:0d:d2:19:fa","0a:df:9e:99:9a:25","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=73b6b83855f0199214"
"12","0.316235940","1262","0a:df:9e:99:9a:25","1e:16:0d:d2:19:fa","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"13","0.365822917","1262","1e:16:0d:d2:19:fa","0a:df:9e:99:9a:25","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b4d7e02fad294d10, PKN: 0, CRYPTO, PADDING"
"14","0.368554276","1262","0a:df:9e:99:9a:25","1e:16:0d:d2:19:fa","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=226b66bf5a716e0019"
"15","0.373253521","177","1e:16:0d:d2:19:fa","0a:df:9e:99:9a:25","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=226b66bf5a716e0019"
"16","0.373422562","1262","0a:df:9e:99:9a:25","1e:16:0d:d2:19:fa","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
