P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
4.18,4.46,16.0,7.6,5.97
2.72,2.28,15.2,5.11,2.66
3.18,3.02,12.12,5.13,2.6
2.63,2.54,12.46,4.18,2.63
3.04,2.44,11.38,4.66,2.36
2.31,2.39,11.46,4.26,2.37
2.9,2.65,11.66,5.88,2.69
3.04,2.18,10.72,5.71,2.48
2.74,2.24,11.96,4.04,2.7
2.95,2.5,12.96,4.08,2.67
2.81,2.74,13.99,4.1,2.92
3.27,2.01,11.12,5.42,2.58
2.88,2.4,11.32,5.34,2.26
2.81,3.1,12.78,4.14,2.53
2.42,2.65,11.23,4.25,2.76
2.65,2.27,10.91,5.01,3.2
2.56,3.12,10.98,3.99,4.0
2.93,2.92,10.73,3.97,2.76
3.11,2.15,11.65,4.18,2.73
2.94,2.94,13.53,4.12,2.93
2.84,2.38,12.09,4.23,2.67
2.55,2.26,1010.08,4.12,2.36
2.99,1002.26,11.54,4.11,2.73
2.57,1002.27,11.08,4.21,2.91
3.63,2.4,11.92,4.76,2.34
3.38,3.54,11.23,1029.87,2.5
2.79,2.25,11.3,1004.02,1002.62
1002.82,2.82,11.59,3.82,2.28
2.67,2.37,11.03,4.12,2.27
3.96,2.39,10.69,3.91,2.5
1002.73,2.79,1015.4,1004.95,2.52
2.67,2.29,16.23,3.86,1002.68
2.91,2.77,15.27,4.04,2.14
2.63,2.1,16.17,3.86,2.35
2.67,1002.37,11.19,3.78,2.18
2.5,2.47,14.25,3.77,1002.91
2.54,2.56,11.37,1064.23,2.18
1002.03,2.11,13.31,3.8,1002.88
2.66,2.59,1028.44,1056.91,2.44
2.58,2.27,10.48,4.16,3.45
3.25,2.58,11.94,4.02,2.98
2.73,2.35,10.62,4.63,2.56
2.84,1001.52,15.51,3.95,3.38
1002.94,2.78,10.83,4.32,1029.19
2.66,2.34,11.1,3002.24,2.61
1003.03,2.04,11.37,4.02,2.37
3.03,2.06,14.5,4.16,2.41
2.76,2.17,1014.87,4.18,3000.17
1002.2,2.12,1013.53,3.97,2.58
1003.32,1001.64,10.92,4.25,3.01
1002.51,1001.66,10.11,4.35,1002.38
3.04,2.2,9.89,5.36,2.6
2.68,1002.29,10.18,4.01,2.68
3.19,2.74,10.14,4.47,1085.14
2.61,2.37,10.24,1004.76,1002.75
3.59,2.09,10.29,4.73,2.46
2.52,2.29,1040.64,4.52,1002.94
1002.77,2.23,10.34,3001.94,2.39
2.65,1002.09,1014.58,4.16,3.18
1002.17,2.19,1054.46,3.88,2.62
2.77,3.06,10.29,1004.06,2.21
2.49,2.32,10.47,4.25,2.38
3.09,2.2,10.56,3.98,2.45
2.71,2.16,10.5,6.17,2.63
2.81,2.6,16.06,3.94,2.28
3000.43,1002.44,12.43,4.57,3000.69
2.61,3.67,11.23,4.68,2.35
2.42,2.16,1014.97,4.07,2.86
3.96,2.33,1049.71,4.31,2.34
2.62,1001.66,11.97,4.37,3000.24
3.17,2.56,11.25,4.57,2.56
1002.89,2.69,10.43,4.51,2.39
2.72,2.97,10.65,4.3,3000.56
2.43,2.91,10.18,4.93,2.29
2.98,2.31,11.75,3.99,1003.18
3.15,3000.29,10.45,1004.3,2.39
2.51,1003.08,10.01,4.06,1027.66
3.01,2.54,9.83,4.88,1003.68
3.49,2.72,9.83,3.82,1003.22
3.13,2.61,9.78,1004.18,2.85
2.55,2.53,10.05,1004.35,3.35
2.72,1001.35,12.07,4.46,2.64
2.58,2.53,11.38,4.09,2.58
3.57,2.63,1011.97,4.8,3.1
2.69,2.75,9.68,4.58,2.41
3.55,2.25,10.34,4.99,3.25
3.01,1001.65,9.69,4.31,3.28
2.53,2.03,9.79,1033.04,1028.11
2.65,2.14,9.67,3.87,2.62
1002.67,2.83,9.77,5.85,1002.99
2.56,2.75,11.15,4.51,2.6
2.69,2.32,10.42,3.83,2.49
2.7,2.15,1127.65,3.67,2.48
2.78,2.27,11.97,4.09,1002.89
2.51,1002.29,10.74,4.48,2.43
1002.41,2.02,11.16,4.21,1002.66
2.79,2.15,10.12,3.84,2.34
2.65,1001.96,10.82,3.68,2.39
1002.78,2.36,11.39,4.33,1003.19
2.72,2.21,9.8,4.02,2.51
2.52,2.35,15.3,1029.38,3.2
2.69,1001.52,10.51,4.2,1002.95
2.85,2.24,10.05,3.94,2.54
1002.36,2.14,10.29,3.98,2.79
2.66,2.37,1029.52,3.93,2.36
3.52,2.28,10.81,3.85,1003.05
3001.93,2.73,11.47,4.57,1002.33
6998.79,2.21,1024.14,1003.22,3.36
2.74,2.45,10.92,1003.2,2.47
3.51,2.18,11.86,3.78,2.85
2.86,2.29,10.44,3.76,3000.28
2.64,2.65,10.62,3.91,1003.49
2.38,3.38,1011.97,1005.29,2.39
3001.85,2.3,10.51,3.98,2.29
2.72,2.34,10.42,1003.19,1002.63
1002.53,1001.64,16.04,3.81,2.21
2.58,1002.11,1057.14,3.98,2.42
1002.73,2.15,9.97,3.88,2.34
1002.85,2.1,11.88,3.94,2.29
2.64,2.17,11.23,3.86,2.38
2.83,2.28,12.34,5.72,2.4
1002.6,2.04,1013.39,4.29,2.38
1002.7,2.3,10.46,4.02,2.7
1002.84,2.35,14.43,4.72,1036.03
2.63,2.05,11.15,4.24,1002.88
2.6,3.1,10.51,5.74,1002.32
2.4,2.38,10.78,4.34,3.07
1003.06,2.21,11.86,3.85,2.52
1002.61,2.33,13.44,4.15,2.37
2.66,2.21,16.25,1004.32,2.49
2.88,2.34,1015.58,1004.49,2.17
2.61,2.31,10.76,4.09,1003.08
1003.39,2.72,10.84,4.0,2.33
2.72,2.27,10.37,6.3,2.35
2.57,2.88,11.57,1003.58,2.37
1002.16,2.28,10.08,4.26,2.6
2.83,2.27,1009.76,3.89,3.31
2.66,1002.34,1009.56,1030.16,1002.79
2.91,2.3,14.46,4.15,2.39
1002.96,2.18,12.09,4.11,2.37
2.62,1002.4,10.11,1003.72,2.39
2.73,2.18,11.14,4.05,2.28
3.15,2.41,11.29,3002.67,2.29
3.79,2.13,11.81,5.0,2.32
3.11,2.3,10.54,5.21,2.42
2.71,1001.53,15.75,3003.58,2.56
2.52,1001.8,12.62,4.65,2.5
2.44,1001.68,1015.19,3.96,2.42
1001.89,2.19,11.94,5.23,2.55
1002.63,2.13,10.76,4.61,2.71
3.08,2.1,10.51,1030.33,2.42
3.2,2.14,11.07,4.53,3.15
2.62,2.09,10.73,1029.32,2.48
3.4,2.1,10.8,1088.34,3.41
3.24,2.45,10.93,3.85,1002.65
2.84,2.66,10.82,4.03,2.21
2.69,2.21,1010.21,4.25,2.86
1003.36,2.44,10.76,4.09,2.56
2.69,2.25,11.41,1086.1,2.39
1002.85,3.6,1037.24,3.86,1002.9
2.65,2.74,12.38,4.32,2.38
2.67,1001.95,1014.56,1003.53,3.16
2.48,2.13,15.66,4.18,2.42
2.66,2.35,11.6,1004.24,1003.28
1002.42,2.26,10.92,1033.53,2.56
2.62,2.08,10.95,4.01,2.27
3001.41,2.26,1016.03,1003.88,2.98
2.57,2.98,9.93,4.09,1003.66
2.42,2.09,10.82,3.98,3.59
2.4,2.6,10.49,1003.28,3.34
2.68,3.13,3008.65,3.82,2.57
2.48,2.29,1034.5,3.99,2.29
2.5,1001.5,14.83,3.88,2.72
2.46,2.11,10.76,5.52,2.4
2.9,2.04,10.3,3.87,2.47
2.56,1002.52,9.82,3.71,2.32
2.55,2.14,10.81,3.94,3.29
3.7,1002.58,10.53,3.76,1002.71
2.54,2.02,10.19,4.19,1002.96
2.56,2.28,15.23,1003.38,2.32
2.72,2.09,12.04,3.79,2.28
3.45,2.06,10.46,4.53,2.89
1003.0,1.97,1011.32,3.9,2.81
1002.6,2.19,10.4,4.06,3.29
3.06,2.15,10.85,3.87,1002.78
2.63,3001.11,10.65,3001.48,2.12
1002.33,1001.63,15.96,4.03,2.26
1001.85,2.22,10.62,4.07,2.21
3000.5,2.34,10.24,1004.22,2.21
2.94,1002.26,10.34,4.57,3000.52
2.46,3.0,1012.54,3.95,2.1
3.33,2.12,10.39,1004.19,2.14
1003.17,2.35,11.12,4.0,1031.06
2.6,2.11,10.71,3.82,1510.58
2.96,2.29,11.73,4.94,2.79
3000.39,2.22,10.66,3.81,2.42
2.5,2.04,11.49,3.84,2.23
2.6,2.05,10.6,1032.41,2.57
2.56,2999.83,10.66,4.06,2.36
1002.75,2.01,10.4,1004.83,1002.2
3.33,2.1,10.59,5.25,3.48
2.68,2.29,12.37,1028.67,2.51
2.54,6996.64,1013.43,1029.0,2.36
2.55,2.27,11.1,3.72,2.34
2.81,2.05,11.7,3.82,2.34
2.56,2.6,9.82,1004.51,2.49
2.54,2.56,9.83,4.19,3.08
