P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
7.78,5.33,20.02,10.34,5.76
6.47,4.31,15.07,7.25,4.32
6.52,6.97,20.82,7.63,4.08
9.28,4.82,18.86,7.12,4.31
6.64,4.58,14.86,6.88,4.24
6.84,4.74,16.16,7.38,4.29
6.28,4.66,19.09,7.89,4.37
8.82,4.74,19.16,7.14,4.37
6.4,5.05,14.95,8.71,4.05
6.47,7.89,15.15,7.01,4.08
6.34,4.57,17.44,8.31,4.76
6.51,4.8,15.92,7.13,4.78
6.5,5.53,14.56,8.45,4.06
7.34,4.91,18.89,7.27,5.89
8.41,4.56,15.04,8.79,3.88
6.33,4.83,15.5,7.08,4.36
6.42,4.6,15.6,7.41,4.4
6.32,5.84,15.23,7.36,4.78
6.28,4.67,18.16,8.16,4.72
6.27,4.97,15.08,7.18,4.09
6.03,4.4,3017.0,7.36,4.27
9.39,4.57,14.57,7.37,1005.58
6.34,4.91,16.47,7.39,1004.56
1006.12,4.54,17.67,8.6,4.6
6.44,4.41,22.56,7.55,4.06
6.55,4.66,19.64,1006.33,3.88
8.41,4.84,14.72,7.1,4.55
6.17,4.72,15.25,6.92,4.07
6.15,4.68,14.93,7.11,3.99
6.29,4.68,15.75,7.57,3.97
6.55,4.68,15.23,7.44,4.3
9.38,4.68,1069.15,10.84,3.91
6.67,4.67,15.01,1023.84,4.92
6.33,4.9,14.58,7.26,1003.7
7.86,4.92,1026.73,6.96,4.26
6.16,4.56,14.59,8.31,3.97
6.1,4.44,14.96,7.25,3.91
6.6,4.71,15.0,8.14,4.4
6.36,4.45,14.91,7.32,1004.72
1006.03,4.68,19.41,9.22,5.64
6.74,4.54,14.98,1022.9,1003.81
6.21,4.38,14.45,8.02,3.85
5.98,4.71,14.85,8.41,4.76
7001.88,4.66,1015.05,8.39,1004.33
6.46,4.85,1097.44,1011.19,4.11
6.42,1004.68,15.33,7.91,3.94
7.18,3003.66,14.57,8.77,3.85
6.46,4.8,22.16,8.03,1003.08
7000.81,4.36,22.25,7.09,3.82
6.08,4.91,15.8,7.03,3.8
6.48,4.64,1015.24,7.66,1003.96
6.39,4.43,14.74,8.28,1003.16
7.29,4.32,14.73,1041.43,4.68
6.89,5.96,14.98,7.17,3.83
6.36,4.56,14.62,7.73,5.74
6.63,4.61,1015.35,7.92,3.98
7.8,5.01,14.81,3005.8,3.79
6.03,4.43,17.7,3005.39,4.01
1008.13,4.41,1015.35,7.09,3.79
6.08,4.42,18.0,7.07,4.0
5.97,4.57,1024.54,6.96,1011.44
3005.41,1004.08,15.43,7.09,3.69
1006.65,4.35,1043.45,6.96,4.63
5.9,5.61,3013.97,7.28,3.98
7.97,4.95,14.82,10.19,4.17
6.38,4.54,14.49,7.46,3.88
1006.17,4.54,15.31,7.09,1003.82
6.66,4.62,18.28,7.16,4.5
7.14,1004.75,18.34,7.05,1015.78
6.68,4.71,18.29,7.02,1004.55
1006.36,4.34,14.8,7.02,1003.84
6.72,4.71,14.52,1014.92,1004.43
1007.78,4.5,1026.71,7.1,4.19
6.32,4.49,14.54,7.29,4.11
7.82,4.59,14.83,6.89,4.16
1006.02,4.52,18.95,7.1,1004.02
6.1,4.67,14.57,6.92,4.47
6.16,1005.34,14.46,7.28,4.08
7.54,4.36,18.12,7.52,3.96
1008.4,4.42,15.06,7.74,4.21
6.6,4.73,1021.29,7.09,1004.17
8.38,4.92,15.23,7.59,4.05
9.12,4.49,14.92,7.43,4.53
9.46,4.39,14.81,8.35,4.46
6.92,4.91,15.01,1085.01,4.79
6.32,4.9,15.04,7.07,4.2
6.31,4.43,15.04,6.91,3.95
6.22,4.54,1015.54,6.93,3.98
7.37,4.43,1040.12,7.08,4.17
1005.42,3003.24,22.41,7.14,1004.14
6.45,5.26,14.19,7.21,4.41
6.53,4.86,1030.65,7.01,4.58
1005.58,4.72,1041.42,1049.26,4.51
6.36,4.43,15.05,7.5,4.08
1005.94,4.65,14.71,9.71,3.98
6.83,3003.17,14.63,7.88,3.94
3004.21,1003.72,14.57,7.35,1003.29
6.34,4.46,15.13,7.33,1003.74
3004.41,1004.61,18.68,7.21,4.03
1005.63,4.73,1048.8,1013.14,4.25
6.01,4.6,15.52,10.6,3.89
1005.83,4.51,1037.94,7.0,4.44
6.21,1004.34,15.89,1006.24,4.09
5.95,4.49,15.89,7.5,3.97
1005.48,4.51,1031.19,7.36,5.49
6.04,4.41,15.68,12.01,4.48
5.99,5.85,15.16,7.46,7.1
6.28,4.52,17.64,7.45,3.97
5.94,4.63,15.05,1021.2,3.91
6.1,3003.67,14.63,7.2,1004.04
6.69,5.52,16.14,8.79,4.33
6.38,4.81,18.86,1010.37,3.95
6.32,4.35,15.99,1032.84,4.18
1006.4,4.3,16.68,7.17,3.93
10.73,1004.31,15.51,7.19,3.99
1005.62,4.86,15.56,6.88,4.78
5.9,4.4,1042.07,1012.95,3.97
6.41,4.62,1018.82,6.97,4.57
6.5,4.64,14.66,7.27,4.82
5.98,4.97,17.65,6.97,4.42
6.21,4.48,17.76,7.19,1003.66
5.99,4.38,1096.19,1012.82,4.27
5.95,4.44,14.61,7.51,4.89
6.31,4.86,14.78,7.11,3.74
8.15,4.42,14.99,8.25,4.2
1006.35,1004.5,14.51,7.74,4.16
6.24,1003.94,19.86,1010.78,1003.38
6.24,5.27,14.66,8.83,1004.1
5.99,4.68,14.47,7.53,1003.67
1006.06,1005.42,14.54,8.87,6.91
7.23,4.82,14.67,8.02,1013.52
6.86,5.1,15.5,7.67,3.93
6.68,5.19,16.93,8.95,3.87
1007.38,4.61,15.0,7.91,3.87
7.02,4.63,14.83,8.07,4.01
