P-521,p521_mlkem1024,mlkem1024
8.54,20.23,6.5
6.5,18.2,4.42
8.19,15.31,4.28
6.31,15.2,5.16
7.85,21.57,6.88
6.13,22.51,5.92
6.61,15.27,4.95
5.99,14.35,4.25
6.48,15.02,4.52
6.48,19.02,4.68
6.78,15.93,4.13
6.91,14.13,4.37
6.55,1015.51,4.75
6.9,14.33,4.52
7.06,14.19,4.19
8.2,14.79,5.67
8.43,14.75,4.22
6.21,17.97,5.49
6.38,17.22,6.21
6.17,20.81,1012.72
6.45,1039.8,1015.71
8.33,14.55,4.18
6.53,1017.51,1032.89
1005.92,1019.93,4.48
1008.05,14.43,4.33
1006.08,15.56,5.17
1006.32,1098.6,4.35
6.05,16.27,4.29
6.21,15.89,4.07
6.2,21.83,4.78
6.26,14.54,5.1
1006.61,15.05,4.34
6.23,23.16,5.57
1006.17,14.06,4.6
8.11,19.76,4.22
6.13,22.48,4.38
6.92,15.73,4.18
6.83,1015.88,4.03
3005.08,13.7,1015.11
6.53,14.03,4.18
6.09,15.23,4.35
6.2,1028.09,4.24
6.14,15.55,1013.44
8.25,15.32,4.22
6.28,1023.38,4.65
8.78,16.46,6.57
6.49,14.25,4.19
6.3,14.65,4.22
8.9,1067.98,7.11
6.32,14.22,6.38
6.4,13.51,5.08
6.82,16.18,4.99
6.38,1038.05,4.48
6.73,14.42,3.97
6.39,14.45,4.59
6.25,14.19,5.16
8.13,13.83,4.3
1006.1,1039.63,1010.82
6.28,13.99,5.24
6.24,13.44,5.45
6.28,14.22,5.93
6.11,14.31,4.31
6.16,14.31,4.83
6.15,16.5,4.19
6.97,15.28,4.21
7.75,1035.91,5.02
7.91,14.14,1010.3
1006.07,13.66,4.98
6.12,14.45,1029.4
6.31,13.86,4.7
6.29,1027.01,4.47
1005.98,14.09,4.5
9.17,1042.3,5.07
6.89,13.95,4.83
6.61,13.54,4.55
8.49,13.85,4.35
7.28,14.59,1015.79
9.11,13.98,4.72
1006.51,1014.61,4.25
3005.47,1026.99,4.95
6.2,13.73,5.06
6.14,15.02,6.32
3004.71,13.76,4.14
3005.62,15.18,1025.0
7.63,13.93,6.06
7.47,13.91,4.37
6.18,13.57,4.0
6.18,13.76,4.35
8.59,13.85,4.57
6.7,15.02,4.88
1006.04,14.63,1014.03
6.35,14.37,1010.01
6.07,1023.23,4.27
7.95,13.73,4.23
7.87,13.69,3.96
6.12,14.18,4.43
1006.02,14.29,4.09
3004.98,14.22,1031.39
6.53,14.58,1009.21
7.27,16.05,4.24
3004.87,13.63,4.47
6.19,13.48,4.35
6.14,14.85,5.17
6.9,1071.27,6.28
10.33,14.32,1052.52
6.45,14.32,4.25
6.67,13.92,4.29
8.86,14.39,4.51
8.99,13.94,4.47
1008.94,14.46,4.42
8.36,13.77,5.73
6.16,13.61,4.29
7.96,14.38,5.74
7.87,14.18,4.49
1006.02,13.7,5.79
6.26,14.27,4.49
6.28,13.64,4.35
8.07,14.77,4.77
1006.11,14.28,4.49
1006.01,14.6,5.42
6.4,14.63,4.77
6.26,13.7,5.96
8.89,13.92,5.04
6.04,14.44,4.31
6.39,1016.83,4.15
6.09,14.02,4.51
6.41,1037.08,5.76
6.19,14.16,5.07
6.59,13.76,6.04
3004.43,1028.3,5.54
6.19,13.84,3005.26
6.89,13.97,4.53
6.48,1015.74,4.68
8.28,15.2,4.66
6.91,13.85,4.75
6.04,13.79,6.33
6.21,13.88,5.28
6.13,13.84,1030.85
6.03,14.01,4.19
1006.35,1037.46,4.17
6.23,13.84,1013.24
6.2,13.94,4.16
9.12,16.13,4.56
6.18,1015.21,4.21
9.63,1016.59,4.41
9.01,14.41,4.14
6.34,13.98,4.25
6.35,14.8,5.97
6.36,14.11,4.74
9.07,14.15,5.31
8.56,14.66,5.22
9.11,14.04,4.26
6.16,15.05,1016.61
8.03,1092.05,1032.7
6.55,14.85,5.16
7.46,13.98,4.37
6.18,1052.55,4.9
1007.44,14.22,6.02
6.35,1041.35,4.33
8.96,14.03,4.95
6.86,14.25,4.34
6.18,1031.79,1038.52
8.76,13.96,4.2
7.89,14.61,5.23
1006.33,13.93,4.22
1006.02,15.86,4.16
6.22,1016.96,1010.41
3005.54,16.18,4.87
6.28,14.98,4.31
9.29,14.1,4.22
1006.29,13.96,4.93
1009.14,1040.11,1010.68
6.99,14.75,4.87
6.46,14.4,1019.04
1008.01,15.43,6.27
1006.21,13.73,6.8
6.1,13.87,5.86
7.52,13.91,1027.11
7.79,13.78,1031.91
6.08,14.56,5.33
3004.57,14.88,5.42
6.11,13.93,4.2
8.88,15.18,4.15
3005.07,14.21,4.26
6.54,13.9,4.46
7.99,1033.44,1005.27
6.31,13.74,4.12
1006.38,1072.77,1032.05
1006.4,14.69,4.39
