Handshake_ID,P-256_Time_ms,P-256_Bytes_Total,2,x25519_Time_ms,x25519_Bytes_Total,5,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,8,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,11,mlkem512_Time_ms,mlkem512_Bytes_Total
1,4.18,3963.0,,4.46,3963.0,,16.0,5550.0,,7.6,5517.0,,5.97,5485.0
2,2.72,3963.0,,2.28,3963.0,,15.2,5550.0,,5.11,5517.0,,2.66,5485.0
3,3.18,3963.0,,3.02,3963.0,,12.12,5550.0,,5.13,5517.0,,2.6,5485.0
4,2.63,3963.0,,2.54,3963.0,,12.46,5550.0,,4.18,5517.0,,2.63,5485.0
5,3.04,3963.0,,2.44,3963.0,,11.38,5550.0,,4.66,5517.0,,2.36,5485.0
6,2.31,3963.0,,2.39,3963.0,,11.46,5550.0,,4.26,5517.0,,2.37,5485.0
7,2.9,3963.0,,2.65,3963.0,,11.66,5550.0,,5.88,5517.0,,2.69,5485.0
8,3.04,3963.0,,2.18,3963.0,,10.72,5550.0,,5.71,5517.0,,2.48,5485.0
9,2.74,3963.0,,2.24,3963.0,,11.96,5550.0,,4.04,5517.0,,2.7,5485.0
10,2.95,3963.0,,2.5,3963.0,,12.96,5550.0,,4.08,5517.0,,2.67,5485.0
11,2.81,3963.0,,2.74,3963.0,,13.99,5550.0,,4.1,5517.0,,2.92,5485.0
12,3.27,3963.0,,2.01,3963.0,,11.12,5550.0,,5.42,5517.0,,2.58,5485.0
13,2.88,3963.0,,2.4,3963.0,,11.32,5550.0,,5.34,5517.0,,2.26,5485.0
14,2.81,3963.0,,3.1,3963.0,,12.78,5550.0,,4.14,5517.0,,2.53,5485.0
15,2.42,3963.0,,2.65,3963.0,,11.23,5550.0,,4.25,5517.0,,2.76,5485.0
16,2.65,3963.0,,2.27,3963.0,,10.91,5550.0,,5.01,5517.0,,3.2,5485.0
17,2.56,3963.0,,3.12,3963.0,,10.98,5550.0,,3.99,5517.0,,4.0,5485.0
18,2.93,3963.0,,2.92,3963.0,,10.73,5550.0,,3.97,5517.0,,2.76,5485.0
19,3.11,3963.0,,2.15,3963.0,,11.65,5550.0,,4.18,5517.0,,2.73,5485.0
20,2.94,3963.0,,2.94,3963.0,,13.53,5550.0,,4.12,5517.0,,2.93,5485.0
21,2.84,3963.0,,2.38,3963.0,,12.09,5550.0,,4.23,5517.0,,2.67,5485.0
22,2.55,3963.0,,2.26,3963.0,,1010.08,10556.0,,4.12,5517.0,,2.36,5485.0
23,2.99,3963.0,,1002.26,9188.0,,11.54,5550.0,,4.11,5517.0,,2.73,5485.0
24,2.57,3963.0,,1002.27,3963.0,,11.08,5550.0,,4.21,5517.0,,2.91,5485.0
25,3.63,3963.0,,2.4,6664.0,,11.92,5550.0,,4.76,15990.0,,2.34,9708.0
26,3.38,10627.0,,3.54,3963.0,,11.23,5550.0,,1029.87,10570.0,,2.5,10538.0
27,2.79,6664.0,,2.25,9365.0,,11.3,5550.0,,1004.02,5517.0,,1002.62,5485.0
28,1002.82,5225.0,,2.82,6664.0,,11.59,9838.0,,3.82,5517.0,,2.28,13931.0
29,2.67,3963.0,,2.37,3963.0,,11.03,5550.0,,4.12,5517.0,,2.27,10538.0
30,3.96,3963.0,,2.39,5225.0,,10.69,14711.0,,3.91,11832.0,,2.5,5485.0
31,1002.73,6664.0,,2.79,3963.0,,1015.4,5550.0,,1004.95,5517.0,,2.52,5485.0
32,2.67,6664.0,,2.29,3963.0,,16.23,5550.0,,3.86,5517.0,,1002.68,5485.0
