frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","70","a6:0a:93:bb:3c:df","33:33:00:00:00:02",,,"ICMPv6","Router Solicitation from a6:0a:93:bb:3c:df"
"2","1.124390245","239","a6:0a:93:bb:3c:df","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"3","2.801706290","42","06:7d:06:4e:93:aa","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"4","2.859839313","42","06:7d:06:4e:93:aa","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"5","2.859868204","42","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa",,,"ARP","172.20.0.2 is at ee:e0:10:89:5c:f0"
"6","2.859874877","1262","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f4e1f170ac107173, PKN: 0, CRYPTO, PADDING"
"7","2.863807516","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=cbe1c1848fe041163a"
"8","2.865725445","177","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=cbe1c1848fe041163a"
"9","2.865933606","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"10","2.910142636","1262","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=5ac457529362eaab, PKN: 0, CRYPTO, PADDING"
"11","2.911522817","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=86a500bd22e0185e35"
"12","2.912661838","177","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=86a500bd22e0185e35"
"13","2.912784820","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"14","2.952075233","1262","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=43971f58f23ee242, PKN: 0, CRYPTO, PADDING"
"15","2.953517162","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e577a48fec67a665cc"
"16","2.954810525","177","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e577a48fec67a665cc"
"17","2.955119921","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"18","3.003420387","1262","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9090d448037157a3, PKN: 0, CRYPTO, PADDING"
"19","3.004727110","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=2e477afce452b43f79"
"20","3.006222072","177","06:7d:06:4e:93:aa","ee:e0:10:89:5c:f0","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=2e477afce452b43f79"
"21","3.006367487","1262","ee:e0:10:89:5c:f0","06:7d:06:4e:93:aa","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
