frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","3e:d9:e4:b7:e8:6e","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.062541476","42","3e:d9:e4:b7:e8:6e","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.062572394","42","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e",,,"ARP","172.20.0.2 is at c6:05:15:b9:66:69"
"4","0.062582012","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=04e4361f339f3f41, PKN: 1, CRYPTO, PADDING"
"5","0.071905653","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=563d437d8931141c62"
"6","0.076644278","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=563d437d8931141c62"
"7","0.076835174","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.117471132","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=58f1a6b40e09227a, PKN: 1, CRYPTO, PADDING"
"9","0.120193961","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=436d8be3701ccde978"
"10","0.123011037","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=436d8be3701ccde978"
"11","0.123224595","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.165303228","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9e106a154e350f68, PKN: 1, CRYPTO, PADDING"
"13","0.167808355","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a3c8932ec875173bfc"
"14","0.170663053","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a3c8932ec875173bfc"
"15","0.170790587","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.214972767","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=1f1ec973b555690a, PKN: 1, CRYPTO, PADDING"
"17","0.218643211","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a33ec82b0b25eb3d65"
"18","0.221381473","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a33ec82b0b25eb3d65"
"19","0.221553337","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.263430612","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=930f9d542073fafe, PKN: 1, CRYPTO, PADDING"
"21","0.266247144","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=48db5e55a313de2a2f"
"22","0.268814540","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=48db5e55a313de2a2f"
"23","0.268927448","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.312333231","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=37156bd8ccf796b7, PKN: 1, CRYPTO, PADDING"
"25","0.314690386","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=49f04737853b1dedf2"
"26","0.317315875","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=49f04737853b1dedf2"
"27","0.317491813","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.366281856","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b02a21bcd52d9b0c, PKN: 1, CRYPTO, PADDING"
"29","0.369145538","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4bd8aee74e28c20f46"
"30","0.373149412","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4bd8aee74e28c20f46"
"31","0.373321348","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.421349045","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=93d5fea238a73121, PKN: 1, CRYPTO, PADDING"
"33","0.425015588","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e959514a6c9aefb0cf"
"34","0.428960502","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e959514a6c9aefb0cf"
"35","0.429119796","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"36","0.489472752","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7dec8d0bff440086, PKN: 1, CRYPTO, PADDING"
"37","0.491888684","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=280dda416ab8c6620d"
"38","0.495266079","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=280dda416ab8c6620d"
"39","0.495413001","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"40","0.541056974","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=8fd182aa301940d0, PKN: 1, CRYPTO, PADDING"
"41","0.544698548","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c81e666c68681a4220"
"42","0.547707677","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c81e666c68681a4220"
"43","0.547886082","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"44","0.592477951","2482","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=90d98247e215990b, PKN: 1, CRYPTO, PADDING"
"45","0.596624022","1629","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a0682a7288c09d209d"
"46","0.600629051","177","3e:d9:e4:b7:e8:6e","c6:05:15:b9:66:69","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a0682a7288c09d209d"
"47","0.600979166","1262","c6:05:15:b9:66:69","3e:d9:e4:b7:e8:6e","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
