frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","6e:07:70:01:47:21","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.052439811","42","6e:07:70:01:47:21","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.052470011","42","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21",,,"ARP","172.20.0.2 is at ea:30:d1:a9:a3:c5"
"4","0.052482911","1262","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f010baed1994bc71, PKN: 0, CRYPTO, PADDING"
"5","0.055846691","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4f83f9d6fdf7e8ab81"
"6","0.057432941","177","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4f83f9d6fdf7e8ab81"
"7","0.057629009","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.109503408","1262","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=5ca4c7d922cfa676, PKN: 0, CRYPTO, PADDING"
"9","0.111136697","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=57b1f75ac702688676"
"10","0.112855836","177","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=57b1f75ac702688676"
"11","0.113073729","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.153659416","1262","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f7dfe2e4f8cced27, PKN: 0, CRYPTO, PADDING"
"13","0.155418791","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=f37f1966734f33accd"
"14","0.156421227","177","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=f37f1966734f33accd"
"15","0.156604623","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.196755330","1262","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=135925f5aa8a4a77, PKN: 0, CRYPTO, PADDING"
"17","0.197817896","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=d7f203140da28f2404"
"18","0.199043088","177","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=d7f203140da28f2404"
"19","0.199230424","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.236325236","1262","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=5e089e2b1ae406fa, PKN: 0, CRYPTO, PADDING"
"21","0.237260568","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=f38ccbe8db090aa3bc"
"22","0.238233485","177","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=f38ccbe8db090aa3bc"
"23","0.238327815","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.277901643","1262","6e:07:70:01:47:21","ea:30:d1:a9:a3:c5","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7651e86dc0a03891, PKN: 0, CRYPTO, PADDING"
"25","0.279100492","1262","ea:30:d1:a9:a3:c5","6e:07:70:01:47:21","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=961257b3eebe431637"
