frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","9a:6e:ac:c4:10:20","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.056973632","42","9a:6e:ac:c4:10:20","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.057000040","42","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20",,,"ARP","172.20.0.2 is at 2a:46:bb:af:de:f3"
"4","0.057007567","2482","9a:6e:ac:c4:10:20","2a:46:bb:af:de:f3","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=01b766d835820ca1, PKN: 1, CRYPTO, PADDING"
"5","0.060614029","1596","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=45d32e4d336c95725f"
"6","0.061945723","177","9a:6e:ac:c4:10:20","2a:46:bb:af:de:f3","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=45d32e4d336c95725f"
"7","0.062076018","1262","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.096887882","2482","9a:6e:ac:c4:10:20","2a:46:bb:af:de:f3","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=2a3fa2a1faa741db, PKN: 1, CRYPTO, PADDING"
"9","0.098310727","1596","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e6dcb01e2e6e84dc8e"
"10","0.099555806","177","9a:6e:ac:c4:10:20","2a:46:bb:af:de:f3","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e6dcb01e2e6e84dc8e"
"11","0.099665873","1262","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.134655311","2482","9a:6e:ac:c4:10:20","2a:46:bb:af:de:f3","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c4f0b6e2b24da680, PKN: 1, CRYPTO, PADDING"
"13","0.136162357","1596","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=233b1bdb37e0a39dd3"
"14","0.137447681","177","9a:6e:ac:c4:10:20","2a:46:bb:af:de:f3","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=233b1bdb37e0a39dd3"
"15","0.137580847","1262","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.177784876","2482","9a:6e:ac:c4:10:20","2a:46:bb:af:de:f3","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=4249d6ce44113fcd, PKN: 1, CRYPTO, PADDING"
"17","0.179862733","1596","2a:46:bb:af:de:f3","9a:6e:ac:c4:10:20","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4aa619b07129f9eece"
