frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","ba:f2:67:22:63:50","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.056963782","42","ba:f2:67:22:63:50","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.056990630","42","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50",,,"ARP","172.20.0.2 is at 56:c7:fe:69:f1:5a"
"4","0.056998703","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=e0f778c438bb24d2, PKN: 1, CRYPTO, PADDING"
"5","0.060895094","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ca477a96f5a5e3865d"
"6","0.063371640","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=ca477a96f5a5e3865d"
"7","0.063497590","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.096914303","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=fae67e5d68ed9890, PKN: 1, CRYPTO, PADDING"
"9","0.098371590","2031","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c608d581de93ac3982"
"10","0.100918676","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c608d581de93ac3982"
"11","0.101020907","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.134277412","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=05ef755292975c8e, PKN: 1, CRYPTO, PADDING"
"13","0.135679173","2029","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=03221e2708f6a6f47e"
"14","0.137908580","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=03221e2708f6a6f47e"
"15","0.138034338","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.172658027","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=90d460d2c545b6bf, PKN: 1, CRYPTO, PADDING"
"17","0.174090499","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e279752a287e215d86"
"18","0.176362539","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e279752a287e215d86"
"19","0.176467725","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.213597973","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=37de3484fd714608, PKN: 1, CRYPTO, PADDING"
"21","0.215207108","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=85eb7b7be38704cb70"
"22","0.217615414","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=85eb7b7be38704cb70"
"23","0.217742605","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.247524893","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=baf9efc48c1d3471, PKN: 1, CRYPTO, PADDING"
"25","0.248960793","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=41f1cef0512d1a256e"
"26","0.251202733","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=41f1cef0512d1a256e"
"27","0.251344250","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.290040542","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c6327c5d2a27afb5, PKN: 1, CRYPTO, PADDING"
"29","0.291507113","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e5a2698d665b77fbda"
"30","0.293801481","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e5a2698d665b77fbda"
"31","0.293949997","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.341475166","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=14bf822ce331967e, PKN: 1, CRYPTO, PADDING"
"33","0.343097144","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a9e14348a925092e46"
"34","0.345451215","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a9e14348a925092e46"
"35","0.345579293","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"36","0.384080171","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=2435b88eeaddde20, PKN: 1, CRYPTO, PADDING"
"37","0.385323668","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=41c57e62cb40427513"
"38","0.389509491","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=41c57e62cb40427513"
"39","0.389647294","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"40","0.425047869","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=900f00b4800a2bef, PKN: 1, CRYPTO, PADDING"
"41","0.426258532","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a38d82c051fc36279f"
"42","0.428615881","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a38d82c051fc36279f"
"43","0.428743765","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"44","0.463899061","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=46e28cc8411d7587, PKN: 1, CRYPTO, PADDING"
"45","0.465133223","2029","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=820fe264375a964bd1"
"46","0.467376194","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=820fe264375a964bd1"
"47","0.467503436","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"48","0.501796870","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=4cb0534aa26ad507, PKN: 1, CRYPTO, PADDING"
"49","0.502999463","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a12e246d85cfe34061"
"50","0.505307260","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a12e246d85cfe34061"
"51","0.505410419","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"52","0.540559317","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=6efa9c4788baae1d, PKN: 1, CRYPTO, PADDING"
"53","0.541962770","2029","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=84efa1a081c04da984"
"54","0.544325613","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=84efa1a081c04da984"
"55","0.544436517","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"56","0.585400163","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c6b7592e898346b3, PKN: 1, CRYPTO, PADDING"
"57","0.587166231","2029","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=948531c38a001aad26"
"58","0.589606927","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=948531c38a001aad26"
"59","0.589764269","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"60","0.635833407","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=87ad9a4a8af336ee, PKN: 1, CRYPTO, PADDING"
"61","0.637307911","2031","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=89d35bd4bf9c5ed3d2"
"62","0.640613464","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=89d35bd4bf9c5ed3d2"
"63","0.640991513","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"64","0.682006792","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b08eaaf4fd509f59, PKN: 1, CRYPTO, PADDING"
"65","0.683561111","2031","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a710fa365be5cbc640"
"66","0.685894351","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a710fa365be5cbc640"
"67","0.686081161","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"68","0.725551614","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=010a3f085d07d116, PKN: 1, CRYPTO, PADDING"
"69","0.727068314","2030","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ebc5c7601563c78b79"
"70","0.729422361","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=ebc5c7601563c78b79"
"71","0.729629321","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"72","0.765667843","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=87f8b9a635e16e39, PKN: 1, CRYPTO, PADDING"
"73","1.001051091","42","ba:f2:67:22:63:50","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"74","1.765561813","2482","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=87f8b9a635e16e39, PKN: 3, CRYPTO, PADDING"
"75","1.765695094","1262","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Initial, SCID=21ca275aaf79e2b8f1, PKN: 2, ACK, PADDING"
"76","1.766781917","2029","56:c7:fe:69:f1:5a","ba:f2:67:22:63:50","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=21ca275aaf79e2b8f1"
"77","1.769537757","177","ba:f2:67:22:63:50","56:c7:fe:69:f1:5a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=21ca275aaf79e2b8f1"
