P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
6.38,5.46,23.19,6.68,6.08
2.93,3.83,10.88,4.32,3.04
3.15,3.25,10.85,4.44,3.83
3.27,2.65,11.74,6.07,4.07
2.88,2.24,10.64,5.71,3.59
3.62,3.17,10.23,4.62,2.96
3.42,2.57,15.02,4.88,3.38
2.83,2.18,13.23,4.11,2.76
3.16,2.81,13.45,4.48,2.56
2.95,2.54,13.02,5.16,2.92
4.23,2.27,16.22,4.56,2.93
2.62,3.68,10.36,4.99,3.07
2.92,2.57,10.49,4.19,2.53
3.11,2.43,12.03,4.09,3.3
2.58,5.36,10.4,4.96,3.15
3.31,2.25,1013.28,4.43,3.36
4.5,3.13,10.59,5.26,2.8
3.81,3.73,10.51,4.68,3.67
3.6,2.41,10.85,5.21,1028.36
3.11,2.87,1035.48,4.63,1002.14
2.76,3.12,11.49,4.47,2.91
3.53,3.21,14.01,4.19,3.01
3.43,2.8,12.32,4.65,2.84
2.99,5.29,10.59,5.36,2.85
6.67,2.63,10.83,4.2,2.69
2.69,3.12,10.0,4.52,2.39
3.91,2.27,10.23,4.63,3.12
4.04,2.81,12.96,1005.09,2.62
2.77,2.33,1012.55,5.39,2.37
2.96,1002.67,10.18,4.46,2.53
3001.04,2.59,10.65,4.1,2.7
2.79,2.91,11.06,1003.71,3.87
2.75,1001.71,11.39,4.71,2.64
3.54,5.62,12.39,4.1,2.87
2.52,1002.52,10.5,5.36,2.82
2.98,2.46,10.3,4.34,3.42
3.08,2.33,10.34,1087.86,2.84
3.01,2.46,10.19,4.18,2.67
2.77,2.18,10.07,4.25,3.17
2.99,2.55,9.96,4.16,2.6
2.91,2.65,10.44,4.1,1003.28
1003.16,2.87,10.62,4.14,2.83
1001.9,1002.55,10.03,4.15,3.29
2.76,2.48,10.01,4.29,3.24
3.5,2.36,10.14,1004.22,3.67
3.55,2.39,11.4,4.39,3.16
2.64,1002.03,11.14,1003.98,2.41
3.46,2.69,12.39,4.45,2.48
2.6,2.34,15.24,4.17,1002.43
3.09,2.44,10.18,5.33,2.49
2.65,2.97,9.92,4.76,2.55
