Handshake_ID,P-256_Time_ms,P-256_Bytes_Total,2,x25519_Time_ms,x25519_Bytes_Total,5,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,8,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,11,mlkem512_Time_ms,mlkem512_Bytes_Total
1,6.38,3963.0,,5.46,3963.0,,23.19,5550.0,,6.68,5517.0,,6.08,5485.0
2,2.93,3963.0,,3.83,3963.0,,10.88,5550.0,,4.32,5517.0,,3.04,5485.0
3,3.15,3963.0,,3.25,3963.0,,10.85,5550.0,,4.44,5517.0,,3.83,5485.0
4,3.27,3963.0,,2.65,3963.0,,11.74,5550.0,,6.07,5517.0,,4.07,5485.0
5,2.88,3963.0,,2.24,3963.0,,10.64,5550.0,,5.71,5517.0,,3.59,5485.0
6,3.62,3963.0,,3.17,3963.0,,10.23,5550.0,,4.62,5517.0,,2.96,5485.0
7,3.42,3963.0,,2.57,3963.0,,15.02,5550.0,,4.88,5517.0,,3.38,5485.0
8,2.83,3963.0,,2.18,3963.0,,13.23,5550.0,,4.11,5517.0,,2.76,5485.0
9,3.16,3963.0,,2.81,3963.0,,13.45,5550.0,,4.48,5517.0,,2.56,5485.0
10,2.95,3963.0,,2.54,3963.0,,13.02,5550.0,,5.16,5517.0,,2.92,5485.0
11,4.23,3963.0,,2.27,3963.0,,16.22,5550.0,,4.56,5517.0,,2.93,5485.0
12,2.62,3963.0,,3.68,3963.0,,10.36,5550.0,,4.99,5517.0,,3.07,5485.0
13,2.92,3963.0,,2.57,3963.0,,10.49,5550.0,,4.19,5517.0,,2.53,5485.0
14,3.11,3963.0,,2.43,3963.0,,12.03,5550.0,,4.09,5517.0,,3.3,5485.0
15,2.58,3963.0,,5.36,3963.0,,10.4,5550.0,,4.96,5517.0,,3.15,5485.0
16,3.31,3963.0,,2.25,3963.0,,1013.28,14711.0,,4.43,5517.0,,3.36,5485.0
17,4.5,3963.0,,3.13,3963.0,,10.59,5550.0,,5.26,5517.0,,2.8,5485.0
18,3.81,3963.0,,3.73,3963.0,,10.51,5550.0,,4.68,5517.0,,3.67,5485.0
19,3.6,9365.0,,2.41,3963.0,,10.85,5550.0,,5.21,5517.0,,1028.36,10555.0
20,3.11,3963.0,,2.87,3963.0,,1035.48,10620.0,,4.63,5517.0,,1002.14,10538.0
21,2.76,3963.0,,3.12,3963.0,,11.49,5550.0,,4.47,5517.0,,2.91,5485.0
22,3.53,3963.0,,3.21,3963.0,,14.01,5550.0,,4.19,5517.0,,3.01,5485.0
23,3.43,3963.0,,2.8,3963.0,,12.32,5550.0,,4.65,5517.0,,2.84,5485.0
24,2.99,3963.0,,5.29,3963.0,,10.59,5550.0,,5.36,5517.0,,2.85,5485.0
25,6.67,3963.0,,2.63,3963.0,,10.83,5550.0,,4.2,5517.0,,2.69,5485.0
26,2.69,3963.0,,3.12,3963.0,,10.0,5550.0,,4.52,5517.0,,2.39,5485.0
27,3.91,3963.0,,2.27,3963.0,,10.23,5550.0,,4.63,5517.0,,3.12,5485.0
28,4.04,3963.0,,2.81,3963.0,,12.96,5550.0,,1005.09,10570.0,,2.62,5485.0
29,2.77,9188.0,,2.33,3963.0,,1012.55,14711.0,,5.39,5517.0,,2.37,13931.0
30,2.96,3963.0,,1002.67,5225.0,,10.18,5550.0,,4.46,5517.0,,2.53,5485.0
31,3001.04,3963.0,,2.59,3963.0,,10.65,9838.0,,4.1,5517.0,,2.7,5485.0
32,2.79,3963.0,,2.91,3963.0,,11.06,5550.0,,1003.71,10570.0,,3.87,5485.0
33,2.75,3963.0,,1001.71,5225.0,,11.39,5550.0,,4.71,5517.0,,2.64,5485.0
34,3.54,3963.0,,5.62,3963.0,,12.39,5550.0,,4.1,5517.0,,2.87,5485.0
35,2.52,3963.0,,1002.52,7926.0,,10.5,5550.0,,5.36,5517.0,,2.82,5485.0
36,2.98,3963.0,,2.46,3963.0,,10.3,5550.0,,4.34,5517.0,,3.42,5485.0
37,3.08,3963.0,,2.33,3963.0,,10.34,9838.0,,1087.86,16586.0,,2.84,5485.0
38,3.01,3963.0,,2.46,3963.0,,10.19,5550.0,,4.18,5517.0,,2.67,5485.0
39,2.77,5225.0,,2.18,3963.0,,10.07,5550.0,,4.25,5517.0,,3.17,9276.0
40,2.99,5225.0,,2.55,3963.0,,9.96,5550.0,,4.16,5517.0,,2.6,5485.0
41,2.91,3963.0,,2.65,3963.0,,10.44,5550.0,,4.1,5517.0,,1003.28,5485.0
42,1003.16,3963.0,,2.87,5225.0,,10.62,5550.0,,4.14,5517.0,,2.83,5485.0
43,1001.9,3963.0,,1002.55,3963.0,,10.03,9838.0,,4.15,9772.0,,3.29,5485.0
44,2.76,3963.0,,2.48,3963.0,,10.01,5550.0,,4.29,10570.0,,3.24,5485.0
45,3.5,3963.0,,2.36,3963.0,,10.14,5550.0,,1004.22,5517.0,,3.67,5485.0
46,3.55,3963.0,,2.39,5225.0,,11.4,5550.0,,4.39,13094.0,,3.16,5485.0
47,2.64,3963.0,,1002.03,3963.0,,11.14,5550.0,,1003.98,5517.0,,2.41,14761.0
48,3.46,3963.0,,2.69,3963.0,,12.39,5550.0,,4.45,9772.0,,2.48,5485.0
49,2.6,3963.0,,2.34,3963.0,,15.24,5550.0,,4.17,5517.0,,1002.43,5485.0
50,3.09,3963.0,,2.44,3963.0,,10.18,5550.0,,5.33,9772.0,,2.49,5485.0
51,2.65,6664.0,,2.97,3963.0,,9.92,5550.0,,4.76,5517.0,,2.55,17722.0
52,3.5,9188.0,,2.36,7926.0,,14.34,9838.0,,5.36,9772.0,,3.17,5485.0
53,3.55,3963.0,,2.62,3963.0,,11.36,5550.0,,4.3,5517.0,,2.78,5485.0
54,3.62,3963.0,,1002.09,3963.0,,10.28,14711.0,,5.69,5517.0,,2.86,5485.0
55,2.55,3963.0,,2.5,6664.0,,10.02,5550.0,,7.31,10570.0,,2.84,5485.0
56,3001.21,3963.0,,2.92,3963.0,,10.39,14711.0,,4.52,5517.0,,1003.72,5485.0
57,2.68,6664.0,,3.02,3963.0,,10.3,14711.0,,4.69,5517.0,,2.74,5485.0
58,2.69,3963.0,,2.48,3963.0,,1013.12,5550.0,,4.23,9772.0,,2.59,5485.0
59,2.46,3963.0,,2.27,7926.0,,10.4,5550.0,,1004.1,9772.0,,2.42,5485.0
60,3.03,3963.0,,2.4,9365.0,,1014.18,5550.0,,4.22,5517.0,,2.48,5485.0
61,2.68,3963.0,,2.41,3963.0,,1014.26,5550.0,,4.1,9308.0,,2.52,5485.0
62,3.05,3963.0,,2.31,3963.0,,11.6,5550.0,,4.47,5517.0,,3.32,9708.0
63,2.7,3963.0,,1002.76,3963.0,,10.5,5550.0,,5.08,5517.0,,2.47,5485.0
64,2.74,3963.0,,2.45,6664.0,,11.68,5550.0,,5.48,10570.0,,2.56,5485.0
65,3.27,3963.0,,3.19,3963.0,,10.31,5550.0,,4.57,5517.0,,2.8,5485.0
66,2.71,3963.0,,2.41,3963.0,,11.65,5550.0,,4.3,9772.0,,3.99,14761.0
67,2.84,3963.0,,2.27,3963.0,,14.19,5550.0,,1004.73,5517.0,,3.05,9708.0
68,3.24,6487.0,,2.65,3963.0,,11.25,5550.0,,4.15,5517.0,,2.43,5485.0
69,3.0,3963.0,,2.5,3963.0,,10.8,5550.0,,4.03,5517.0,,2.63,5485.0
70,2.59,3963.0,,2.36,3963.0,,12.31,5550.0,,1003.92,5517.0,,2.84,5485.0
71,2.72,3963.0,,3.16,3963.0,,11.29,5550.0,,4.25,10587.0,,2.92,5485.0
72,2.61,5225.0,,2.5,3963.0,,12.09,5550.0,,4.35,9772.0,,2.47,5485.0
73,2.66,3963.0,,2.91,3963.0,,10.88,5550.0,,4.27,5517.0,,1002.82,9276.0
74,3000.61,3963.0,,2.44,3963.0,,11.81,5550.0,,4.2,5517.0,,2.77,5485.0
75,3.17,6664.0,,2.22,3963.0,,11.24,5550.0,,6.28,5517.0,,2.28,5485.0
76,2.58,6487.0,,2.3,3963.0,,10.3,5550.0,,5.06,5517.0,,2.84,5485.0
77,2.5,3963.0,,2.81,3963.0,,10.4,5550.0,,4.72,14825.0,,2.33,5485.0
78,1001.96,3963.0,,3.33,3963.0,,10.97,5550.0,,1030.06,9772.0,,3.37,5485.0
79,3.34,5225.0,,2.22,3963.0,,13.87,5550.0,,4.36,5517.0,,2.74,5485.0
80,2.9,3963.0,,2.4,3963.0,,11.09,5550.0,,4.49,5517.0,,2.57,5485.0
81,2.78,5225.0,,2.89,3963.0,,11.35,5550.0,,4.36,9772.0,,1002.99,5485.0
82,2.65,3963.0,,2.53,3963.0,,16.87,5550.0,,4.42,5517.0,,3.4,5485.0
83,3001.75,3963.0,,3.12,3963.0,,11.3,5550.0,,5.38,5517.0,,2.73,5485.0
84,2.85,3963.0,,3.14,6487.0,,11.06,9838.0,,5.79,5517.0,,2.94,5485.0
85,2.69,3963.0,,2.25,5225.0,,11.68,5550.0,,5.19,9308.0,,3.19,5485.0
86,1002.23,3963.0,,2.52,3963.0,,14.18,5550.0,,1004.55,5517.0,,2.74,5485.0
87,3.37,3963.0,,2.48,3963.0,,11.02,5550.0,,5.76,5517.0,,2.93,5485.0
88,1003.23,5225.0,,2.58,9011.0,,11.05,9838.0,,5.77,5517.0,,2.94,5485.0
89,2.76,3963.0,,2.52,3963.0,,10.17,9838.0,,4.42,5517.0,,2.85,5485.0
90,3.08,5225.0,,2.86,3963.0,,16.58,5550.0,,4.44,5517.0,,2.67,9276.0
91,2.93,3963.0,,2999.97,3963.0,,14.73,14711.0,,5.01,5517.0,,2.64,5485.0
92,2.86,3963.0,,1001.59,3963.0,,10.68,5550.0,,4.15,5517.0,,2.83,5485.0
93,3.33,3963.0,,2.72,3963.0,,10.43,9838.0,,4.25,5517.0,,3.19,5485.0
94,2.93,3963.0,,2.18,6664.0,,10.31,5550.0,,4.33,5517.0,,2.73,5485.0
95,1003.27,3963.0,,3075.38,3963.0,,10.46,5550.0,,4.23,5517.0,,3.46,5485.0
96,3.52,3963.0,,2.25,3963.0,,11.05,5550.0,,1006.91,5517.0,,2.9,5485.0
97,1001.85,3963.0,,2.51,5225.0,,10.17,10191.0,,4.38,5517.0,,3.45,5485.0
98,2.6,3963.0,,2.8,3963.0,,1013.22,5550.0,,4.83,5517.0,,1003.42,5485.0
99,2.51,3963.0,,2.88,3963.0,,11.55,9838.0,,4.29,5517.0,,2.94,10538.0
100,2.8,3963.0,,2.45,3963.0,,10.57,9838.0,,4.41,10523.0,,3.27,5485.0
101,3.83,5225.0,,2.71,3963.0,,10.93,5550.0,,4.09,11832.0,,2.42,5485.0
102,2.74,3963.0,,2.2,3963.0,,10.34,5550.0,,4.17,9772.0,,2.56,5485.0
103,2.83,3963.0,,2.84,5225.0,,10.63,5550.0,,4.17,9772.0,,2.91,5485.0
104,2.5,3963.0,,2.63,3963.0,,11.95,5550.0,,4.13,5517.0,,2.51,11800.0
105,3.21,3963.0,,1002.21,3963.0,,1066.47,5550.0,,4.05,5517.0,,2.63,5485.0
106,2.62,5225.0,,2.29,3963.0,,11.18,5550.0,,6.58,5517.0,,3.53,5485.0
107,2.64,3963.0,,2.24,3963.0,,10.36,5550.0,,4.39,10570.0,,1003.89,5485.0
108,1003.58,5225.0,,2.44,3963.0,,11.31,18999.0,,5.67,5517.0,,2.81,5485.0
109,2.68,5225.0,,2.27,5225.0,,10.55,5550.0,,5.18,5517.0,,2.83,9276.0
110,3.27,3963.0,,2.58,3963.0,,11.86,5550.0,,5.16,5517.0,,2.43,10538.0
111,2.67,3963.0,,1002.68,3963.0,,10.43,5550.0,,1003.76,5517.0,,2.62,10538.0
112,2.73,3963.0,,2.35,3963.0,,15.68,5550.0,,1005.62,5517.0,,1004.2,5485.0
113,1003.39,3963.0,,2.28,3963.0,,11.06,5550.0,,4.53,14825.0,,2.37,5485.0
114,2.63,3963.0,,2.86,3963.0,,11.01,5550.0,,4.27,5517.0,,2.72,5485.0
115,1002.51,3963.0,,2.43,3963.0,,10.96,5550.0,,4.27,5517.0,,2.98,10538.0
116,1003.21,3963.0,,2.59,6664.0,,10.44,9838.0,,6.14,5517.0,,2.56,5485.0
117,2.7,3963.0,,1003.01,3963.0,,12.24,5550.0,,4.37,5517.0,,1003.33,5485.0
118,2.56,3963.0,,2.27,3963.0,,10.23,5550.0,,5.01,5517.0,,1002.29,5485.0
119,3.1,3963.0,,2.22,3963.0,,1014.82,5550.0,,6.53,5517.0,,1003.01,5485.0
120,3.0,3963.0,,2.83,7926.0,,11.04,5550.0,,1004.89,9772.0,,2.85,5485.0
121,3.01,3963.0,,2.36,3963.0,,15.98,5550.0,,4.37,5517.0,,3.06,9708.0
122,2.67,3963.0,,2.3,3963.0,,11.15,5550.0,,4.32,5517.0,,2.92,9708.0
123,2.67,3963.0,,2.92,3963.0,,11.14,14711.0,,3.98,5517.0,,1002.8,5485.0
124,2.79,3963.0,,2.2,3963.0,,11.76,5550.0,,4.15,21928.0,,2.71,5485.0
125,2.57,3963.0,,2.38,3963.0,,10.7,5550.0,,4.22,5517.0,,2.35,13931.0
126,2.59,3963.0,,2.86,3963.0,,10.79,10191.0,,1004.18,5517.0,,3.17,5485.0
127,2.74,5225.0,,3.05,6664.0,,10.59,10556.0,,4.23,5517.0,,2.47,5485.0
128,2.51,3963.0,,3.12,3963.0,,13.22,5550.0,,5.06,5517.0,,2.31,10538.0
129,3.02,3963.0,,1002.49,3963.0,,12.52,5550.0,,4.53,5517.0,,2.85,5485.0
130,2.67,3963.0,,2.79,6664.0,,10.89,5550.0,,4.35,5517.0,,2.85,5485.0
131,2.83,3963.0,,3.03,3963.0,,10.62,5550.0,,5.17,5517.0,,3.33,13062.0
132,2.58,3963.0,,2.41,3963.0,,10.86,5550.0,,6.08,5517.0,,2.48,5485.0
133,2.76,3963.0,,2.4,3963.0,,10.7,5550.0,,4.25,5517.0,,2.54,10538.0
134,1002.76,3963.0,,2.47,5225.0,,10.58,5550.0,,4.13,5517.0,,2.31,9708.0
135,2.81,3963.0,,2.38,3963.0,,1012.67,10556.0,,4.83,5517.0,,2.65,5485.0
136,3.54,6664.0,,2.35,3963.0,,10.66,5550.0,,4.37,5517.0,,2.7,5485.0
137,2.73,6664.0,,2.42,3963.0,,12.88,5550.0,,4.3,5517.0,,2.33,5485.0
138,3.32,3963.0,,2.43,3963.0,,1066.33,5550.0,,4.23,5517.0,,2.54,5485.0
139,2.69,3963.0,,3.21,3963.0,,1009.8,5550.0,,1025.14,5517.0,,2.38,11800.0
140,2.71,3963.0,,3.54,3963.0,,10.6,5550.0,,4.21,5517.0,,1002.99,5485.0
141,2.69,3963.0,,2.82,3963.0,,10.57,5550.0,,4.28,5517.0,,2.38,5485.0
142,3.15,3963.0,,2.36,3963.0,,10.78,5550.0,,4.39,5517.0,,2.58,5485.0
143,3.05,3963.0,,2.9,3963.0,,15.37,5550.0,,4.89,5517.0,,1002.46,12715.0
144,2.72,3963.0,,2.55,3963.0,,11.69,5550.0,,4.23,12715.0,,2.58,5485.0
145,2.98,6664.0,,3.34,3963.0,,10.54,5550.0,,4.35,5517.0,,1002.4,5485.0
146,2.69,3963.0,,1001.88,3963.0,,10.84,5550.0,,4.07,5517.0,,2.91,5485.0
147,3.2,3963.0,,2.27,3963.0,,1009.92,5550.0,,4.75,5517.0,,3.08,10538.0
148,3.43,3963.0,,2.42,3963.0,,11.22,5550.0,,4.47,5517.0,,3.18,5485.0
149,2.84,3963.0,,2.33,3963.0,,10.78,5550.0,,4.9,10570.0,,2.62,5485.0
150,4.06,6664.0,,2.74,5225.0,,12.28,5550.0,,4.46,5517.0,,2.43,5485.0
151,3.41,3963.0,,2.44,3963.0,,10.65,5550.0,,4.3,5517.0,,3.08,5485.0
152,2.89,3963.0,,2.18,6664.0,,12.93,5550.0,,4.13,5517.0,,1003.41,5485.0
153,2.98,3963.0,,2.82,3963.0,,12.18,14711.0,,4.25,5517.0,,2.8,5485.0
154,3.13,3963.0,,2.41,3963.0,,16.82,5550.0,,4.27,5517.0,,2.77,5485.0
155,2.62,3963.0,,2.62,3963.0,,14.33,5550.0,,5.61,9772.0,,2.72,5485.0
156,3.31,3963.0,,2.9,3963.0,,10.47,5550.0,,4.38,5517.0,,1031.75,9708.0
157,2.77,3963.0,,2.37,3963.0,,10.33,5550.0,,5.77,5517.0,,2.61,5485.0
158,2.71,3963.0,,2.31,3963.0,,10.58,5550.0,,6.2,5517.0,,2.6,5485.0
159,3.56,3963.0,,2.34,3963.0,,10.54,5550.0,,1034.36,5517.0,,2.65,11453.0
160,3.69,3963.0,,2.31,5225.0,,15.45,14711.0,,4.59,5517.0,,1003.11,5485.0
161,3.04,6664.0,,2.33,6664.0,,11.06,5550.0,,4.7,14027.0,,2.6,9708.0
162,3.61,6664.0,,1002.61,3963.0,,10.37,5550.0,,4.9,5517.0,,2.38,5485.0
163,3.46,3963.0,,2.27,3963.0,,15.57,5550.0,,4.47,5517.0,,3.29,5485.0
164,2.68,3963.0,,2.38,5225.0,,11.34,5550.0,,1005.43,5517.0,,2.54,5485.0
165,3.52,3963.0,,2.3,3963.0,,1014.09,5550.0,,4.83,10570.0,,2.62,5485.0
166,2.79,3963.0,,2.7,3963.0,,11.29,5550.0,,4.59,5517.0,,2.55,5485.0
167,3.42,3963.0,,2.59,3963.0,,11.51,5550.0,,4.25,5517.0,,2.59,5485.0
168,2.54,6487.0,,2.42,3963.0,,11.82,5550.0,,4.34,14825.0,,2.42,5485.0
169,2.66,3963.0,,3.37,3963.0,,12.41,5550.0,,5.53,5517.0,,2.7,10538.0
170,3.01,3963.0,,2.22,3963.0,,12.04,5550.0,,4.17,5517.0,,2.9,16938.0
171,2.78,3963.0,,3.0,3963.0,,15.71,9838.0,,4.52,5517.0,,2.57,9276.0
172,3.47,3963.0,,3.1,6664.0,,1013.23,5550.0,,4.59,14825.0,,2.58,5485.0
173,2.63,7926.0,,1002.37,3963.0,,11.94,10556.0,,4.29,9772.0,,1032.93,5485.0
174,3.26,3963.0,,2.37,3963.0,,13.49,5550.0,,4.41,5517.0,,2.44,10450.0
175,3.1,3963.0,,2.32,3963.0,,15.29,5550.0,,4.63,5517.0,,3.33,5485.0
176,2.96,3963.0,,3.05,3963.0,,15.64,19132.0,,4.33,5517.0,,2.72,5485.0
177,3.25,3963.0,,2.58,3963.0,,10.78,11865.0,,4.62,5517.0,,3.02,5485.0
178,2.66,3963.0,,1002.53,3963.0,,10.89,5550.0,,4.1,9772.0,,2.94,5485.0
179,2.6,3963.0,,2.63,3963.0,,10.65,5550.0,,5.39,5517.0,,2.57,5485.0
180,2.98,3963.0,,2.38,3963.0,,12.59,5550.0,,4.51,5517.0,,3.32,5485.0
181,3001.18,3963.0,,2.95,3963.0,,12.53,5550.0,,5.14,5517.0,,2.91,9276.0
182,2.65,3963.0,,2.38,5225.0,,10.98,5550.0,,4.36,5517.0,,3.35,5485.0
183,2.95,3963.0,,3.1,3963.0,,12.31,14711.0,,1004.7,9772.0,,3.21,5485.0
184,3.2,3963.0,,2.31,3963.0,,14.11,5550.0,,4.25,5517.0,,1003.0,5485.0
185,2.47,3963.0,,2.83,3963.0,,13.18,5550.0,,5.15,5517.0,,2.74,11529.0
186,2.47,3963.0,,2.73,3963.0,,1011.36,5550.0,,1003.79,10570.0,,1030.82,5485.0
187,1001.87,3963.0,,2.21,3963.0,,10.54,5550.0,,5.07,14778.0,,1003.21,13499.0
188,2.55,5225.0,,2.29,3963.0,,11.98,5550.0,,4.15,5517.0,,2.42,5485.0
189,2.71,6664.0,,2.31,3963.0,,10.45,5550.0,,4.23,5517.0,,2.89,5485.0
190,2.65,3963.0,,2.31,3963.0,,10.43,5550.0,,4.16,5517.0,,3000.15,5485.0
191,2.52,6664.0,,2.18,3963.0,,1010.23,5550.0,,5.96,5517.0,,2.65,5485.0
192,3.54,3963.0,,2.61,3963.0,,1009.86,11768.0,,1004.62,10570.0,,2.42,5485.0
193,2.69,3963.0,,4.18,3963.0,,14.81,5550.0,,4.38,5517.0,,2.57,9708.0
194,3.0,3963.0,,2.6,6664.0,,12.58,5550.0,,4.03,5517.0,,2.44,13062.0
195,2.5,3963.0,,2.99,3963.0,,11.97,5550.0,,4.26,5517.0,,3.17,5485.0
196,2.52,3963.0,,2.43,6664.0,,10.57,9838.0,,4.04,12715.0,,3.2,5485.0
197,3.02,3963.0,,1002.36,3963.0,,10.62,5550.0,,5.09,9772.0,,1003.57,5485.0
198,3.14,6664.0,,2.26,6664.0,,1016.8,5550.0,,4.27,14825.0,,2.71,5485.0
199,3.23,3963.0,,2.18,3963.0,,10.47,5550.0,,4.52,5517.0,,2.54,5485.0
200,2.85,3963.0,,2.27,3963.0,,10.46,9838.0,,4.9,5517.0,,2.49,5485.0
201,3.15,5225.0,,3.23,3963.0,,10.59,5550.0,,4.32,5517.0,,3001.46,5485.0
202,1002.43,3963.0,,2.42,3963.0,,10.76,5550.0,,4.56,5517.0,,2.42,5485.0
203,2.68,3963.0,,2.96,3963.0,,13.15,5550.0,,4.25,5517.0,,2.65,5485.0
204,2.56,3963.0,,2.38,3963.0,,15.64,5550.0,,4.29,5517.0,,1003.29,5485.0
205,2.55,3963.0,,3.03,5225.0,,10.93,5550.0,,4.27,5517.0,,2.93,5485.0
206,2.78,3963.0,,2.25,7926.0,,11.01,5550.0,,4.12,5517.0,,3.44,5485.0
207,3.09,6664.0,,2.21,3963.0,,1036.18,5550.0,,5.26,5517.0,,3.15,5485.0
208,3.24,3963.0,,2.12,3963.0,,11.44,5550.0,,5.24,5517.0,,2.52,5485.0
209,2.8,3963.0,,2.35,3963.0,,10.66,5550.0,,1004.4,5517.0,,2.65,5485.0
210,2.65,3963.0,,2.59,3963.0,,10.82,5550.0,,1004.1,5517.0,,3.05,5485.0
211,2.47,3963.0,,2.33,3963.0,,10.41,5550.0,,4.21,5517.0,,3.06,5485.0
212,3.41,3963.0,,2.48,3963.0,,10.72,31117.0,,4.05,5517.0,,1003.54,5485.0
213,2.6,3963.0,,2.37,7926.0,,16.05,5550.0,,4.12,5517.0,,2.75,5485.0
214,2.59,3963.0,,2.62,3963.0,,10.47,5550.0,,4.19,5517.0,,2.61,5485.0
215,2.45,5225.0,,2.44,3963.0,,10.76,5550.0,,4.24,5517.0,,2.64,11706.0
216,3.5,3963.0,,2.41,6664.0,,14.33,5550.0,,1005.28,5517.0,,2.43,5485.0
217,2.77,3963.0,,2.38,3963.0,,13.4,5550.0,,4.33,5517.0,,3.48,5485.0
218,1001.88,5225.0,,2.81,3963.0,,14.61,5550.0,,4.72,5517.0,,2.86,5485.0
219,2.63,5225.0,,2.37,3963.0,,16.19,5550.0,,4.85,5517.0,,2.5,5485.0
220,2.6,7926.0,,2.81,3963.0,,12.29,5550.0,,1032.95,5517.0,,3.23,5485.0
221,2.66,3963.0,,2.3,3963.0,,14.28,5550.0,,4.45,5517.0,,2.52,5485.0
222,2.63,3963.0,,2.37,3963.0,,10.61,5550.0,,4.16,5517.0,,2.7,9708.0
223,3.09,3963.0,,1001.81,3963.0,,10.26,5550.0,,4.08,5517.0,,3.67,5485.0
224,3.21,3963.0,,3.15,3963.0,,10.37,5550.0,,1004.59,5517.0,,2.88,5485.0
225,2.44,3963.0,,1002.62,6664.0,,14.93,5550.0,,4.39,5517.0,,3.09,5485.0
226,2.48,5225.0,,2.34,5225.0,,11.26,5550.0,,4.64,5517.0,,3.47,10538.0
