frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","0e:d4:68:8b:21:8d","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.059686526","42","0e:d4:68:8b:21:8d","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.059712845","42","5e:4e:86:1b:ae:1b","0e:d4:68:8b:21:8d",,,"ARP","172.20.0.2 is at 5e:4e:86:1b:ae:1b"
"4","0.059728882","2482","0e:d4:68:8b:21:8d","5e:4e:86:1b:ae:1b","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b5418babd53efc8b, PKN: 1, CRYPTO, PADDING"
"5","0.073724448","2815","5e:4e:86:1b:ae:1b","0e:d4:68:8b:21:8d","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=73a17f59d02533e62d"
"6","0.079001737","177","0e:d4:68:8b:21:8d","5e:4e:86:1b:ae:1b","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=73a17f59d02533e62d"
"7","0.079225723","1262","5e:4e:86:1b:ae:1b","0e:d4:68:8b:21:8d","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.123399398","2482","0e:d4:68:8b:21:8d","5e:4e:86:1b:ae:1b","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f99f525be27307db, PKN: 1, CRYPTO, PADDING"
"9","0.127441541","2815","5e:4e:86:1b:ae:1b","0e:d4:68:8b:21:8d","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=12ed692bdb30cea548"
"10","0.132416622","177","0e:d4:68:8b:21:8d","5e:4e:86:1b:ae:1b","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=12ed692bdb30cea548"
"11","0.132544459","1262","5e:4e:86:1b:ae:1b","0e:d4:68:8b:21:8d","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.181379714","2482","0e:d4:68:8b:21:8d","5e:4e:86:1b:ae:1b","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=358f64949bfaa182, PKN: 1, CRYPTO, PADDING"
"13","0.187912695","2815","5e:4e:86:1b:ae:1b","0e:d4:68:8b:21:8d","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=5481b0894c52a4c526"
"14","0.193365241","177","0e:d4:68:8b:21:8d","5e:4e:86:1b:ae:1b","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=5481b0894c52a4c526"
"15","0.193536225","1262","5e:4e:86:1b:ae:1b","0e:d4:68:8b:21:8d","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.247081976","2482","0e:d4:68:8b:21:8d","5e:4e:86:1b:ae:1b","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9d431842a482907c, PKN: 1, CRYPTO, PADDING"
