Handshake_ID,P-384_Time_ms,P-384_Bytes_Total,2,x448_Time_ms,x448_Bytes_Total,5,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,8,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,11,mlkem768_Time_ms,mlkem768_Bytes_Total
1,8.84,3963.0,,7.08,3963.0,,21.18,6403.0,,12.23,6403.0,,6.84,5951.0
2,6.65,3963.0,,4.99,3963.0,,19.98,6403.0,,9.66,6403.0,,4.55,5950.0
3,6.46,3963.0,,4.84,3963.0,,15.94,6403.0,,9.12,6403.0,,4.27,5952.0
4,7.11,3963.0,,5.04,3963.0,,17.27,6403.0,,7.84,6403.0,,4.09,5952.0
5,6.43,3963.0,,5.03,3963.0,,14.71,6403.0,,8.34,6403.0,,3.9,5952.0
6,6.59,3963.0,,6.08,3963.0,,14.91,6403.0,,7.62,6403.0,,6.61,5951.0
7,6.64,3963.0,,5.78,3963.0,,16.86,6403.0,,7.83,6403.0,,4.24,5951.0
8,8.49,3963.0,,5.8,3963.0,,14.94,6403.0,,9.28,6403.0,,4.22,5952.0
9,7.79,3963.0,,5.69,3963.0,,13.93,6403.0,,10.36,6403.0,,5.73,5950.0
10,6.5,3963.0,,6.41,3963.0,,15.1,6403.0,,7.46,6403.0,,4.32,5952.0
11,6.35,3963.0,,4.61,3963.0,,15.36,6403.0,,6.95,6403.0,,4.25,5951.0
12,6.53,3963.0,,4.83,3963.0,,17.29,6403.0,,7.54,6403.0,,4.2,5950.0
13,7.11,3963.0,,4.93,3963.0,,20.66,6403.0,,7.42,6403.0,,4.38,5952.0
14,8.02,3963.0,,5.12,3963.0,,15.6,6403.0,,7.84,6403.0,,4.99,5950.0
15,7.13,3963.0,,4.88,3963.0,,14.36,6403.0,,7.35,6403.0,,4.36,5951.0
16,8.11,3963.0,,4.53,3963.0,,15.61,6403.0,,7.43,6403.0,,4.27,5952.0
17,6.83,3963.0,,4.61,3963.0,,15.03,6403.0,,8.66,6403.0,,4.27,5951.0
18,1006.59,5225.0,,1005.49,5225.0,,14.53,6403.0,,7.4,6403.0,,4.08,5952.0
19,6.86,3963.0,,4.67,3963.0,,14.0,6403.0,,7.14,6403.0,,5.91,5951.0
20,9.38,3963.0,,4.54,3963.0,,14.9,6403.0,,7.97,6403.0,,5.58,5951.0
21,6.36,3963.0,,4.63,6664.0,,14.28,6403.0,,7.63,6403.0,,5.26,5951.0
22,6.11,3963.0,,4.5,3963.0,,14.01,6403.0,,7.43,6403.0,,4.11,5951.0
23,8.35,3963.0,,6.04,3963.0,,14.5,6403.0,,8.83,6403.0,,4.74,5951.0
24,6.11,3963.0,,4.6,3963.0,,14.55,6403.0,,1009.28,17357.0,,4.38,5952.0
25,6.1,3963.0,,6.62,3963.0,,14.85,6403.0,,6.85,6403.0,,6.29,5951.0
26,6.25,3963.0,,4.48,3963.0,,14.17,6403.0,,7.33,6403.0,,4.3,5952.0
27,7.32,3963.0,,5.06,6664.0,,15.12,6403.0,,7.01,6403.0,,5.02,5952.0
28,7.82,3963.0,,4.83,3963.0,,14.6,6403.0,,7.51,6403.0,,4.21,5951.0
29,6.28,3963.0,,4.65,3963.0,,14.67,6403.0,,6.96,6403.0,,4.37,5952.0
30,7.42,3963.0,,4.63,3963.0,,16.98,6403.0,,7.41,6403.0,,4.11,5950.0
31,7.2,3963.0,,4.71,3963.0,,14.31,6403.0,,7.11,11544.0,,4.46,5950.0
32,6.85,3963.0,,5.78,3963.0,,14.92,6403.0,,7.38,6403.0,,4.0,5951.0
33,6.58,3963.0,,6.29,6664.0,,14.56,6403.0,,8.29,6403.0,,6.4,5952.0
34,6.32,3963.0,,5.62,3963.0,,14.53,6403.0,,7.32,6403.0,,4.9,5951.0
35,7.03,3963.0,,4.63,3963.0,,14.9,6403.0,,8.28,6403.0,,4.29,5951.0
36,9.05,3963.0,,6.54,3963.0,,1033.32,19882.0,,6.93,6403.0,,1003.32,9696.0
37,6.09,3963.0,,4.73,3963.0,,15.31,6403.0,,7.09,6403.0,,4.73,5950.0
38,6.54,6664.0,,4.64,3963.0,,15.13,6403.0,,7.63,6403.0,,4.08,5952.0
39,6.21,3963.0,,4.72,9365.0,,15.69,6403.0,,7.33,6403.0,,4.41,5950.0
40,5.96,3963.0,,5.1,3963.0,,18.01,6403.0,,7.38,6403.0,,5.37,5952.0
41,6.0,3963.0,,5.48,3963.0,,22.67,6403.0,,7.26,6403.0,,4.16,5950.0
42,6.17,3963.0,,5.0,3963.0,,14.24,6403.0,,6.78,6403.0,,5.9,5952.0
43,6.71,3963.0,,4.57,6664.0,,14.02,11544.0,,7.13,6403.0,,6.47,5951.0
44,6.29,3963.0,,5.41,3963.0,,14.59,17357.0,,7.56,6403.0,,4.64,5951.0
45,6.0,3963.0,,5.86,3963.0,,1017.51,6403.0,,6.98,6403.0,,5.3,5952.0
46,5.96,3963.0,,4.64,3963.0,,14.74,6403.0,,6.95,6403.0,,4.09,5952.0
47,6.47,3963.0,,4.57,3963.0,,15.82,6403.0,,6.94,6403.0,,4.09,5950.0
48,7.36,3963.0,,5.21,3963.0,,15.81,6403.0,,7.38,6403.0,,4.21,5951.0
49,6.77,5225.0,,4.81,3963.0,,19.35,6403.0,,7.1,6403.0,,4.16,5950.0
50,1006.42,3963.0,,5.87,3963.0,,16.5,6403.0,,7.39,6403.0,,4.14,5951.0
51,6.8,3963.0,,6.45,3963.0,,20.22,6403.0,,7.17,6403.0,,4.08,5952.0
52,6.16,3963.0,,5.73,3963.0,,17.75,6403.0,,7.51,6403.0,,4.22,5951.0
53,6.15,5225.0,,4.68,3963.0,,14.39,6403.0,,7.22,6403.0,,3.95,5951.0
54,1007.27,5225.0,,4.77,3963.0,,14.18,6403.0,,7.15,6403.0,,1003.54,9694.0
55,1006.54,3963.0,,5.29,3963.0,,14.67,6403.0,,9.13,6403.0,,5.72,5952.0
56,6.38,3963.0,,6.04,3963.0,,14.3,6403.0,,7.39,6403.0,,4.26,10638.0
57,6.48,3963.0,,7.72,3963.0,,14.14,6403.0,,7.35,11544.0,,4.03,5952.0
58,6.03,3963.0,,5.8,3963.0,,14.49,6403.0,,7.73,6403.0,,4.09,9695.0
59,6.29,3963.0,,8.65,3963.0,,17.0,6403.0,,8.48,6403.0,,1003.53,5951.0
60,6.77,3963.0,,4.97,3963.0,,14.39,6403.0,,7.02,6403.0,,4.52,5951.0
61,6.27,3963.0,,4.75,5225.0,,19.55,6403.0,,7.58,6403.0,,4.26,5950.0
62,7.18,3963.0,,4.43,3963.0,,15.87,6403.0,,6.87,6403.0,,4.02,10639.0
63,7.99,3963.0,,4.99,3963.0,,14.09,6403.0,,6.83,6403.0,,4.81,5952.0
64,6.51,3963.0,,4.71,5225.0,,14.97,6403.0,,7.14,11544.0,,4.21,5952.0
