Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
1,8.89,3963.0,,25.27,6736.0,,8.15,6603.0
2,8.33,3963.0,,14.76,6736.0,,5.74,6603.0
3,7.2,3963.0,,17.68,6736.0,,4.53,6603.0
4,8.21,3963.0,,21.8,6735.0,,4.34,6603.0
5,6.6,3963.0,,14.81,6736.0,,4.35,6602.0
6,8.67,3963.0,,18.8,6736.0,,4.36,6602.0
7,6.5,3963.0,,14.87,6736.0,,4.45,6602.0
8,6.31,3963.0,,14.62,6734.0,,4.15,6602.0
9,6.59,3963.0,,15.01,6735.0,,4.16,6602.0
10,6.82,3963.0,,17.07,6735.0,,5.77,6603.0
11,8.14,3963.0,,20.43,6735.0,,5.32,6603.0
12,7.67,3963.0,,14.62,6736.0,,5.97,6603.0
13,6.39,3963.0,,14.62,6736.0,,4.73,6603.0
14,6.39,3963.0,,14.99,6735.0,,4.5,6603.0
15,8.71,3963.0,,14.31,6735.0,,4.49,6603.0
16,7.52,3963.0,,15.62,6736.0,,5.61,6603.0
17,6.38,3963.0,,14.16,6736.0,,4.62,6603.0
18,7.06,3963.0,,1016.72,17467.0,,5.63,6602.0
19,8.14,3963.0,,15.62,6735.0,,4.71,6602.0
20,1005.94,5225.0,,14.49,12210.0,,5.44,6603.0
21,8.06,3963.0,,20.34,6736.0,,4.5,6601.0
22,6.81,3963.0,,15.11,6735.0,,5.88,6603.0
23,6.45,3963.0,,14.47,6736.0,,4.4,6602.0
24,6.6,3963.0,,14.59,6736.0,,4.38,6603.0
25,9.54,3963.0,,14.7,6735.0,,6.18,11944.0
26,6.48,3963.0,,17.86,6736.0,,4.54,6603.0
27,8.22,3963.0,,14.61,6736.0,,4.35,6602.0
28,1006.79,5225.0,,14.39,6735.0,,4.35,6603.0
29,7.31,3963.0,,22.15,6736.0,,4.41,6601.0
