frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","ba:34:b2:d5:63:3a","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.054730532","42","ba:34:b2:d5:63:3a","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.054810775","42","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a",,,"ARP","172.20.0.2 is at 0a:a2:e0:bf:1e:21"
"4","0.054821994","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=d31c23ba5aa6454a, PKN: 1, CRYPTO, PADDING"
"5","0.056821053","1564","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ec2b4028367f3e5450"
"6","0.058119947","177","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=ec2b4028367f3e5450"
"7","0.058247169","1262","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.102145996","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=35e126d9ea7e13c2, PKN: 1, CRYPTO, PADDING"
"9","0.103350617","1564","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=b67ee4255cf94dad02"
"10","0.104633483","177","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=b67ee4255cf94dad02"
"11","0.104776646","1262","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.157334921","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=4f485aac41a6f01f, PKN: 1, CRYPTO, PADDING"
"13","0.159133907","1564","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ef3e8db69c4b248a70"
"14","0.160689732","177","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=ef3e8db69c4b248a70"
"15","0.160894226","1262","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.205192073","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=d25eec80fc366db7, PKN: 1, CRYPTO, PADDING"
"17","0.206302357","1564","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c74efbeff116565c8d"
"18","0.207349032","177","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c74efbeff116565c8d"
"19","0.207450837","1262","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.250070102","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=111060249e19d45e, PKN: 1, CRYPTO, PADDING"
"21","0.251072336","1564","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4ef45b9ab370167625"
"22","0.252269552","177","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4ef45b9ab370167625"
"23","0.252413100","1262","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.290560052","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=823d198c1864e195, PKN: 1, CRYPTO, PADDING"
"25","0.291482986","1564","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4cd7ca63e8723234cf"
"26","0.292727681","177","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4cd7ca63e8723234cf"
"27","0.292835609","1262","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.327335381","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=fb9bc3e9972a41bf, PKN: 1, CRYPTO, PADDING"
"29","0.328608291","1564","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e0c738aec38be99d20"
"30","0.329703146","177","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e0c738aec38be99d20"
"31","0.329819944","1262","0a:a2:e0:bf:1e:21","ba:34:b2:d5:63:3a","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.366216871","2482","ba:34:b2:d5:63:3a","0a:a2:e0:bf:1e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=216d187ba67b2b46, PKN: 1, CRYPTO, PADDING"
