frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","287","f2:e4:12:77:17:9f","ff:ff:ff:ff:ff:ff","172.20.0.1","172.20.255.255","BROWSER","Host Announcement , Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Potential Browser, DFS server"
"2","38.636249899","42","02:9d:4d:af:7c:44","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"3","38.705160319","42","02:9d:4d:af:7c:44","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"4","38.705198512","42","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44",,,"ARP","172.20.0.2 is at fa:c9:e0:48:5c:58"
"5","38.705208069","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=81bb2733c53eb5cf, PKN: 1, CRYPTO, PADDING"
"6","38.712984557","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=13019c47d37fcc7a22"
"7","38.716006365","177","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=13019c47d37fcc7a22"
"8","38.716152752","1262","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"9","38.768236190","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=803e9a07478a34c5, PKN: 1, CRYPTO, PADDING"
"10","38.770911596","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4db37d6e6cdeea3186"
"11","38.774120731","177","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4db37d6e6cdeea3186"
"12","38.774326922","1262","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"13","38.821446603","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=bbd383e1bc5c0d02, PKN: 1, CRYPTO, PADDING"
"14","38.823935202","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=6dd918334d32934760"
"15","38.828456442","177","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=6dd918334d32934760"
"16","38.828608356","1262","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"17","38.870806574","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=36cfec4f0635d85c, PKN: 1, CRYPTO, PADDING"
"18","38.873314243","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c53e1bd94bd0f1550f"
"19","38.876006702","177","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c53e1bd94bd0f1550f"
"20","38.876133673","1262","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"21","38.920280948","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=fa63f590a1b93501, PKN: 1, CRYPTO, PADDING"
"22","38.922816634","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a80d7fe1482c572279"
"23","38.925515034","177","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a80d7fe1482c572279"
"24","38.925663461","1262","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"25","38.974047037","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9511a1b9a4666c96, PKN: 1, CRYPTO, PADDING"
"26","38.976433230","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=464e1864cb6c212b65"
"27","38.979044019","177","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=464e1864cb6c212b65"
"28","38.979146671","1262","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"29","39.019633819","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7c61566d301fc942, PKN: 1, CRYPTO, PADDING"
"30","39.022585371","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=0473e3cfe296a7153c"
"31","39.025265993","177","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=0473e3cfe296a7153c"
"32","39.025449086","1262","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"33","39.070840377","2482","02:9d:4d:af:7c:44","fa:c9:e0:48:5c:58","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c3b8561e846b1c73, PKN: 1, CRYPTO, PADDING"
"34","39.073361863","1629","fa:c9:e0:48:5c:58","02:9d:4d:af:7c:44","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=46ca8796bda0f31fbd"
