frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","d6:cf:e8:ab:0c:28","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.063294697","42","d6:cf:e8:ab:0c:28","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.063341197","42","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28",,,"ARP","172.20.0.2 is at ee:a2:33:7d:b6:6c"
"4","0.063348793","2482","d6:cf:e8:ab:0c:28","ee:a2:33:7d:b6:6c","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=4fd41054e0095e62, PKN: 1, CRYPTO, PADDING"
"5","0.072945236","2482","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=81937b5e97b2c8cc27"
"6","0.078083208","177","d6:cf:e8:ab:0c:28","ee:a2:33:7d:b6:6c","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=81937b5e97b2c8cc27"
"7","0.078301451","1262","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.124263695","2482","d6:cf:e8:ab:0c:28","ee:a2:33:7d:b6:6c","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=bef6df4ecfbf0868, PKN: 1, CRYPTO, PADDING"
"9","0.129017844","2482","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a7539ed4003504caaf"
"10","0.134826174","177","d6:cf:e8:ab:0c:28","ee:a2:33:7d:b6:6c","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a7539ed4003504caaf"
"11","0.135133195","1262","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.179538649","2482","d6:cf:e8:ab:0c:28","ee:a2:33:7d:b6:6c","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=d42fe91812c76922, PKN: 1, CRYPTO, PADDING"
"13","0.184147960","2482","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=069358d03f12a9c8e6"
"14","0.189661015","177","d6:cf:e8:ab:0c:28","ee:a2:33:7d:b6:6c","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=069358d03f12a9c8e6"
"15","0.189935945","1262","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.229925209","2482","d6:cf:e8:ab:0c:28","ee:a2:33:7d:b6:6c","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=6e7ff983e61d7846, PKN: 1, CRYPTO, PADDING"
"17","0.236461350","2482","ee:a2:33:7d:b6:6c","d6:cf:e8:ab:0c:28","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e8ccbaa1c5815630d3"
