P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
3.93,4.39,20.1,7.08,3.77
2.48,2.54,11.83,5.45,2.94
2.42,2.42,16.09,5.54,3.86
2.36,3.12,10.38,4.66,2.46
2.79,3.66,10.42,4.63,2.6
2.62,3.23,10.86,5.1,2.57
2.7,2.83,12.5,4.49,2.65
2.59,3.3,10.32,5.82,2.52
2.15,2.95,11.05,5.47,2.19
2.12,2.71,12.97,5.95,2.61
2.2,3.32,15.77,5.22,2.61
2.24,3.51,12.21,4.42,2.3
3.37,3.13,11.9,5.22,2.68
2.21,3.38,16.45,5.67,2.78
2.44,2.85,15.26,5.49,2.44
2.24,2.73,12.23,4.74,2.42
2.43,2.29,12.41,6.0,2.39
3.28,2.66,16.02,5.74,3.23
2.32,2.77,12.28,4.39,3.2
3.51,2.13,13.78,4.25,1003.25
2.53,2.25,10.52,6.08,3.03
2.58,2.3,16.26,4.26,2.59
2.71,2.54,1014.56,4.76,3.82
2.52,2.5,11.04,4.79,2.75
2.58,2.35,10.53,5.08,2.83
3.17,2.5,11.64,5.75,2.57
2.38,2.21,12.28,4.61,2.59
2.2,2.59,13.36,5.94,3.36
2.19,2.47,15.95,5.62,2.96
2.69,2.02,1018.63,4.31,2.77
3.0,2.45,10.15,4.03,2.51
2.68,3.02,12.24,4.0,2.52
2.4,3.23,10.42,3.98,1002.4
2.48,2.33,15.84,4.1,2.78
1002.85,2.98,11.31,3.79,2.43
2.8,2.33,13.21,4.25,2.54
2.53,2.29,10.57,3.71,3.0
2.21,3.12,10.56,5.63,2.71
2.18,2.5,10.01,6.42,2.72
2.63,2.3,10.81,4.4,2.72
2.21,2.36,10.98,1033.3,3.38
2.46,2.99,11.92,5.55,1002.24
3.49,2.48,10.29,3.96,2.6
3.08,2.12,10.34,4.28,3.59
2.33,2.23,12.36,4.12,2.51
2.7,1.99,11.53,5.03,3.42
2.53,2.05,10.92,4.72,3.01
2.37,2.42,11.9,3.71,2.7
2.36,2.21,13.51,3.97,3.71
2.67,4.51,1018.45,4.05,2.52
2.37,1001.45,11.42,4.92,1002.7
3.11,2.47,10.53,4.29,3.92
2.83,2.13,13.91,5.17,2.75
2.47,2.6,10.2,4.78,2.67
2.22,2.34,10.67,4.41,3.33
2.54,3.59,15.82,4.25,2.63
2.43,2.04,10.95,4.2,2.65
2.32,1001.5,12.28,4.13,2.75
2.48,1001.48,10.77,4.45,2.62
2.49,2.8,15.6,5.96,1002.68
2.48,2.33,10.88,5.42,2.79
2.25,2.21,10.55,1003.75,2.24
2.93,2.29,12.39,5.13,2.97
3.62,2.23,10.79,4.52,2.57
2.36,3.06,12.48,6.05,3.66
3.23,2.64,15.86,5.92,2.32
2.58,2.34,11.95,5.87,3.2
2.32,2.83,11.26,5.47,2.44
2.25,2.9,10.64,6.18,3.25
2.19,3.67,10.47,4.26,2.35
2.36,2.27,10.71,5.03,2.71
2.21,2.94,10.61,6.43,2.9
2.31,2.97,10.49,4.42,2.59
2.23,2.34,10.64,4.34,2.83
2.28,2.59,10.6,4.85,2.68
2.43,2.18,15.43,5.63,3.32
2.41,2.75,1014.77,5.58,2.85
2.31,2.2,11.23,4.56,2.92
2.47,3.08,10.87,4.65,2.52
2.35,2.66,10.48,4.31,3.19
2.27,3.01,10.53,4.19,3.4
2.24,2.24,13.37,4.66,2.96
2.19,2.42,10.73,5.66,2.77
3.72,2.03,1009.88,5.12,2.47
2.49,2.23,10.59,5.17,2.35
3.27,2.05,10.7,4.66,3.15
3.09,2.75,11.91,4.24,2.57
2.35,2.23,10.46,4.27,2.49
2.63,2.29,10.91,4.88,2.5
2.45,2.03,10.64,4.38,1004.89
2.46,1.89,10.15,4.31,2.69
2.18,2.88,11.16,4.39,3.28
2.78,2.81,10.77,4.37,2.91
2.42,2.3,12.95,5.87,2.49
2.26,2.33,15.55,5.94,3.21
2.25,2.33,15.4,4.42,3.21
2.12,3.25,10.67,6.04,3.02
2.49,3.81,11.3,5.9,2.83
2.18,3.18,12.26,5.46,2.63
2.21,3.05,10.81,6.09,3.09
2.48,2.35,10.76,6.0,3.43
2.58,3.01,16.67,4.84,3.01
2.36,2.04,10.68,5.09,3.64
2.28,2.3,14.15,5.68,2.43
2.46,2.08,11.99,4.34,2.26
2.74,2.31,11.2,4.51,2.84
1002.63,2.31,16.16,4.37,2.43
2.38,2.94,14.99,6.05,2.58
3.69,2.83,15.69,3.98,3.29
2.39,2.62,15.51,1004.81,2.39
3.18,2.68,10.39,4.58,3.71
2.4,2.28,10.9,4.18,2.4
3.06,2.38,10.61,4.3,2.31
2.57,2.77,10.64,4.6,2.28
3.21,2.78,14.57,4.2,2.82
3.54,2.18,12.4,5.32,3.59
3.76,3.31,11.15,4.09,3.25
2.51,3.01,16.59,4.64,2.56
3.27,2.03,10.53,4.3,3.08
2.65,2.98,12.36,5.84,2.57
2.27,2.23,10.94,4.26,1003.24
2.28,1.98,14.94,4.42,3.03
