P-521,p521_mlkem1024,mlkem1024
8.89,25.27,8.15
8.33,14.76,5.74
7.2,17.68,4.53
8.21,21.8,4.34
6.6,14.81,4.35
8.67,18.8,4.36
6.5,14.87,4.45
6.31,14.62,4.15
6.59,15.01,4.16
6.82,17.07,5.77
8.14,20.43,5.32
7.67,14.62,5.97
6.39,14.62,4.73
6.39,14.99,4.5
8.71,14.31,4.49
7.52,15.62,5.61
6.38,14.16,4.62
7.06,1016.72,5.63
8.14,15.62,4.71
1005.94,14.49,5.44
8.06,20.34,4.5
6.81,15.11,5.88
6.45,14.47,4.4
6.6,14.59,4.38
9.54,14.7,6.18
6.48,17.86,4.54
8.22,14.61,4.35
1006.79,14.39,4.35
7.31,22.15,4.41
6.51,15.12,4.43
6.25,16.06,5.96
6.85,23.42,4.73
6.4,15.23,6.22
6.87,1017.42,4.59
8.23,19.09,5.58
8.01,19.23,4.32
6.56,16.87,5.72
7.92,22.16,5.61
8.5,16.72,4.26
6.34,22.32,4.76
8.28,18.13,6.68
6.03,14.73,4.46
6.48,21.76,4.31
6.42,18.06,4.37
6.45,15.82,5.95
7.96,15.39,4.34
1006.55,19.4,5.51
6.93,1015.23,4.92
7.78,15.12,4.51
8.03,19.5,4.54
8.98,15.04,5.38
8.42,23.79,4.44
7.51,16.92,6.13
6.17,15.07,4.82
7.12,20.09,4.23
1009.36,15.56,6.11
6.91,14.9,1013.34
6.1,15.49,4.34
1005.59,14.15,4.39
6.82,14.95,4.29
6.87,15.99,1010.26
6.26,18.18,4.38
8.4,18.85,4.43
9.32,17.45,4.74
6.66,14.57,1012.48
6.41,18.78,5.49
6.78,15.4,5.75
6.51,22.23,5.57
7.88,17.4,5.84
6.7,1021.81,4.65
7.29,17.57,1012.92
7.78,20.73,4.33
8.43,19.47,4.22
6.53,16.39,5.0
6.17,17.9,4.44
6.41,17.45,6.13
7.53,17.27,4.9
7.16,1023.23,4.43
6.24,15.4,5.2
6.15,17.4,4.59
6.34,21.64,4.22
7.92,15.19,4.46
6.28,20.58,4.28
6.17,14.02,4.78
6.08,14.97,4.51
6.07,21.85,4.51
6.13,22.04,5.81
8.72,21.32,4.34
7.98,17.2,4.47
8.38,15.01,5.38
6.28,15.21,4.25
6.36,16.9,4.53
9.03,15.06,1013.61
6.34,20.95,4.87
6.32,14.66,5.35
6.48,14.85,4.55
8.77,18.24,7.47
7.91,14.18,4.64
1007.66,1015.55,4.4
6.48,14.72,5.7
1007.16,22.23,4.0
9.61,14.48,6.09
7.76,20.88,5.02
7.33,21.4,4.43
8.51,22.71,6.25
9.02,15.01,5.03
7.91,19.33,4.23
6.77,22.5,4.57
8.48,18.28,4.27
6.37,17.49,5.97
6.61,14.61,4.13
10.32,1021.77,4.79
8.15,19.08,5.24
6.83,14.91,4.91
9.0,18.89,4.46
8.38,15.76,6.2
6.65,15.58,5.31
8.07,18.59,5.04
6.82,15.4,5.07
1006.53,14.51,4.23
6.25,16.79,4.27
10.18,18.55,4.42
8.18,16.56,4.34
10.52,14.69,5.79
6.18,14.65,4.39
6.18,14.65,5.04
7.36,21.09,4.25
6.4,14.2,4.22
6.26,14.74,4.29
8.03,14.49,4.46
9.67,14.73,4.38
8.74,18.79,4.51
6.24,16.98,4.29
6.58,21.34,1010.95
6.73,14.44,4.44
10.02,22.45,4.56
6.69,14.88,4.43
6.26,17.84,4.3
6.33,14.99,6.04
6.2,17.48,3.99
6.08,14.87,4.17
6.49,14.89,4.39
7.32,14.72,4.38
6.21,1016.74,4.26
6.26,17.03,4.09
6.15,15.35,4.1
6.18,22.05,1014.7
6.17,17.02,4.87
1007.26,16.62,6.18
8.01,14.49,4.22
6.82,18.49,4.41
7.91,16.62,4.7
6.06,20.62,4.45
6.84,1018.14,4.43
8.24,15.79,4.4
9.98,16.55,4.24
9.4,14.43,4.43
6.69,19.85,4.62
8.22,14.85,4.44
6.29,14.55,4.76
6.22,22.84,4.46
6.55,14.69,1013.11
7.22,1039.93,5.26
8.46,15.16,4.79
8.02,18.15,6.67
6.38,20.67,4.07
6.49,14.63,4.79
8.45,18.02,5.54
6.75,18.51,4.27
7.19,22.88,4.6
6.24,24.53,4.55
6.23,14.83,4.11
6.27,14.65,5.03
3005.14,14.59,5.59
1006.13,21.42,4.24
6.45,14.95,6.13
8.84,17.23,4.48
1005.96,20.94,4.29
6.57,20.04,5.02
6.11,14.7,5.98
6.28,14.77,5.03
6.47,21.39,4.82
6.48,14.54,4.84
6.55,18.21,4.96
6.71,22.31,5.78
6.69,14.69,4.38
6.37,15.39,5.1
6.22,14.06,4.51
6.14,20.86,6.41
6.14,20.87,4.81
6.08,17.22,4.74
6.31,14.95,3.93
6.23,14.98,4.32
6.28,15.1,3.96
8.48,24.7,6.11
6.36,15.96,4.19
6.3,18.28,4.45
8.07,1020.06,5.49
6.21,18.76,4.5
1005.91,18.8,4.95
6.42,15.46,4.45
6.3,18.8,4.21
6.51,22.26,4.4
7.51,15.2,4.44
6.32,16.53,4.32
6.36,17.52,4.19
9.82,1021.14,4.63
6.79,18.0,5.23
6.02,18.22,4.3
6.21,15.04,4.0
6.32,15.05,4.01
6.31,19.86,3.76
6.18,20.83,3.86
6.18,16.38,3.93
6.34,16.03,4.03
8.49,16.58,4.16
8.59,18.28,3.83
6.37,17.34,3.91
6.8,3023.13,3.93
6.33,15.76,4.71
7.94,24.89,3.98
6.11,25.28,4.1
6.13,14.26,4.1
6.62,1017.41,4.06
6.17,19.53,4.15
6.41,17.14,4.77
8.31,14.49,4.33
5.98,15.33,5.14
6.32,14.73,4.12
6.67,15.27,3.91
7.81,18.82,4.23
6.33,15.46,3.99
6.29,17.88,5.12
5.96,14.58,4.15
7.13,20.64,4.27
6.34,1017.3,4.18
6.02,16.24,4.14
1006.7,14.35,4.08
7.4,14.4,4.15
6.07,19.3,3.91
9.22,17.55,5.81
6.08,14.94,6.18
5.84,14.77,4.07
6.33,16.05,4.85
6.36,15.29,4.59
8.28,14.5,4.95
7.81,21.15,5.03
6.48,22.35,4.04
1006.14,20.5,5.03
6.12,14.9,5.31
5.98,14.68,4.57
8.08,15.91,5.68
6.38,14.53,4.82
6.18,15.42,5.61
6.34,14.89,6.76
6.37,19.63,4.12
9.09,19.34,4.1
6.21,24.93,4.38
7.5,14.26,4.18
5.99,13.84,4.99
6.04,14.94,4.87
6.12,20.35,4.7
6.16,14.41,4.53
6.1,14.9,4.36
6.12,21.35,4.02
7.22,20.5,4.79
7.86,14.48,4.47
8.78,17.38,4.25
6.02,15.22,5.18
8.13,17.32,6.86
6.6,1019.34,4.38
6.33,19.29,4.35
6.01,26.23,5.13
6.26,22.89,4.78
5.96,20.3,3.99
6.12,14.42,4.27
6.11,14.37,4.45
7.66,14.33,4.02
7.97,16.55,4.47
8.51,14.35,4.45
6.92,14.27,4.58
6.32,15.47,4.22
1006.12,22.18,4.04
6.11,15.29,4.02
7.05,1052.87,4.78
5.84,14.98,5.78
5.89,17.6,3.92
7.54,15.62,3.88
6.37,14.24,4.16
8.86,18.61,5.06
7.74,14.81,4.56
6.2,14.65,4.11
5.99,14.68,3.99
7.46,14.22,4.73
7.27,14.98,4.36
6.34,14.67,6.0
6.08,22.58,1031.51
6.36,14.59,4.36
3004.79,21.02,4.95
5.98,15.01,4.81
6.71,14.55,4.74
6.84,14.69,1030.98
9.39,15.12,4.23
6.4,21.19,4.28
5.81,14.54,3.9
8.7,14.67,4.18
5.84,24.47,3.98
6.52,22.84,5.79
6.72,17.07,1012.38
6.01,14.2,3.93
6.05,14.32,3.92
8.91,14.28,3.89
6.26,20.85,4.0
8.0,15.33,4.03
6.07,14.92,4.1
6.63,14.54,4.27
1005.96,1015.06,4.91
6.2,21.28,4.57
6.25,14.44,4.01
6.4,15.16,4.14
5.91,14.78,4.22
6.26,14.97,4.3
1005.71,14.7,4.22
6.5,14.54,4.28
7.85,22.59,4.14
6.31,17.6,4.09
1006.12,14.98,3.84
6.44,14.62,3.93
8.05,18.31,3.83
6.97,14.51,3.95
7.77,21.46,4.39
6.69,13.86,4.31
1006.32,20.57,4.15
7.61,14.45,4.17
8.83,14.07,3.87
8.62,14.95,4.33
6.5,14.18,4.0
7.6,23.75,4.77
6.03,14.35,4.17
8.35,14.86,4.13
7.11,15.03,3.95
6.88,14.8,3.91
11.82,14.65,4.11
9.15,21.86,4.25
7.37,21.15,4.15
5.93,22.32,4.04
5.99,14.67,1010.44
6.96,22.77,3.95
7.15,1017.2,6.25
6.65,17.07,4.88
6.44,14.09,4.14
7.3,14.54,4.04
6.97,1025.1,3.99
6.58,15.65,3.92
6.6,19.51,3.89
7.47,14.6,3.87
6.47,15.0,6.86
8.58,20.4,4.28
6.24,23.5,4.99
5.92,22.3,4.2
6.29,15.04,4.12
6.38,15.31,4.25
6.46,14.69,4.92
6.58,14.11,4.91
6.08,15.73,4.99
6.66,1042.55,4.09
6.55,14.26,4.17
6.08,14.11,1008.44
6.47,18.69,4.1
7.12,14.51,3.92
7.97,1026.65,4.44
7.73,16.49,4.17
6.22,14.44,6.83
6.66,18.43,4.3
6.05,15.98,5.05
6.0,1016.49,4.11
6.55,21.35,4.12
6.81,14.87,4.24
1005.87,14.16,4.81
8.63,23.13,3.94
6.17,25.83,4.22
8.34,15.19,4.05
6.22,13.9,4.0
6.56,22.0,3.9
6.21,14.57,3.78
6.29,18.42,3.97
6.22,14.23,4.21
5.96,14.27,4.19
6.08,19.41,4.09
6.21,22.6,4.11
7.77,14.9,4.24
5.85,18.23,4.98
1005.62,24.4,4.53
6.61,14.42,3.87
1005.4,20.68,4.12
6.51,14.56,3.89
9.38,14.75,4.13
6.22,14.91,4.22
6.13,15.34,6.08
7.49,14.56,5.68
8.13,15.22,3.86
6.65,21.52,4.01
6.3,22.64,3.96
6.18,1016.66,4.57
6.12,15.03,3.98
5.97,21.3,4.11
6.44,17.57,4.59
5.74,14.56,4.12
5.97,15.08,4.4
6.06,14.81,3.89
6.13,13.89,3.91
7.0,17.34,6.65
6.08,14.68,4.65
9.36,14.57,4.0
6.31,14.38,4.03
6.23,21.74,3.92
7.71,20.85,3.96
5.81,15.45,4.06
5.69,15.95,4.2
6.36,14.95,4.02
8.95,17.07,3.94
6.0,14.21,3.85
5.8,18.0,3.97
1005.74,14.7,4.09
6.22,14.11,3.92
7.79,21.0,3.93
6.78,15.3,4.38
1005.84,15.07,6.56
5.84,15.14,5.2
6.4,15.44,3.97
6.36,14.32,4.04
6.02,24.19,3.92
6.22,17.08,4.21
6.09,14.57,3.95
5.97,14.86,3.85
7.61,1039.24,4.14
6.35,21.6,3.9
6.59,24.7,4.29
6.38,16.05,3.87
5.82,23.09,4.78
9.82,20.22,3.92
8.81,16.4,4.3
6.59,19.3,4.4
6.12,15.87,3.89
5.97,17.86,3.82
