frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","70","f6:ed:3f:fe:6c:e3","33:33:00:00:00:02",,,"ICMPv6","Router Solicitation from f6:ed:3f:fe:6c:e3"
"2","1.105420634","239","f6:ed:3f:fe:6c:e3","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"3","6.519660889","42","56:9b:a1:8b:ab:25","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"4","6.572080904","42","56:9b:a1:8b:ab:25","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"5","6.572109769","42","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25",,,"ARP","172.20.0.2 is at a6:6c:6d:8c:3d:5e"
"6","6.572117375","1262","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=2753f9c4c9d6aff3, PKN: 0, CRYPTO, PADDING"
"7","6.574912710","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ca0c350925e37cf6f5"
"8","6.575993897","177","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=ca0c350925e37cf6f5"
"9","6.576156639","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"10","6.612374445","1262","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=0e2c0f86218fe658, PKN: 0, CRYPTO, PADDING"
"11","6.613757494","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=29d2909a2d56f9f4d9"
"12","6.614830660","177","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=29d2909a2d56f9f4d9"
"13","6.614958406","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"14","6.652040000","1262","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7c97706e31c9b6a1, PKN: 0, CRYPTO, PADDING"
"15","6.653775076","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=8556be5761843fdb2c"
"16","6.654856647","177","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=8556be5761843fdb2c"
"17","6.655054139","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"18","6.690335405","1262","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f03d2bf949c952e8, PKN: 0, CRYPTO, PADDING"
"19","6.692032699","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ea4d975d6390f43d1c"
"20","6.693170104","177","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=ea4d975d6390f43d1c"
"21","6.693358559","1262","a6:6c:6d:8c:3d:5e","56:9b:a1:8b:ab:25","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"22","6.731649755","1262","56:9b:a1:8b:ab:25","a6:6c:6d:8c:3d:5e","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f59c04483a80c809, PKN: 0, CRYPTO, PADDING"
