frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","56:d8:64:aa:f7:14","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.068042606","42","56:d8:64:aa:f7:14","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.068081008","42","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14",,,"ARP","172.20.0.2 is at 92:a6:b1:a7:2f:0d"
"4","0.068096748","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=29e615dff10b00e9, PKN: 1, CRYPTO, PADDING"
"5","0.072084014","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=2eb8e09804a1a250d1"
"6","0.073815390","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=2eb8e09804a1a250d1"
"7","0.073966470","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.120894563","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=eca99e349e0bd5d7, PKN: 1, CRYPTO, PADDING"
"9","0.122232979","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=caa9ec3c64d3dafb3a"
"10","0.123907912","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=caa9ec3c64d3dafb3a"
"11","0.124053873","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.162266594","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=123028e5e9c11634, PKN: 1, CRYPTO, PADDING"
"13","0.163466908","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=0e998922efd81510c9"
"14","0.165417980","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=0e998922efd81510c9"
"15","0.165574507","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.206305910","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=d0fcd8d41d7b102a, PKN: 1, CRYPTO, PADDING"
"17","0.207431119","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=0e7aba7573219ee60a"
"18","0.208806272","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=0e7aba7573219ee60a"
"19","0.208910636","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.246424870","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b1b8ffe826cad9a3, PKN: 1, CRYPTO, PADDING"
"21","0.248355755","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=52baa0b257c8c9417a"
"22","0.250508462","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=52baa0b257c8c9417a"
"23","0.250672448","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.296062283","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=768713a540333f30, PKN: 1, CRYPTO, PADDING"
"25","0.297563367","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=686a9b44dfff84b30a"
"26","0.299755462","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=686a9b44dfff84b30a"
"27","0.299897505","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.347075859","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=37442f33e0a256ef, PKN: 1, CRYPTO, PADDING"
"29","0.348406456","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=879db01a34dd19bb12"
"30","0.349826578","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=879db01a34dd19bb12"
"31","0.349958085","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.396406562","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=4228686e70a38165, PKN: 1, CRYPTO, PADDING"
"33","0.397894780","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=d1960f0d83e9285a13"
"34","0.399263644","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=d1960f0d83e9285a13"
"35","0.399395133","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"36","0.439351295","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b1c1a2913e7fd057, PKN: 1, CRYPTO, PADDING"
"37","0.440895078","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=b5dca38f4457ca51a7"
"38","0.442297242","177","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=b5dca38f4457ca51a7"
"39","0.442409846","1262","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"40","0.487877742","2482","56:d8:64:aa:f7:14","92:a6:b1:a7:2f:0d","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=e15fd215ee04d1ff, PKN: 1, CRYPTO, PADDING"
"41","0.489283755","1596","92:a6:b1:a7:2f:0d","56:d8:64:aa:f7:14","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ad839ceda8c37bd1b1"
