frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","be:15:d4:18:a1:17","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.050800022","42","be:15:d4:18:a1:17","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.050824389","42","7e:40:b3:0d:4e:21","be:15:d4:18:a1:17",,,"ARP","172.20.0.2 is at 7e:40:b3:0d:4e:21"
"4","0.050830962","2482","be:15:d4:18:a1:17","7e:40:b3:0d:4e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=fbb4f83183525012, PKN: 1, CRYPTO, PADDING"
"5","0.052926799","2029","7e:40:b3:0d:4e:21","be:15:d4:18:a1:17","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c69c0a6c47fbb1323d"
"6","0.055153113","177","be:15:d4:18:a1:17","7e:40:b3:0d:4e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c69c0a6c47fbb1323d"
"7","0.055251916","1262","7e:40:b3:0d:4e:21","be:15:d4:18:a1:17","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.088243775","2482","be:15:d4:18:a1:17","7e:40:b3:0d:4e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=77f9dd7408e8b209, PKN: 1, CRYPTO, PADDING"
"9","0.089403312","2028","7e:40:b3:0d:4e:21","be:15:d4:18:a1:17","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c66bdd8eaedf931cf5"
"10","0.091579912","177","be:15:d4:18:a1:17","7e:40:b3:0d:4e:21","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c66bdd8eaedf931cf5"
"11","0.091670726","1262","7e:40:b3:0d:4e:21","be:15:d4:18:a1:17","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.124725583","2482","be:15:d4:18:a1:17","7e:40:b3:0d:4e:21","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9b50731c3a092433, PKN: 1, CRYPTO, PADDING"
