frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","1e:3c:40:2a:48:86","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.055876253","42","1e:3c:40:2a:48:86","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.055901401","42","aa:5b:72:ad:4c:78","1e:3c:40:2a:48:86",,,"ARP","172.20.0.2 is at aa:5b:72:ad:4c:78"
"4","0.055912146","2482","1e:3c:40:2a:48:86","aa:5b:72:ad:4c:78","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=2fd599fc97a44b6f, PKN: 1, CRYPTO, PADDING"
"5","0.064491290","2482","aa:5b:72:ad:4c:78","1e:3c:40:2a:48:86","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e501838ea1512fa4e6"
"6","0.069193504","177","1e:3c:40:2a:48:86","aa:5b:72:ad:4c:78","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e501838ea1512fa4e6"
"7","0.069289297","1262","aa:5b:72:ad:4c:78","1e:3c:40:2a:48:86","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.110173778","2482","1e:3c:40:2a:48:86","aa:5b:72:ad:4c:78","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=74a45da6466b83e3, PKN: 1, CRYPTO, PADDING"
"9","0.114111106","2482","aa:5b:72:ad:4c:78","1e:3c:40:2a:48:86","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=859963fc4c0f0fbb99"
"10","0.118655521","177","1e:3c:40:2a:48:86","aa:5b:72:ad:4c:78","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=859963fc4c0f0fbb99"
"11","0.118784139","1262","aa:5b:72:ad:4c:78","1e:3c:40:2a:48:86","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
